"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s"
1,10.6681332053118,6.19552017005841,0.41924983023519,10.6681332053118,6.14373090152104,0.424104406714567,11.0947860897285,6.2288017274544,0.438582981494252,11.0947860897285,6.17420212448861,0.443504176236018,11.4070409987136,6.2007308198617,0.45641198093695,NA,NA,NA,10.6681332053119,6.12948564534931,0.425439715891688
2,12.4724352776759,5.8070101540946,0.534412484425683,12.4724352776759,5.83061452019414,0.532519961788842,12.6137668271554,5.81338678261782,0.539123652571211,12.6137668271554,5.82898526248212,0.53788702912018,12.8300551970929,5.8336598812722,0.545312955271307,NA,NA,NA,12.4724352776759,5.78455390202009,0.536212954949245
3,12.1427977105296,6.2220821344843,0.487590728033885,12.1427977105296,6.2605792102963,0.484420365096964,12.4647381243951,6.26835717978686,0.497112805962698,12.4647381243951,6.31563082291753,0.493320215804855,12.6560807591155,6.31976993399857,0.500653476041799,NA,NA,NA,12.14279771053,6.2547522121481,0.484900237881417
4,11.6812671544954,6.2218701118732,0.467363426451662,11.6812671544954,6.26768373614786,0.463441452605098,12.0801024043217,6.24547233086311,0.482995083830683,12.0801024043217,6.31015498459496,0.477640604906009,12.3752534001139,6.33005597486852,0.488490799322925,NA,NA,NA,11.6812671544956,6.27118104647198,0.463142057832444
5,10.8880781359551,6.10102421729497,0.439660136425007,10.8880781359551,6.07585806165695,0.441971486079536,11.4362944892448,6.16305235688686,0.461097092009753,11.4362944892448,6.15728567012365,0.461601336349441,11.7890012191131,6.18586258638767,0.475285270446935,NA,NA,NA,10.8880781359551,6.10617813943665,0.439186781800128
6,12.2170209048406,6.00675263270911,0.508329184381674,12.2170209048406,6.03349197105921,0.506140488908499,12.7055681509662,6.08711641309247,0.520909546053667,12.7055681509662,6.08924699311904,0.520741857367789,13.0126117363198,6.09004196310763,0.531989266527521,NA,NA,NA,12.2170209048405,6.03506261708097,0.506011926795524
7,11.9839962599347,6.33967262244868,0.470988434497125,11.9839962599347,6.24655052967251,0.478758972033714,12.2165931172797,6.35250701629153,0.480009937688254,12.2165931172797,6.26482222573368,0.487187453523976,12.5741455857471,6.28899357579571,0.499847243464055,NA,NA,NA,11.9839962599349,6.19021967378586,0.483459478831688
8,11.0881211638273,5.85219644849839,0.472210272413871,11.0881211638273,5.8928353101294,0.468545191465478,11.3645622882753,5.80871927792135,0.488874350760157,11.3645622882753,5.83544522255658,0.486522659251299,11.6425770034753,5.85329407306352,0.497250989079453,NA,NA,NA,11.088121163827,5.79034035428564,0.477788863529415
9,12.0807194552248,6.05646321048528,0.4986670096154,12.0807194552248,6.072647448877,0.497327334569414,12.2638328855316,6.02705083901507,0.508550801754193,12.2638328855316,6.05257528027944,0.506469524106119,12.4911461806965,6.07412723368341,0.513725390303236,NA,NA,NA,12.0807194552248,6.01363362136793,0.502212294254787
10,12.0200841801479,5.63333843814288,0.531339518616119,12.0200841801479,5.78299786961388,0.518888737970325,12.2480358954927,5.64627305136673,0.539005837381278,12.2480358954927,5.77693179536399,0.528338107051932,12.4428329235945,5.77730530116755,0.535692126009951,NA,NA,NA,12.020084180148,5.74171610725169,0.52232313674354
11,11.7914665118908,6.00055371703261,0.491110481382319,11.7914665118908,6.03547516307778,0.488148895051225,12.0962869706512,5.98429702002819,0.505278187054616,12.0962869706512,6.04942493144208,0.499894062854197,12.3408445889759,6.06434376093802,0.508595727203686,NA,NA,NA,11.7914665118906,6.01786203085859,0.489642613597714
12,12.6539052595916,6.13178201748369,0.515423745342503,12.6539052595916,6.10705550801686,0.517377806872092,13.12194887813,6.15933512594393,0.530608205903809,13.12194887813,6.15869866362085,0.53065670954675,13.310704213172,6.17574451473008,0.536031721851447,NA,NA,NA,12.6539052595917,6.10983586362488,0.517158083747024
13,11.7817351752191,5.87232635509313,0.501573726810241,11.7817351752191,5.93223570566301,0.496488792402966,12.1523563145191,5.92841690487333,0.512159061877547,12.1523563145191,5.98333854563079,0.507639638702649,12.4211260854743,5.99383207669189,0.517448576284779,NA,NA,NA,11.7817351752188,5.92762456547521,0.496880172799748
14,11.934024856389,6.20678465931157,0.479908519212717,11.934024856389,6.18146312038377,0.482030312927119,12.2331263699052,6.22185467304139,0.49139292075427,12.2331263699052,6.21062016973562,0.492311288060064,12.481233018488,6.23682285183223,0.500303948929257,NA,NA,NA,11.9340248563891,6.18220589850676,0.481968072557095
15,11.6206769944226,5.8598657585928,0.495738005504734,11.6206769944226,5.87302748338011,0.494605392938906,11.8230404678096,5.86766318612582,0.503709455947341,11.8230404678096,5.90789768344683,0.500306397535204,12.1629186005124,5.92776389636874,0.512636391719417,NA,NA,NA,11.6206769944229,5.83962768308786,0.497479562861056
16,12.0311729197605,6.13335241894466,0.49021159783424,12.0311729197605,6.02525690254704,0.499196217797609,12.2529129601458,6.13237687775865,0.499516817127076,12.2529129601458,6.03799058777764,0.507219988633151,12.5107636786898,6.05170044799962,0.516280492268608,NA,NA,NA,12.0311729197604,5.99105347364207,0.502039118413621
17,11.6963929864947,5.95122275890857,0.491191620717586,11.6963929864947,5.9870366815829,0.488129657707649,12.0229004180183,5.98395721685831,0.502286718777912,12.0229004180183,6.01241318208377,0.49991990509435,12.1795199110345,6.03689723586137,0.504340295844338,NA,NA,NA,11.6963929864948,5.89139444483902,0.496306728780275
18,12.675317741124,6.09761064396303,0.518938241352336,12.675317741124,6.05569524689496,0.522245093135001,13.0337686327044,6.06309245243509,0.534816627232316,13.0337686327044,5.96881575127418,0.542049892131952,13.3032808136132,6.00275561154779,0.548776298444725,NA,NA,NA,12.6753177411242,5.89754564891068,0.534722066195112
19,11.7595595001818,5.94429769123273,0.494513575007564,11.7595595001818,5.96254928040371,0.49296151098929,12.1047435943937,5.91345078446809,0.51147657624017,12.1047435943937,5.9492714749524,0.508517348710485,12.2801790846391,5.96327665904356,0.51439823328775,NA,NA,NA,11.7595595001817,5.90772780849069,0.497623375399442
