"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s"
1,12.7138046089554,6.22692448983147,0.510223361035034,12.7138046089554,6.12138697090648,0.518524378879107,12.8010950578341,6.29157829910251,0.508512492823641,12.8010950578341,6.22234648356443,0.513920765727272,12.7068343419898,6.3005406613542,0.504161265364575,12.8010950578343,6.22234648356445,0.513920765727274,12.713804608955,6.18884128615834,0.51321878253507
2,12.5104038882866,6.11786717687057,0.510977644566799,12.5104038882866,6.04213377891654,0.51703127789713,12.4195805460054,6.22657582222155,0.498648460859312,12.4195805460054,6.17912906763653,0.502468779460996,10.8913215273856,6.37097287221309,0.415041337619715,12.4195805460052,6.17912906763629,0.502468779461009,12.5622132399075,6.18922210361144,0.507314357318055
3,11.6416704565435,6.03270699152915,0.481800570283425,11.6416704565435,5.83419273755504,0.498852612317697,11.6878461895491,6.28674104006111,0.462112955791416,11.6878461895491,6.0009958096588,0.486561021394625,11.5940563326461,6.29564577241526,0.456993687818455,11.6878461895493,6.00099580965876,0.486561021394638,11.6416704565435,5.94614909044191,0.489235749058698
4,12.4474679137464,6.07122421575495,0.512252270274969,12.4474679137464,6.06780808234977,0.51252671431683,12.0141130537067,6.0543932432872,0.496059907525237,12.0141130537067,6.03302573006179,0.497838441914741,14.5260070881145,5.82071490758451,0.59929009587589,12.0141130537069,6.03302573006174,0.497838441914755,12.447467913746,6.03711593999852,0.514992448116168
5,11.5160034646428,5.79307761102264,0.496954162196207,11.5160034646428,5.76414374183939,0.499466654422532,11.735121922172,5.77428561501165,0.507948391733208,11.735121922172,5.77626738609417,0.507779516531427,10.5552230709212,5.87644919631302,0.443266224045786,11.7351219221721,5.77626738609407,0.507779516531438,11.5160034646429,5.75655313760113,0.500125789708622
6,12.2084836993157,5.92426213642826,0.514742184014194,12.2084836993157,5.90623953186507,0.516218420130575,11.8287363826422,5.97487050347118,0.494885141557565,11.8287363826422,5.86751104416793,0.503961297778343,11.5929893041145,5.99634739241423,0.482760896683821,11.8287363826418,5.86751104416772,0.503961297778344,12.2084836993157,5.87598571907802,0.518696517618535
7,12.6150157896483,5.88934644150988,0.533147913588615,12.6150157896483,5.97965449026919,0.525989139452684,12.8501473338332,5.9373853101976,0.537951966156449,12.8501473338332,6.03140678495388,0.530635203763482,12.4648073855239,5.97136176404903,0.520942315483838,12.8501473338335,6.031406784954,0.530635203763482,12.6150157896482,5.99189342902832,0.525018951308392
8,12.1122115157912,5.9761827089238,0.506598551294088,12.1122115157912,5.82216073897318,0.519314806269475,12.1827548420975,5.81055806310602,0.523050562995189,12.1827548420975,5.72303386068878,0.530234833182979,12.506740403346,5.78217431820936,0.537675354910028,12.1827548420974,5.72303386068888,0.53023483318297,12.112211515791,5.72455880164736,0.527372949672809
9,11.5869570449173,5.99360066186563,0.482728671675297,11.5869570449173,5.8821271498983,0.492349274525138,11.6571884416459,5.96651583040878,0.48816853563994,11.6571884416459,5.83369718204611,0.499562247685306,12.1755614922292,5.91953539080119,0.513818283076371,11.6571884416461,5.83369718204617,0.499562247685309,11.5869570449175,5.85870625389836,0.49437059003613
10,12.3376856208116,5.7457312279961,0.534294242487098,12.3376856208116,5.82769533483174,0.527650848470202,12.4079669187862,5.66716809851634,0.543263764675581,12.4079669187862,5.77002424105997,0.534974240435481,12.1264489227102,5.6910466157883,0.530691412460395,12.4079669187858,5.77002424105991,0.534974240435471,12.3376856208116,5.76316270122454,0.532881378375936
11,12.6558281315418,6.0893855446268,0.518847326201406,12.6558281315418,6.07747166370117,0.519788701258162,12.3347052402675,5.98464320224386,0.514812629433041,12.3347052402675,5.9580066939426,0.516972106111438,11.0300473102213,6.10315098842971,0.446679527586968,12.3347052402675,5.95800669394258,0.516972106111442,12.6558281315417,5.95201996256565,0.529701264847963
12,12.2140442803079,6.12134927513156,0.498826995002735,12.2140442803079,6.02593696137519,0.50663868387226,12.3783981647912,6.3323998462428,0.48843139783187,12.3783981647912,6.21287100906451,0.49808764216874,11.8642913505274,6.38141912725141,0.462132297773711,12.3783981647909,6.21287100906432,0.498087642168742,12.214044280308,6.25206662393662,0.488124778291783
13,11.6422735618814,6.06219153944187,0.479294872498925,11.6422735618814,6.0567843793512,0.479759314436484,11.1245970327043,6.13029924854674,0.448941904994422,11.1245970327043,6.07771650465719,0.453668614980857,11.7800603486372,6.06908370683728,0.484800287331348,11.124597032704,6.07771650465691,0.453668614980866,11.6422735618818,6.08005785337666,0.47776026554783
14,11.7440700335342,5.9428822737458,0.493967401694949,11.7440700335342,5.82139676966378,0.504311814129065,11.4905148532821,5.80167007276282,0.495090503180922,11.4905148532821,5.69202663183053,0.504632585701356,11.4905148532891,5.80167007276629,0.495090503180925,11.4905148532819,5.69202663183045,0.504632585701355,11.7440700335341,5.69498109547152,0.515076027372962
15,11.8686681516068,6.00863820842471,0.49373947171897,11.8686681516068,6.00035303133579,0.494437543059671,12.1070217727564,6.24862460626014,0.48388425134239,12.1070217727564,6.18191552684827,0.48939420091248,11.9665031475936,6.26176116815469,0.476725899711657,12.1070217727564,6.18191552684839,0.489394200912471,11.8686681516068,6.13650299036981,0.482966166718625
16,11.7283147739934,5.75861583143029,0.508998867919239,11.7283147739934,5.70452011352562,0.513611271230976,11.9274406675812,5.78422205815608,0.515049186211623,11.9274406675812,5.70765576220948,0.521468526125398,11.0537792781277,5.86102165222303,0.46977214717682,11.9274406675815,5.70765576220982,0.521468526125383,11.7283147739931,5.73022126038217,0.511419895287205
17,12.5715559594026,6.05886576715618,0.518049652189266,12.5715559594026,6.03513285147229,0.519937478625431,12.6175321018712,6.10256968907095,0.51634205169441,12.6175321018712,6.0304041536259,0.522061516868931,12.3776937036731,6.12482559603449,0.50517230894016,12.6175321018712,6.03040415362604,0.52206151686892,12.5715559594021,6.0173466216564,0.521352278024415
18,11.4448460134856,6.2586545404236,0.453146461468426,11.4448460134856,6.09144704917881,0.4677563121425,11.152828830008,6.28698230218686,0.436288102506244,11.152828830008,6.20340372560425,0.443782037709278,12.3761516934407,6.17005702332123,0.501455931039427,11.1528288300079,6.20340372560428,0.443782037709273,11.4448460134857,6.18545457342938,0.45954235066676
19,11.7088477903946,6.17881037163236,0.47229561078579,11.7088477903946,6.16041238913505,0.473866899680023,12.0079302614311,6.25382523707885,0.479192075493155,12.0079302614311,6.21983715368374,0.482022545245655,11.4488446329247,6.30712488398826,0.449103810366141,12.0079302614313,6.21983715368383,0.482022545245658,11.7088477903949,6.20780975993502,0.469818903528025
20,11.2781749870621,6.12777966523058,0.456669215342009,11.2781749870621,6.13099667217745,0.45638397354087,10.9566941654475,6.12983573020276,0.440539670301879,10.9566941654475,6.14044938184552,0.439570979245755,13.2222631943198,5.91815794959313,0.552409609261481,10.9566941654475,6.14044938184546,0.439570979245755,11.2781749870623,6.11893617414263,0.457453339643875
21,12.0144909385885,5.89811028754229,0.509083629286484,12.0144909385885,5.81763495897029,0.515781818080612,12.1543384164093,5.83931026850541,0.519569879622415,12.1543384164093,5.73367257530715,0.528261236533758,11.3408260417048,5.91161054131405,0.478731926618513,12.154338416409,5.73367257530701,0.528261236533759,12.0144909385882,5.72347246441895,0.523619228340647
22,12.7286510425539,5.97080950297173,0.530915767663803,12.7286510425539,5.8883941764079,0.537390556413082,12.9254391326214,5.97366897502674,0.537836284420673,12.9254391326214,5.83525864133831,0.548544650478357,12.8313450842294,5.9820589595453,0.533793306915448,12.9254391326216,5.83525864133829,0.548544650478366,12.7286510425537,5.84570085316703,0.540744668572968
23,11.7579949112572,5.9864626689798,0.490860243250462,11.7579949112572,5.94318187260496,0.494541210685938,11.7622167717527,6.04228699411813,0.486296919078312,11.7622167717527,6.02524933244737,0.487745426787477,12.4234265360984,5.98151686630554,0.518529219863359,11.7622167717525,6.02524933244733,0.487745426787472,11.7579949112568,5.95226144946779,0.493769006161991
24,11.1941687515421,6.08809717295922,0.456136734393918,11.1941687515421,6.0979630975128,0.455255389403276,10.8660654726454,6.1749324916888,0.431723238992642,10.8660654726454,6.15830175734468,0.433253759343913,11.6338463733467,6.1029216171513,0.475416691840354,10.8660654726449,6.1583017573444,0.433253759343912,11.1941687515419,6.09763409501087,0.455284779928751
