"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s"
1,12.0289419480695,6.26804387665198,0.478919766700017,12.0289419480695,6.21660084066344,0.483196371925201,11.5963680380294,6.20648216916055,0.464790859620282,11.5963680380294,6.13955002196768,0.470562679467098,11.9504517085329,6.22162198321681,0.479381856438581,11.2400707257339,6.12580091629457,0.455003347775234,12.0289419480693,6.15649897736336,0.488192809979311
2,11.9812655261942,6.10271007884131,0.490645619571722,11.9812655261942,6.11646742685514,0.4894973812672,12.3595339985341,6.16387998481686,0.50128540561902,12.3595339985341,6.18885840439006,0.499264421690648,11.9812149799636,6.14768411312949,0.486889758391754,12.7351205573004,6.20473399067422,0.51278561025342,11.9812655261942,6.16350654462702,0.48557132540365
3,11.9193228323554,6.18498539055935,0.48109590808548,11.9193228323554,6.06999105991836,0.490743631555881,12.5035383626793,6.13657406077682,0.509213001729707,12.5035383626793,6.01126486639726,0.519234900391095,12.3865220633285,6.1326267871004,0.504895179151487,12.6079561394188,6.01725565554362,0.52274138734266,11.9193228323555,6.0379916383463,0.493428299302717
4,11.9626166027948,5.89771457333624,0.506987913333413,11.9626166027948,5.85517387952356,0.510544049522109,12.6081094481322,6.20890868568628,0.507546415961191,12.6081094481322,6.09163919334171,0.51684753226471,12.1411250593312,6.20119399274165,0.489240580058464,13.0481749465986,6.10823384704493,0.531870635392021,11.9626166027947,6.0665777977702,0.49287200290671
5,11.2178795890972,5.83113846752647,0.480192453376497,11.2178795890972,5.78271435190042,0.484509143998949,11.3450450169295,5.59163035681123,0.507130174585715,11.3450450169295,5.58789508624994,0.507459417048457,11.2863568765191,5.58832364209889,0.504860274822141,11.4027611337127,5.5910205719765,0.509678357161545,11.2178795890969,5.58654421260785,0.501996418464178
6,11.8782002523683,5.82078510381634,0.509960685950231,11.8782002523683,5.76687028036069,0.51449965837957,12.0656136426153,5.64114754430665,0.532460783893963,12.0656136426153,5.6533814393214,0.531446836706764,11.9219661487043,5.63438229955767,0.527394875201016,12.2071803495898,5.66170614894558,0.53619869725806,11.8782002523683,5.64117093494483,0.525082014523197
7,11.6075104598628,6.11521357173672,0.473167515731967,11.6075104598628,6.02381360378115,0.481041725130409,11.9442774840921,6.0950826096287,0.489706881161593,11.9442774840921,6.04185745976011,0.494163002508362,11.8627367765392,6.09093557297854,0.486548872514433,12.0202930400619,6.04632329738842,0.496990358118815,11.5640231826082,6.0586524409286,0.476077456326741
8,12.2602716746116,6.05923789945797,0.505782737913929,12.2602716746116,6.12544380674036,0.50038270200612,12.2336235859581,6.05212018962989,0.505288016497696,12.2336235859581,6.1297079543671,0.49894584288151,12.1805062620388,6.04981566059742,0.503319851371694,12.2878687533331,6.13171846215512,0.500994144286258,12.2602716746115,6.10887831732766,0.501733853909788
9,13.0263295214981,6.11448645968353,0.530605574686833,13.0263295214981,6.00985923444964,0.538637555227569,13.2585387066202,6.22346637040086,0.530606916183501,13.2585387066202,6.053411227427,0.543433001073909,13.0174513626181,6.21328055640443,0.522696080567126,13.4986909643088,6.06032486799749,0.551043513476878,13.0263295214981,6.04559247506594,0.535894400253842
10,11.4513129986689,6.0181320042773,0.474459216600155,11.4513129986689,6.04029800880346,0.472523542976637,11.3259087230356,5.91251052552394,0.477965903654284,11.3259087230356,5.96602473862522,0.473240965955251,11.5006689495839,5.92131377361958,0.485133099685145,11.1535760690664,5.95605019680986,0.465996362070052,11.4513129986691,5.97515597371377,0.478212151356946
11,12.4962216204577,6.00119961556436,0.519758868093398,12.4962216204577,6.13906101541044,0.50872662138449,12.4646959194166,5.78877367436356,0.5355864505811,12.4646959194166,5.93352760599131,0.523973336826574,12.5448574305514,5.79134762596273,0.538348868608214,12.3856437098377,5.9305237076725,0.521177595076306,12.4962216204579,5.92644728752285,0.525740862516355
12,11.7262011655647,5.90113321584878,0.496756610898154,11.7262011655647,5.91643759850064,0.495451466765303,12.0700603211874,6.00166554411727,0.502764246042569,12.0700603211874,6.04781525640024,0.498940759576477,11.8604206578531,5.99572178104983,0.494476464704487,12.2711283797956,6.05452989872556,0.5066036544207,11.7262011655644,6.04754182139433,0.484271015309393
