"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s"
1,13.2072715319281,6.37274730743882,0.517481919559774,13.2072715319281,6.18732927832635,0.531521006184458,13.2835642094709,6.18097983786163,0.534689655547814,13.2835642094709,6.09438177449317,0.541208844374162,14.4779344461802,6.04878455948564,0.58220666200892,13.4516740137793,6.10137953707286,0.546422286860144,13.2072715319281,6.08383686648318,0.539357023759547
2,12.3793404097947,6.04694877086697,0.511529001490051,12.3793404097947,6.17110198607253,0.501499936039413,12.567003059437,5.90089265081814,0.530445514900473,12.567003059437,6.04391582446337,0.519064665149042,12.3586685969567,5.89723309636276,0.522826180660353,12.7279895399169,6.04888214948422,0.524757454387119,12.3793404097948,6.03265999405085,0.51268324528198
3,11.0913044802433,6.31884470048976,0.430288410912767,11.0913044802433,6.15794337884583,0.444795389954821,11.4972582055184,6.33170655322205,0.449285521813975,11.4972582055184,6.19692932564037,0.461008075589187,12.3008208599089,6.26610503718555,0.490594562058199,11.4072476766479,6.19186180435258,0.45719931925138,11.0913044802435,6.29488176787145,0.432448926175973
4,12.6064964383924,6.25928587591036,0.503487276857665,12.6064964383924,6.22473750845537,0.506227797796517,12.8463731191399,6.37806860791202,0.503512115928712,12.8463731191399,6.3248461719176,0.507655109091126,12.4586399568005,6.38397035815933,0.487586897101503,13.0462657307573,6.33625632047751,0.514324140620605,12.6064964383922,6.31262617139195,0.499256101626515
5,11.694895933476,5.98114704001633,0.488567741514002,11.694895933476,5.8943573938066,0.495988897435646,11.5189823224386,5.95318625442526,0.483184704361543,11.5189823224386,5.88753856500747,0.488883791970169,11.8117578449216,5.95914720958541,0.495490232036249,11.2816880736954,5.87728194691925,0.479042328725361,11.6948959334761,5.92374334549887,0.493476181473113
6,12.2283050860647,5.96788590212308,0.51196131760533,12.2283050860647,5.96991806484187,0.511795132455018,12.2731317696813,6.12652633232543,0.500818010651531,12.2731317696813,6.09970331086887,0.503003518145456,11.1831629415895,6.21218766948764,0.444505306599359,12.4015017101572,6.10471645243124,0.507743772076305,12.2283050860646,6.05129581260364,0.505140265146007
7,11.4604296315771,5.90178637595479,0.485029220920872,11.4604296315771,5.94446841963088,0.481304923922574,11.6404152067586,5.84840327438513,0.497577777896661,11.6404152067586,5.82149078357927,0.499889765083359,11.761549445164,5.82429623880375,0.504801959473246,11.7496739050137,5.82555617536003,0.504194225094688,11.4604296315773,5.83118988539237,0.491189242214314
8,11.4562211021456,5.97610637725487,0.478352737436637,11.4562211021456,5.99736815214001,0.476496822236017,11.6526884828493,5.99264276258384,0.485728742220824,11.6526884828493,5.99654257050387,0.485394071992081,12.0416157033049,5.96527368184977,0.504611853688991,11.5877896999768,5.99404806488352,0.482727230983878,11.4562211021455,6.03370725889687,0.473324824556077
9,11.8688082659003,6.12166929958142,0.484222075002318,11.8688082659003,5.99916134388917,0.494543916331933,11.6937573800401,6.12720722556179,0.476027505408979,11.6937573800401,6.13892943255189,0.47502507252029,12.7487501152893,6.03614537881267,0.526530418729156,11.6357790332872,6.136614124585,0.47260822786084,11.8688082659004,6.15006149985147,0.481829905575198
10,13.0432024161754,6.13284642799044,0.529805163463167,13.0432024161754,6.12383201762227,0.530496282873917,12.9970924141827,6.08954256885573,0.53146885666438,12.9970924141827,6.05963124100664,0.533770242766433,12.3675977550805,6.15981930656073,0.501938902885944,12.9031150211802,6.05577393376283,0.530673490562364,13.0432024161752,6.04789290261344,0.536318404818032
