"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s"
1,12.343396337432,5.81893032911937,0.528579479257816,12.343396337432,5.86735674699894,0.524656214010899,11.9924413886765,5.82100150004174,0.514610802639564,11.9924413886765,5.8831289713578,0.509430250214707,11.8788981318665,5.8766241181753,0.505288785799874,NA,NA,NA,12.3433963374316,5.84484424299819,0.526480064058742
2,12.0130854280053,6.00162243261001,0.500409576825383,12.0130854280053,6.01042778766526,0.499676596517533,11.4597068828626,6.01730755691691,0.474916102268245,11.4597068828626,6.03181185835963,0.473650424045323,11.3739951526596,6.02912400806573,0.469920293868253,NA,NA,NA,12.0130854280051,5.9786322154213,0.50232334138873
3,12.4266314836751,5.91416629224285,0.524073253478845,12.4266314836751,5.93895722684246,0.522078269187875,12.45292011752,6.07935424072155,0.51181295765573,12.45292011752,6.04746020476158,0.514374126896276,12.3125011341207,6.04304929817638,0.509194010839137,NA,NA,NA,12.4266314836751,6.07194479737753,0.511376449413964
4,12.4520859779092,6.12867502421132,0.507819409929873,12.4520859779092,6.15345041046641,0.505829752429993,11.5919274449219,6.12075109675876,0.471981590133218,11.5919274449219,6.07485699769919,0.475940733190111,11.4540280374618,6.07105523194177,0.469963299191723,NA,NA,NA,12.452085977909,6.01170079476845,0.517213356426088
5,11.5275916944055,6.14524574200179,0.466909836424534,11.5275916944055,6.16682375909024,0.465037978220281,11.37387405845,6.1585228364868,0.45853780296508,11.37387405845,6.07285018530915,0.466070210193908,11.1658626517474,6.06403930219982,0.45691260126231,NA,NA,NA,11.5275916944058,6.08010481982622,0.472560706433002
6,11.6909863522175,6.21460212199272,0.468427903791542,11.6909863522175,6.21579643590235,0.46832574697828,11.8686212307229,6.14205891967566,0.48249600351417,11.8686212307229,6.11120390842681,0.485095716711604,11.8376115922707,6.11027563276693,0.483825298275828,NA,NA,NA,11.6909863522172,6.14451926960464,0.474422509402782
7,11.561149242388,5.98342912536763,0.482453776876274,11.561149242388,6.03684325374863,0.477833636848571,11.6496946391611,6.00096690325198,0.484882042909573,11.6496946391611,6.11700894259555,0.474921091748373,11.7100107895311,6.11894810580074,0.477460079603755,NA,NA,NA,11.5611492423881,6.10558652113182,0.471887578550915
8,11.4923888256955,5.91571782738843,0.485249070744834,11.4923888256955,5.8121307363361,0.494262609411463,11.4726876859336,5.84251475767295,0.490745767895666,11.4726876859336,5.61940440682947,0.51019285448524,11.4691665244338,5.61919003472738,0.510061169418344,NA,NA,NA,11.4923888256959,5.62558091634786,0.510495076204731
9,12.533155781906,6.23160553513025,0.502790387068614,12.533155781906,6.17541377583949,0.507273835632453,11.8211430924036,6.24800526865376,0.471455068277721,11.8211430924036,6.12189131167433,0.482123576051768,11.2149342995813,6.10469653706524,0.455663637967712,NA,NA,NA,12.533155781906,6.14373009504654,0.509801824699555
10,11.4187471915641,5.86296037426853,0.486549594635044,11.4187471915641,5.84950934447739,0.487727572355847,11.5112133551102,5.89455198692051,0.487929568753607,11.5112133551102,5.83331601846067,0.493249248492898,11.3807820400746,5.82783511038448,0.487923141848845,NA,NA,NA,11.4187471915642,5.85146659200566,0.487556165852546
11,11.7489565712452,6.09752246648425,0.481015830681718,11.7489565712452,6.12573037908559,0.478614944064231,11.4820590221844,6.0884090786228,0.469745882087923,11.4820590221844,6.08134488299915,0.47036111979137,11.374055786958,6.07718864552967,0.465697306276794,NA,NA,NA,11.7489565712451,6.06413998704051,0.483857145077705
12,12.3802303093047,5.95701238347448,0.518828629625952,12.3802303093047,5.85359527851012,0.527182036822798,12.1982039309409,6.12717147233264,0.497698881981226,12.1982039309409,5.92551052251177,0.514230901855836,12.2980908058367,5.92899888239227,0.517892738312001,NA,NA,NA,12.3802303093044,5.88035449281935,0.525020589608906
13,11.5723102734508,5.8142060427765,0.497576032322997,11.5723102734508,5.78856603094981,0.499791666990649,11.5866621374915,5.93664088911981,0.487631483625441,11.5866621374915,5.96274942832473,0.485378156576192,11.6319661867337,5.96494612032543,0.487193650276556,NA,NA,NA,11.613156774744,5.96060328360903,0.486737034621629
14,13.2063908459945,6.00012504762782,0.545665040691443,13.2063908459945,5.93956647442735,0.550250591271209,13.0218353349291,6.08326972662993,0.532840834631621,13.0218353349291,6.01682669405589,0.537943266882151,12.7832608556504,6.00464078257445,0.530273155622862,NA,NA,NA,13.2063908459939,6.03180271855422,0.543266378460703
15,11.7955475136158,6.19364307890512,0.474916864032322,11.7955475136158,6.25181357199956,0.469985300403988,12.4090818737064,6.21601807590734,0.499075101673842,12.4090818737064,6.23258237754839,0.497740248555002,12.4669275887779,6.23553659889949,0.499833735738355,NA,NA,NA,11.7955475136161,6.27311777174355,0.468179178244822
16,11.7111219373253,5.95248074981534,0.491724125009424,11.7111219373253,5.8383463448205,0.501469938058392,11.9095896519695,5.9209106038736,0.50284512087329,11.9095896519695,5.85768491577766,0.508153925789628,11.8202289706195,5.85495309246884,0.504666694103645,NA,NA,NA,11.7111219373252,5.87433186067301,0.498397173890696
17,11.9935660826492,6.10599204213636,0.490894367858636,11.9935660826492,6.035824897124,0.496744766691546,11.7347579279542,6.26801984668363,0.465858615476666,11.7347579279542,6.1729965199431,0.473956211296191,11.6274269860307,6.16802291875446,0.46952813153204,NA,NA,NA,11.9935660826492,6.16553131378042,0.48593010024767
18,12.1275669207173,6.14013913624926,0.493703957571227,12.1275669207173,6.08631355945657,0.498142240793622,11.9023303065584,6.32666373403835,0.468451675336865,11.9023303065584,6.29247388232547,0.471324209608077,11.7891327746503,6.28754603223433,0.466665941217137,NA,NA,NA,12.1275669207171,6.29014095226809,0.481335292281681
19,11.9777355248575,6.14394028325641,0.487053268916663,11.9777355248575,6.17455213845943,0.484497539151258,11.7272945357061,6.03635506660042,0.485273005788204,11.7272945357061,6.09706227921085,0.480096431393692,11.6924453383179,6.09532290074602,0.478695625732734,NA,NA,NA,11.9307222158847,6.07241358940758,0.49102715832888
