"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s"
1,11.5921089425944,6.0837048631799,0.475185672140664,11.5921089425944,5.9906381807256,0.483214123470372,11.4695186491929,5.78422057016267,0.495687591861607,11.4695186491929,5.82240504135336,0.492358378809289,11.388738924359,5.78034039987587,0.492451232900554,11.555583611042,5.82533374547013,0.495885803647019,11.6407215312979,5.81750080211999,0.500245686104703
2,12.2041276645832,6.0441902235626,0.504742133999216,12.2041276645832,6.02482045636451,0.506329282850035,12.8905552988772,6.2756455066077,0.5131594131438,12.8905552988772,6.21978140290777,0.517493136742564,13.1265344432795,6.27923276999664,0.521638190405125,12.7092773771807,6.20915631116537,0.51144694329248,12.2547053333033,6.34518885451763,0.482224281862249
3,12.0501245894823,5.82977416550973,0.516206316190447,12.0501245894823,5.884778947288,0.511641651205466,11.5976201764253,5.92942726403435,0.488737588071109,11.5976201764253,5.99321324722205,0.483237668068783,11.7662460032901,5.93758508931608,0.495371328488644,11.4084507159404,5.98571688151175,0.475326051665523,12.0501245894822,5.98929371395951,0.502968316262292
4,11.9333913690373,6.017814376516,0.49571633155936,11.9333913690373,6.01676369797181,0.495804376819228,11.7229430151302,5.82953412189742,0.502724348794196,11.7229430151302,5.92051519544507,0.494963407413671,11.5499020557705,5.81710376454127,0.496350381461898,11.9285865760046,5.92514840867205,0.503281602483315,11.9111267969388,5.84920236433075,0.50892955267389
5,12.5205268411489,6.08739421709384,0.513806863375147,12.5205268411489,6.07392672103011,0.514882496711874,12.562498767841,6.09713202098698,0.514656109929726,12.562498767841,6.08834471815649,0.51535559679081,12.6832212282255,6.10067874774447,0.518996110060123,12.4483343795377,6.08482323537607,0.511193783051155,12.5630623313177,6.09935798884403,0.514500698317853
6,12.3265032335402,6.18140300656293,0.49852745020636,12.3265032335402,6.15828043106111,0.500403292451622,12.3792709591025,5.99473679177637,0.51574395523119,12.3792709591025,5.99171339194011,0.515988186078568,12.57369140166,6.00103949670343,0.522730492979083,12.1984742778585,5.98450142673782,0.509405742847667,12.3265032335404,6.0533776413251,0.508913637011521
7,11.7311262387293,5.81738028164102,0.504107264447003,11.7311262387293,5.87552689173667,0.499150655088929,11.7400664400459,5.89469513364413,0.497899337814897,11.7400664400459,5.90478326114369,0.497040047320156,11.7010574415606,5.89353326530132,0.496324730073687,11.7795184339683,5.90615021190275,0.498608517401582,11.6878915864051,5.88957751812702,0.496095812098604
8,12.0833002051878,5.85791102605473,0.515206034230637,12.0833002051878,5.87031531572532,0.514179469512394,11.8365720568868,5.74973079450274,0.514240206804013,11.8365720568868,5.80665554793002,0.509430980521801,11.7767987137006,5.74772693617897,0.511944877728758,11.9044876492866,5.80695543472381,0.512204505914052,12.0833002051877,5.76240130329289,0.52311030881953
9,12.4128373236452,5.8974047725846,0.524894702249047,12.4128373236452,5.92528061691587,0.522648975216262,12.5008458454374,5.89860516430965,0.528143516267539,12.5008458454374,5.89987565127542,0.52804188418748,12.4272446642679,5.89786400497541,0.525408554807523,12.5736659340756,5.90065068985137,0.530713578618296,12.4128373236449,5.97068099295429,0.518991441096154
10,11.618563328892,6.20095625430064,0.46628889659011,11.618563328892,6.1394646874245,0.47158142417166,11.8900265439704,6.22407333236733,0.476529904340401,11.8900265439704,6.17557065968139,0.48060917804989,11.7074487736524,6.22115129188368,0.468615971578337,12.0651112305031,6.18002877043968,0.487776892200107,11.618563328892,6.13110317487668,0.472301092542965
11,11.4856060573566,6.18536605168635,0.461468030437575,11.4856060573566,6.08404636406933,0.470289479398218,11.7702873978883,5.91949509860134,0.497081515642232,11.7702873978883,5.96516759787723,0.493201194140135,11.465578435794,5.90879624042039,0.484649093501123,12.0725726149644,5.97438967173905,0.505127046050354,11.4856060573564,5.93803317071804,0.483002190649329
