"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s"
1,11.7071799721479,6.0536711141171,0.482909536838149,11.7071799721479,6.06039358157633,0.482335319351511,11.9459341221763,6.01902911057908,0.496144123262372,11.9459341221763,6.01700944892827,0.496313190128985,11.7470990667645,6.00852579484632,0.488509821812437,12.1129373857335,6.03569698322498,0.501714836705609,11.7071799721479,5.97519275990924,0.489612974762102
2,12.4099712179711,6.20126977516803,0.500299423242187,12.4099712179711,6.0668548049563,0.511130630490845,12.8204781133958,6.23735219877832,0.513485211424287,12.8204781133958,6.17109026741575,0.518653656062349,12.4906609969341,6.23117231539588,0.501133501507618,13.0310828778393,6.19058805180923,0.52493679076073,12.4099712179712,6.09318229603514,0.509009151672209
3,12.2360253990182,5.7610435945727,0.529173615883882,12.2360253990182,5.6774185906174,0.536007943308702,12.6149005079973,5.8364962376684,0.537333153442761,12.6149005079973,5.75257171399701,0.543985962445749,12.2514457826792,5.82241715532648,0.524756730054007,12.9109760710994,5.7843661945706,0.55198072068938,12.236025399018,5.70555344129404,0.533708597748419
4,12.0210123736659,5.78992898855616,0.518349302988823,12.0210123736659,5.78029886501798,0.519150410519439,12.5477775684586,5.77481814391754,0.539773628245235,12.5477775684586,5.78729023033335,0.538779660481002,12.0877151292488,5.76707264026534,0.522898035021467,12.8982763803173,5.80598257300556,0.54986368706865,12.0210123736661,5.75331556441866,0.521395088401855
5,11.9054303995817,6.1689966276388,0.481833380181238,11.9054303995817,6.1508958764332,0.483353757907879,12.2138253625595,6.16108719658685,0.495564492392926,12.2138253625595,6.16455788727446,0.495280331568239,11.9995053402328,6.15586779380969,0.486989870059907,12.3778180087,6.16715481875745,0.501757513769975,11.9054303995815,6.12779282722242,0.485294305072932
6,12.2804442309291,5.97167454085812,0.513724876025408,12.2804442309291,5.98471520946889,0.512662970742053,12.5706969136386,5.98656391690365,0.523768335357086,12.5706969136386,5.99958527657907,0.522732485096367,12.266497641147,5.97343948833722,0.513028114210873,12.8495761468314,6.00819985639446,0.532420385875838,12.2804442309294,5.9581190587262,0.514828702717435
7,12.3547630770072,6.02108866259757,0.512650414656425,12.3547630770072,5.98625100582847,0.51547019003795,12.5536475069854,6.08785994142194,0.515052502626478,12.5536475069854,6.02556879037506,0.520014498812225,12.3151366584584,6.08546695182573,0.505854695680859,12.7561691519707,6.03399479803249,0.526974381873863,12.3547630770074,5.9718796837705,0.516633411215764
8,11.7586131113525,6.07340520075913,0.48349306646585,11.7586131113525,6.05226729759627,0.485290719213048,11.9374150585138,5.99894413220065,0.497467072829792,11.9374150585138,5.98197504923014,0.498888576805932,11.6452159338253,5.9860613691138,0.485963901130731,12.2291192932238,6.00623342409962,0.508858055916775,11.7586131113523,5.93121114559764,0.49558582381868
9,12.3941366202156,5.99772194487257,0.516083925112627,12.3941366202156,5.91530782905755,0.522733368985998,12.7819051293993,6.06546686868155,0.525464568287984,12.7819051293993,6.01497185576498,0.529415075853591,12.4525721264963,6.04666057639863,0.514424769840706,13.0080958565468,6.04666596724054,0.535161330764846,12.3941366202157,5.97693525372163,0.517761064213798
10,11.628218357512,5.90673658749747,0.492034256160863,11.628218357512,5.97529439817404,0.486138442325179,11.9250041468302,5.89536788846406,0.505629699086425,11.9250041468302,5.9601899952342,0.500193884895335,11.6135039092277,5.88199957210972,0.493520679195185,12.1909221220618,5.98706645976424,0.50889141938414,11.6282183575116,5.89074421859842,0.493409563057173
11,11.5349675365774,5.97902940881711,0.481660491036702,11.5349675365774,5.9326641175959,0.485680033447566,11.8317998963194,5.92980723180809,0.498824584275406,11.8317998963194,5.91193476644501,0.500335129206836,11.5468311909917,5.92079225528306,0.487236614327385,12.0558376037241,5.92714824199686,0.508358652727214,11.534967536578,5.86071439806376,0.491917564615667
12,11.6819832591074,5.7775456085106,0.505431100151051,11.6819832591074,5.88868739258111,0.49591715191081,11.9726284633594,5.80219810855682,0.515378087083079,11.9726284633594,5.90162135196632,0.50707387521233,11.7260781227651,5.80293972157677,0.505125271994318,12.1505104535886,5.91110396592166,0.513509824257971,11.6819832591074,5.83624313761153,0.500406479947528
13,12.7745494992206,6.24365772493478,0.511242433612574,12.7745494992206,6.27819867340545,0.508538545818114,12.9467203114366,6.3176092852319,0.512030140973141,12.9467203114366,6.35595644274294,0.509068220379462,12.7049161833824,6.306374360932,0.503627236110338,13.1566606737606,6.36801126255546,0.515985748932804,12.7745494992205,6.31869868688002,0.505368178559599
14,11.8083314387368,5.9854166557501,0.493119185652669,11.8083314387368,6.01527628229019,0.490590494220268,12.0447591693999,5.98108621644002,0.503428326600736,12.0447591693999,5.9766023236421,0.503800595795567,11.7122583687246,5.96539987546061,0.490670399537111,12.3524554424717,5.99921763588904,0.514329951334064,11.8083314387368,5.94199564584261,0.496796335987817
15,12.2684241293894,6.43665027192324,0.475348243259373,12.2684241293894,6.40120766641323,0.478237172198918,12.7066589832054,6.45018244332882,0.492377779882648,12.7066589832054,6.44946071147246,0.492434579381031,12.3228514347402,6.44138609244342,0.477281201793601,12.974792252622,6.46706588285596,0.501566903196536,12.2684241293895,6.43502429569944,0.475480776680676
16,11.7431587930711,6.32602209835745,0.461301493931084,11.7431587930711,6.24972921512353,0.467798287900943,11.8809781937219,6.28620281860074,0.470901914295032,11.8809781937219,6.1823117689143,0.479646232144326,11.7484475105933,6.30207674183879,0.463582168098692,11.9777480060533,6.18391657047408,0.483716257233927,11.7431587930713,6.13037384860912,0.477962109119551
17,12.0532636633879,6.17829194829247,0.487417506093457,12.0532636633879,6.03913046697938,0.498963049707158,12.5848148493047,6.14772333822495,0.511496719511563,12.5848148493047,6.04486735748238,0.519669742474094,12.136985959751,6.14073666083786,0.494047642371677,12.8883081262004,6.0848964863907,0.527874688686189,12.053263663388,6.00911279121805,0.501453468617728
18,12.2377662168665,6.14517455674219,0.497851613779588,12.2377662168665,6.06244631700698,0.504611690599914,12.3545537220049,6.0760502162934,0.508193468334574,12.3545537220049,6.01822085226685,0.512874282010875,12.1392435586571,6.06192707763666,0.500633869948707,12.5491204025361,6.03529013606735,0.519066680175637,12.2377662168665,5.94816659966783,0.513949973037575
19,11.9578031863999,6.03881607919124,0.494989507265062,11.9578031863999,6.07564686868907,0.491909444069197,12.212604637089,6.04485904644937,0.505031135774962,12.212604637089,6.07030427939258,0.502947613569883,11.9536628719267,6.02278802716397,0.496155438572009,12.3810533456833,6.09586902387416,0.507645363146787,11.9578031864002,5.93669807662881,0.503529370396336
20,11.6563581511816,5.94595276627804,0.489896184626475,11.6563581511816,5.93878570058299,0.490511047828351,12.066490936235,5.94564183256906,0.507260075527458,12.066490936235,5.97827933402149,0.50455527082285,11.7464281697645,5.93563104985111,0.494686302587747,12.2698218518185,5.99956781490679,0.511030568547531,11.6563581511816,5.91658483315219,0.492415662215011
21,12.1652052746809,6.08463945816991,0.499832569958052,12.1652052746809,6.03763069545956,0.50369676802532,12.602005961268,6.17146353892645,0.510279271578324,12.602005961268,6.11282623052657,0.51493228543819,12.2114617807747,6.16692215618243,0.494989030232938,12.9305363156466,6.13488050690111,0.525550962686862,12.1652052746809,6.06772476753952,0.501222985511958
22,11.4890186700105,6.18382976522993,0.461761709781933,11.4890186700105,6.12145220215261,0.467191030150272,11.8446378782424,6.26363395381109,0.471184005944423,11.8446378782424,6.2309140496207,0.473946429289631,11.5735456383906,6.2595531344813,0.459149915673399,12.0432832705082,6.24172048319266,0.481726009179116,11.4890186700107,6.16812714683233,0.463128459967366
