"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s"
1,11.8402412641901,5.93464410082094,0.49877338067681,11.8402412641901,5.90034010848726,0.501670618289479,12.2081993768212,5.95500426633614,0.512212728304351,12.2081993768212,5.91921873895006,0.515143998205957,12.5269521087179,5.94721581462113,0.525246383716732,NA,NA,NA,11.8402412641897,5.86435225800437,0.504710070753299
2,12.2785285723292,5.77084650542109,0.530005043240587,12.2785285723292,5.90503429348848,0.519076389430244,12.4300154457871,5.77739672816394,0.535205989617488,12.4300154457871,5.92507265542354,0.523325398808597,12.6301970155862,5.93590291556,0.530022935648997,NA,NA,NA,12.2785285723295,5.87891864604656,0.521203325674128
3,12.2913912000669,6.18344999728183,0.496928386979645,12.2913912000669,6.2385148242509,0.49244843625049,12.5152965526111,6.18513054112019,0.50579432815519,12.5152965526111,6.23085118767065,0.502141146917474,12.7306936664138,6.24255148878938,0.509645613007048,NA,NA,NA,12.2913912000669,6.18663322561527,0.496669406667199
4,11.8763130887031,5.90710811005467,0.502614315913112,11.8763130887031,5.88713281524751,0.504296260019669,12.1222632574248,5.88893280927483,0.514205170749125,12.1222632574248,5.90246983307822,0.513088463124821,12.3662439061841,5.90890971112177,0.522174254692903,NA,NA,NA,11.8763130887034,5.86350830123452,0.506285472819691
5,11.0870050242633,5.85239235868006,0.472139469056573,11.0870050242633,5.78737265879837,0.478003965351055,11.585366496921,5.83741850027155,0.496138641637023,11.585366496921,5.7865959825868,0.500525427130452,11.8907531876367,5.80479661344283,0.511822630421905,NA,NA,NA,11.1382652612573,5.68406782310321,0.489681050883718
6,11.9743080882445,6.29761605106263,0.474072655835107,11.9743080882445,6.32281062698647,0.471968603079977,12.3029482955069,6.30556067222506,0.48747564236063,12.3029482955069,6.33998834453437,0.484677315367588,12.5326484981366,6.36103203525022,0.492443114781683,NA,NA,NA,11.9743080882446,6.29932664823109,0.473929800218246
7,12.4239365087617,6.05335634226033,0.512766638980218,12.4239365087617,5.96362080297034,0.519989433400224,12.6811639035498,6.06304586609,0.521885695019461,12.6811639035498,6.03066649670656,0.524439038673853,12.8270458506263,6.04544548530898,0.528695417814088,NA,NA,NA,12.4239365087615,5.99379065784805,0.517561068215284
8,11.630300373911,5.94516597039199,0.488820943633742,11.630300373911,5.94905022735639,0.488486966278083,12.0828615583552,5.94654172276463,0.507853194043043,12.0828615583552,5.99208685164397,0.50408379482752,12.3736298561634,6.0196533245318,0.513509504122321,NA,NA,NA,11.6303003739111,5.91326065525556,0.491564236077676
9,12.2490824111934,5.95235593207109,0.514056993638009,12.2490824111934,6.01253345422042,0.509144174854592,12.430428388189,5.95255772289293,0.521130122229025,12.430428388189,6.01691071894738,0.515953068466695,12.6279708624572,6.02780616819845,0.522662331592872,NA,NA,NA,12.2490824111934,5.99430165742934,0.510632596287242
10,11.6644278191625,5.97094521952889,0.488106462477333,11.6644278191625,5.94067388539403,0.490701646279245,12.0827355856189,6.00951828074101,0.502635952085748,12.0827355856189,6.02373633323632,0.501459227461216,12.3414148003125,6.03373852803437,0.511098312011878,NA,NA,NA,11.6644278191623,5.98429933758451,0.486961604087129
11,12.2805124858062,6.12180300106741,0.501502644279463,12.2805124858062,6.03838885785477,0.508295043481781,12.4535065959979,6.11656825240601,0.508847712469062,12.4535065959979,6.03212799098694,0.515628153043623,12.6704318015418,6.06093353564865,0.5216474362846,NA,NA,NA,12.2805124858061,5.9437354855162,0.516002651160851
