"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s"
1,12.2485255225236,6.07890669680419,0.503702981585353,12.2485255225236,6.0705964181711,0.504381453342448,12.6441675135,6.10079957331921,0.517500889892081,12.6441675135,6.10062954865445,0.517514336776945,12.6441675135004,6.10062954865461,0.517514336776948,NA,NA,NA,12.2485255225238,6.06761565091453,0.504624810573584
2,12.3672182137064,5.94441451999626,0.519341017739287,12.3672182137064,5.96444828624909,0.517721108887786,12.5337311745167,5.89499514416921,0.529669572285485,12.5337311745167,5.92505649117656,0.527271136688871,12.5337311745165,5.92505649117644,0.52727113668887,NA,NA,NA,12.3672182137065,5.88313794492195,0.524295775876122
3,11.7819025595119,6.18569460364142,0.474983384695579,11.7819025595119,6.20755232792825,0.473128189902003,12.0852031512566,6.23876463037628,0.483768327905388,12.0852031512566,6.27119047906855,0.481085224585863,12.0852031512561,6.27119047906829,0.481085224585863,NA,NA,NA,11.7819025595117,6.22297500645154,0.471819175636649
4,12.8506268812104,6.1084604468259,0.524656617666069,12.8506268812104,6.09734035932042,0.525521951910715,13.1460113201912,6.14503477101825,0.532555189452791,13.1460113201912,6.11325551947798,0.534972595825434,13.1460113201912,6.11325551947764,0.534972595825459,NA,NA,NA,12.8506268812106,6.08197915055419,0.526717318402039
5,11.6227016145885,6.05477862768401,0.479055831556045,11.6227016145885,6.06342715487306,0.478311725110243,12.0536978500512,6.07294743685842,0.496175570981927,12.0536978500512,6.12845593968027,0.491570469417877,12.0536978500516,6.12845593968034,0.491570469417888,NA,NA,NA,11.6227016145883,6.10004697950021,0.475161009739447
6,12.5600141855108,6.21679251325805,0.505033002237392,12.5600141855108,6.16931888839317,0.508812745171093,12.8332438216871,6.31566318936887,0.507866968233242,12.8332438216871,6.26826378864126,0.511560453792015,12.8332438216878,6.26826378864171,0.511560453792008,NA,NA,NA,12.5600141855111,6.2261878805983,0.504284964281277
7,12.9296443012338,6.39230836673413,0.50560833555768,12.9296443012338,6.3607573498943,0.508048543200269,13.2400412054531,6.3905510507903,0.517331483216361,13.2400412054531,6.37762309614574,0.518307911797205,13.2400412054529,6.37762309614562,0.518307911797207,NA,NA,NA,12.9296443012341,6.3183776843102,0.51132625638378
8,12.1881937445206,5.99547788288541,0.508091353931688,12.1881937445206,5.94934038198735,0.511876779554644,12.6447797355072,6.06384139109934,0.520447052622694,12.6447797355072,6.05230279138982,0.521359571460576,12.6447797355075,6.05230279138979,0.521359571460588,NA,NA,NA,12.1881937445205,6.02628408115186,0.50556380974325
9,12.1110244722525,5.95561038246319,0.508248835917387,12.1110244722525,5.9909680371755,0.505329375652625,12.5048052890246,6.0702259380515,0.514568536034761,12.5048052890246,6.10234233018935,0.512000211986881,12.5048052890249,6.10234233018948,0.51200021198688,NA,NA,NA,12.1110244722522,6.06893054401136,0.498892058395554
10,12.5551711442586,6.16363464499411,0.509076015438252,12.5551711442586,6.14416308114537,0.510626895440206,12.8634043462962,6.20295533739358,0.517782760270641,12.8634043462962,6.19725497883371,0.518225905678062,12.8634043462958,6.19725497883345,0.51822590567807,NA,NA,NA,12.5551711442589,6.15929435352384,0.509421712953686
11,12.4632601056947,6.1600403542496,0.505744058776808,12.4632601056947,6.03386103109026,0.515868161306104,12.834255483473,6.14148578350965,0.521477050895689,12.834255483473,6.04285289128077,0.529162178588207,12.8342554834731,6.04285289128071,0.529162178588218,NA,NA,NA,12.4632601056944,5.93187356780116,0.524051209916505
12,11.9744797372699,5.91166496341095,0.506311331004118,11.9744797372699,5.87360674677781,0.509489608262769,12.2444424393409,5.97901686942071,0.511695457017271,12.2444424393409,5.97532830722095,0.511996700803424,12.2444424393408,5.97532830722071,0.511996700803438,NA,NA,NA,11.9744797372699,5.87938392900715,0.509007150372649
13,12.2564499743189,6.13975392583994,0.499059357423672,12.2564499743189,6.05053170753822,0.506338970891574,12.5684419936729,6.20412343090961,0.506372911293791,12.5684419936729,6.14556929573897,0.511031733381693,12.5684419936728,6.14556929573916,0.511031733381673,NA,NA,NA,12.256449974319,6.08631583114228,0.503419355205221
14,11.7288949737461,6.10504119380014,0.47948709512144,11.7288949737461,6.00662221928582,0.487878250020058,12.0243478336504,6.11806875518163,0.491193298811591,12.0243478336504,6.04954446553352,0.49689209350683,12.0243478336505,6.0495444655338,0.496892093506811,NA,NA,NA,11.7288949737461,6.00110290251126,0.488348824339882
15,11.6947712890798,5.89099728878335,0.496270842484611,11.6947712890798,6.03480219731993,0.483974329369313,11.9512799476843,5.88877486084873,0.507268268618396,11.9512799476843,6.05469235097095,0.493385446791068,11.9512799476843,6.05469235097078,0.493385446791082,NA,NA,NA,11.6947712890797,6.00718242088827,0.486336049470447
16,12.0352105152308,6.24332926112081,0.481244698360719,12.0352105152308,6.21930953632567,0.48324048603429,12.5461177342854,6.24305113061299,0.502391794590584,12.5461177342854,6.25194607982495,0.50168281437851,12.5461177342856,6.25194607982496,0.501682814378517,NA,NA,NA,12.0352105152306,6.1972017825079,0.485077408935611
