"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s"
1,11.8402412641901,5.93464410082094,0.49877338067681,11.8402412641901,5.90034010848726,0.501670618289479,12.3580074471111,5.97234838342465,0.516722383524635,12.3580074471111,5.94674392748291,0.518794275457968,12.4410845161919,5.94942851505789,0.521791809442755,NA,NA,NA,11.8402412641897,5.95841004054175,0.496766163155584
2,12.2785285723292,5.77084650542109,0.530005043240587,12.2785285723292,5.90503429348848,0.519076389430244,12.1554758826158,5.75267046125802,0.52674247254398,12.1554758826158,5.86608065531788,0.517412505115715,12.2347679262472,5.86968645567924,0.520245378493282,NA,NA,NA,12.2785285723291,5.83334361270557,0.524915092362808
3,12.2913912000669,6.18344999728183,0.496928386979645,12.2913912000669,6.2385148242509,0.49244843625049,12.1770305469781,6.28643316254882,0.483746621288648,12.1770305469781,6.26135214543586,0.485806320245318,12.176717180083,6.26133754211078,0.485794286792483,NA,NA,NA,12.2913912000668,6.26342788251526,0.490421565747479
4,11.8763130887031,5.90710811005467,0.502614315913112,11.8763130887031,5.88713281524751,0.504296260019669,11.7790104125779,5.89994126638171,0.499114012151512,11.7790104125779,5.89930199967672,0.499168283833309,11.7121733676413,5.89772689953847,0.496444706340081,NA,NA,NA,11.876313088703,5.87430966729573,0.505375984666192
5,11.0870050242633,5.85239235868006,0.472139469056573,11.0870050242633,5.78737265879837,0.478003965351055,11.1414330218779,5.85179601279705,0.474771692177646,11.1414330218779,5.77885906462506,0.481318152406664,11.1730219945598,5.7798948145559,0.482691896841326,NA,NA,NA,11.0870050242631,5.77119188188212,0.479463401590213
6,11.9743080882445,6.29761605106263,0.474072655835107,11.9743080882445,6.32281062698647,0.471968603079977,11.7853904095363,6.35356225842198,0.460895054161219,11.7853904095363,6.40027964907361,0.456931045415795,11.6801574936178,6.39503291678748,0.452487441176902,NA,NA,NA,11.9743080882444,6.41122438423756,0.464584981696628
7,12.4239365087617,6.05335634226033,0.512766638980218,12.4239365087617,5.96362080297034,0.519989433400224,12.5928991506577,6.06626728910021,0.518278736570093,12.5928991506577,5.99182072772369,0.524190525466825,12.6702764000031,5.99593926194393,0.526771234292691,NA,NA,NA,12.4239365087614,5.98027875595349,0.518648638317157
8,11.630300373911,5.94516597039199,0.488820943633742,11.630300373911,5.94905022735639,0.488486966278083,11.9262791218895,5.96242257436549,0.500060118212223,11.9262791218895,5.95931735410451,0.500320486113162,12.048942732646,5.96583125716421,0.504866826115781,NA,NA,NA,11.6303003739108,5.94830995308754,0.488550616763875
9,12.2490824111934,5.95235593207109,0.514056993638009,12.2490824111934,6.01253345422042,0.509144174854592,11.9320468725021,6.01812332335811,0.49563361695912,11.9320468725021,6.00859662896533,0.496432029376921,11.766181997828,6.00235158325122,0.489864122078068,NA,NA,NA,12.2490824111935,6.03715591496545,0.507134027488577
10,11.6644278191625,5.97094521952889,0.488106462477333,11.6644278191625,5.94067388539403,0.490701646279245,11.7063783040703,6.07924935629769,0.480689142415301,11.7063783040703,6.09755140471877,0.479125717080352,11.7050321467953,6.09751960283332,0.479068529982402,NA,NA,NA,11.6644278191622,6.08321963827284,0.478481093750745
11,12.2805124858062,6.12180300106741,0.501502644279463,12.2805124858062,6.03838885785477,0.508295043481781,11.9984959511843,6.00085146081223,0.499866359481504,11.9984959511843,5.90026466694269,0.508249643042941,11.9667025213865,5.8981265568015,0.50712182021233,NA,NA,NA,12.2805124858059,5.85618682558422,0.523131723341925
12,11.8761858622267,6.05272661335538,0.490347601193525,11.8761858622267,6.0456082525978,0.490946982243986,11.6959727714531,5.99702230390727,0.487257501270484,11.6959727714531,5.96250058775394,0.490209091260295,11.7922104586834,5.96746339135208,0.493948703488597,NA,NA,NA,11.8251890962085,5.92204747833955,0.499200610649149
13,12.0667196665173,6.2297731847186,0.483722721925417,12.0667196665173,6.15093029027385,0.49025663475539,11.4178662496046,6.468616370106,0.433465392859192,11.4178662496046,6.27138188987884,0.450739590674742,10.9795314837568,6.24889573305654,0.430859527813074,NA,NA,NA,12.0260439631404,6.25402691151647,0.479959749799274
14,12.0421990006881,6.05295988318959,0.497354272019277,12.0421990006881,5.99867623810507,0.501862057107483,12.2344906418534,5.98111667632315,0.511126629509025,12.2344906418534,6.01899771434455,0.5080303798056,12.220577336776,6.01834416867751,0.507523744351572,NA,NA,NA,12.0421990006879,6.02089871767,0.500016673256598
15,12.3012380547727,5.87517511636253,0.522391560085041,12.3012380547727,5.81961956083991,0.526907817332909,12.4443870395016,5.79962206145162,0.533956791681086,12.4443870395016,5.78253601636258,0.535329783780641,12.3708908491718,5.78015890836381,0.532761304029224,NA,NA,NA,12.3012380547725,5.79589176716316,0.528836712097078
16,12.4685861154993,6.12679063691373,0.508621861359428,12.4685861154993,6.17515235502469,0.504743176345508,12.2426462950738,6.17218086872594,0.495845855547627,12.2426462950738,6.19760896536587,0.49376884572254,12.1490467362525,6.19471778490751,0.490106679199563,NA,NA,NA,12.4685861154993,6.17675399749943,0.504614722127851
17,12.2303561786916,6.05137169035289,0.505217051577295,12.2303561786916,6.13372682206921,0.498483385728724,11.5852519045522,5.96403834645272,0.48520425834597,11.5852519045522,6.05702726281661,0.47717776767231,11.7800286229264,6.06538674062816,0.485112733187793,NA,NA,NA,12.1760779237553,5.97453062439297,0.509322241381459
18,12.3467720352221,5.96418771318513,0.516943562562681,12.3467720352221,5.94153750751726,0.518778066804214,12.2680316034787,5.94953570039753,0.515037465447148,12.2680316034787,5.95040559215429,0.514966558248269,12.1380663973373,5.94638248133244,0.510104633911304,NA,NA,NA,12.3467720352222,5.946030893003,0.518414134800537
19,12.6406539544154,6.26993443731877,0.503986545321997,12.6406539544154,6.25013083284823,0.505553205127886,12.3967606561357,6.11661178900024,0.506595960133111,12.3967606561357,6.03281745993527,0.513355333116851,12.2635720802259,6.02697966071983,0.5085461543103,NA,NA,NA,12.6406539544152,6.01532924334561,0.524128319227936
20,11.9798758538986,5.63679494991086,0.529478016412294,11.9798758538986,5.69597684321161,0.524537907347516,11.5430691071744,5.67713074934051,0.508178397215697,11.5430691071744,5.72478363606961,0.504050128876778,11.6004206106134,5.72596753737842,0.506400006553243,NA,NA,NA,11.9798758538986,5.68173254131392,0.525726926505259
21,12.7244674877583,5.86434133758922,0.539128742068689,12.7244674877583,5.9387936360657,0.533277628963318,13.037542573619,5.77650562236662,0.556932942711521,13.037542573619,5.74941252141351,0.559011026123339,13.1762037219013,5.75163463099276,0.563483173728374,NA,NA,NA,12.7244674877581,5.76014146730381,0.547317679671427
22,11.9287777186259,5.88804995407913,0.506399558029706,11.9287777186259,5.87004307612174,0.507909090555345,12.0472495117602,5.81944446616054,0.516948290937301,12.0472495117602,5.82098782657855,0.51682018199289,11.9626436845938,5.81825100617704,0.513631672096854,NA,NA,NA,11.9287777186257,5.83124010316578,0.511161978141247
23,11.6655873681899,5.71613352602245,0.510000367267457,11.6655873681899,5.75745710632968,0.506458018390973,11.2267822996787,5.58086116902153,0.502897533767868,11.2267822996787,5.60992419537537,0.50030881105302,11.0850554695529,5.602766142843,0.494565800033025,NA,NA,NA,11.6655873681901,5.57668386080086,0.521954301589008
24,12.5591939902231,6.07767748067847,0.516077426193932,12.5591939902231,6.00177844717798,0.522120730689393,12.7913374423623,5.97487834229672,0.532896511469617,12.7913374423623,5.90665232280032,0.538230278935594,12.6449088003316,5.90025237664349,0.533389092020279,NA,NA,NA,12.6063359774917,5.94190657864684,0.52865713009268
25,12.0368794935536,6.17647400551279,0.486870828205882,12.0368794935536,6.20009394237108,0.484908530845429,11.6846290677919,6.05337854207857,0.481936610314452,11.6846290677919,6.08842027323321,0.478937650659735,11.8871084195234,6.09925248078435,0.486901922189343,NA,NA,NA,12.0368794935534,6.00916848387967,0.500770238075575
26,12.0542612956969,5.83275009956865,0.516125463312232,12.0542612956969,5.77506902975044,0.520910581902518,11.8037456150119,5.78252810588059,0.510110748360554,11.8037456150119,5.6677376125516,0.51983566933674,11.7209106610884,5.66487927542171,0.516686080184177,NA,NA,NA,12.054261295697,5.65561648101121,0.530820152120803
27,12.387341404173,6.17736520643153,0.501316303080941,12.387341404173,6.17770172410405,0.50128913682617,12.271770839398,6.21001855712884,0.493959051354526,12.271770839398,6.17314522903552,0.496963778917963,12.153641033547,6.16885814360987,0.492427156061108,NA,NA,NA,12.3873414041729,6.20461241914629,0.499116701743914
28,12.8369403540092,6.0341582312476,0.529937970821605,12.8369403540092,6.18320166340772,0.518327460213166,12.5465389958969,5.97809571628618,0.523526311260724,12.5465389958969,6.11588091091278,0.512544382724762,12.4472261014589,6.11433701598358,0.508779147567107,NA,NA,NA,12.8369403540092,6.09489417483183,0.525206629714665
29,11.5887396530317,6.10489372585868,0.473204687598482,11.5887396530317,6.13554165293544,0.470560057725488,12.0575478893284,6.30109224599169,0.477415117582197,12.0575478893284,6.30363414262453,0.477204303853223,12.0747593878285,6.30400338911891,0.477918922717962,NA,NA,NA,11.5887396530317,6.284540312932,0.457702864928203
30,12.5707035840921,5.87197577075587,0.532884079918431,12.5707035840921,5.8194390765263,0.537063376158942,12.1571189178033,5.73322684720725,0.528405793677702,12.1571189178033,5.60760411492464,0.538739058749136,11.9861203200117,5.59857613817713,0.532911735515461,NA,NA,NA,12.5707035840921,5.60769011098365,0.553908015293588
31,11.6150512533856,5.6985766502998,0.509379982405264,11.6150512533856,5.74250542655241,0.505597926235705,11.4463218549651,5.68406445153273,0.503415636607567,11.4463218549651,5.7137336055334,0.500823611468261,11.197906173151,5.69952459646528,0.491018721863297,NA,NA,NA,11.6150512533857,5.73035205835478,0.506644272733241
32,12.0425280915685,6.26150914361986,0.480050277150376,12.0425280915685,6.26378220151851,0.479861524599304,11.749464271115,6.38915094746903,0.456217679373163,11.749464271115,6.36923067789116,0.45791309876576,11.3595859573712,6.351239982265,0.440891595336385,NA,NA,NA,12.0425280915688,6.37952536493889,0.470250323152217
33,11.8254769235189,5.7464195347399,0.514064458295867,11.8254769235189,5.76156392007824,0.512783800827565,11.7664377235639,5.8149199360537,0.505804554218775,11.7664377235639,5.81036985383419,0.50619125428267,11.7638774647865,5.81024683874428,0.506094240089084,NA,NA,NA,11.8254769235187,5.79723756873183,0.509767123455106
