"r","gs_nonparam_delta","gs_nonparam_delta.s","gs_nonparam_R.s","gs_param_delta","gs_param_delta.s","gs_param_R.s","cc_nonparam_delta","cc_nonparam_delta.s","cc_nonparam_R.s","cc_param_delta","cc_param_delta.s","cc_param_R.s","ipw_nonparam_delta","ipw_nonparam_delta.s","ipw_nonparam_R.s","ipw_param_delta","ipw_param_delta.s","ipw_param_R.s","smle_param_delta","smle_param_delta.s","smle_param_R.s"
1,11.8216316238329,5.93251920896579,0.498164094624163,11.8216316238329,5.93699501229294,0.497785483323323,11.9218651619261,6.01001178687374,0.495883261113586,11.9218651619261,5.90488469057792,0.504701268603853,11.9218651619263,5.90488469057802,0.504701268603852,NA,NA,NA,11.8216316238329,5.90083915616825,0.500843932213898
2,12.5843347650668,6.21451978090341,0.506170179280796,12.5843347650668,6.09631655092316,0.515563065928119,12.6411844067114,6.17965291532611,0.511149215413295,12.6411844067114,6.02645261313432,0.523268356884758,12.6411844067118,6.02645261313449,0.523268356884759,NA,NA,NA,12.5428493446376,6.01313164605527,0.520592850887899
3,11.693720514524,6.02425627250698,0.484829805447751,11.693720514524,5.96806740911608,0.489634851311564,11.8149832343957,5.99532713596657,0.492565751721676,11.8149832343957,5.93273984623345,0.497863033020469,11.8149832343958,5.93273984623345,0.497863033020475,NA,NA,NA,11.6937205145244,5.94507294887501,0.491601245173354
4,12.4875622134919,5.8116232478291,0.534607063534782,12.4875622134919,5.86240099205957,0.530540797968905,12.5551912544093,5.78353496059894,0.539351106374598,12.5551912544093,5.83172872036827,0.535512553954905,12.5551912544093,5.83172872036847,0.53551255395489,NA,NA,NA,12.4458874677063,5.81530919941427,0.532752548622716
5,11.6393123080603,6.07849545449461,0.47776163285135,11.6393123080603,6.05292285494826,0.479958721379392,11.5156881079116,6.14484441695651,0.466393639756981,11.5156881079116,6.12036666850633,0.468519239913985,11.5156881079114,6.1203666685062,0.468519239913988,NA,NA,NA,11.6827150390864,6.09154657139947,0.478584682497243
6,11.8053739758243,6.09633473207965,0.483596644666738,11.8053739758243,6.104404335847,0.48291309124574,11.6621568143201,5.91990211321181,0.492383595293223,11.6621568143201,5.99661645965863,0.485805537077385,11.6621568143199,5.99661645965859,0.48580553707738,NA,NA,NA,11.8053739758239,6.02850542923917,0.489342273985994
7,12.3750476514663,5.96556951106727,0.517935633131852,12.3750476514663,5.95960719497992,0.518417434596806,12.7550462693222,6.10650462181176,0.52124794431371,12.7550462693222,6.07173656849772,0.52397377161217,12.7550462693227,6.07173656849799,0.523973771612167,NA,NA,NA,12.3750476514664,6.08176465275443,0.50854616288821
8,12.1412988499661,6.14178302714609,0.494141186783882,12.1412988499661,6.10968405378984,0.496784970925341,12.2625711569124,6.39789540512521,0.47825824427378,12.2625711569124,6.23980997150781,0.491149947946242,12.2625711569125,6.23980997150765,0.491149947946258,NA,NA,NA,12.1412988499657,6.26963355572939,0.483610968381107
9,12.2696567071232,6.39811316902594,0.478541794465083,12.2696567071232,6.31878091917167,0.485007521400069,12.4717845803462,6.45885239666446,0.482122838551691,12.4717845803462,6.397731166485,0.487023599127349,12.4717845803466,6.39773116648529,0.487023599127345,NA,NA,NA,12.2696567071231,6.42527922945712,0.47632770966388
10,12.3453538230348,5.87629372266283,0.52400767066729,12.3453538230348,5.85233119031554,0.525948686914437,12.2886637363065,5.84412497132919,0.524429580242898,12.2886637363065,5.85541891163887,0.523510526670269,12.2886637363064,5.85541891163864,0.523510526670282,NA,NA,NA,12.3453538230343,5.83200837215396,0.527594878546743
11,12.4125660403117,5.92926140152624,0.522317836435264,12.4125660403117,5.97063748224264,0.518984433770414,12.6133701549973,5.98441101627091,0.525550194537029,12.6133701549973,5.98230029624655,0.525717534431,12.6133701549972,5.98230029624645,0.525717534431003,NA,NA,NA,12.4125660403116,6.00889918749567,0.515901936152373
12,11.8637132646905,6.27459094728721,0.471110704777227,11.8637132646905,6.25563778283461,0.472708279164752,11.6632797596146,6.28431317292878,0.461188164697129,11.6632797596146,6.29295593515068,0.46044714138293,11.6632797596144,6.29295593515076,0.460447141382913,NA,NA,NA,11.8637132646903,6.2844789006297,0.470277242848238
13,11.5448214386148,5.94696885092506,0.484879962626896,11.5448214386148,5.86549891240287,0.491936800963926,11.675847538618,5.98220965211758,0.487642363234756,11.675847538618,5.85194653388694,0.498798993860481,11.6758475386178,5.85194653388684,0.498798993860485,NA,NA,NA,11.5448214386147,5.85609466099675,0.492751387092962
14,12.4091662693949,5.93976422177876,0.521340588655969,12.4091662693949,5.83309600225734,0.529936510187337,12.3617578284418,5.93444155181857,0.519935462724836,12.3617578284418,5.84379124246391,0.527268587237767,12.3617578284423,5.84379124246414,0.527268587237765,NA,NA,NA,12.4512596394124,5.81692363533559,0.53282448492817
15,11.2991049220717,6.07293426737998,0.46252961546387,11.2991049220717,6.04536885546957,0.464969225689682,10.9533269725459,6.04969123842071,0.447684593586583,10.9533269725459,5.99325008535476,0.452837471174134,10.9533269725459,5.99325008535475,0.452837471174136,NA,NA,NA,11.2991049220717,6.01370509973278,0.467771549940597
16,12.0940889502971,6.20532700691718,0.48691240552148,12.0940889502971,6.16758228895288,0.490033328322645,11.993325922475,6.2412597448851,0.479605591874289,11.993325922475,6.09688638848805,0.491643400012773,11.993325922475,6.09688638848807,0.491643400012773,NA,NA,NA,12.0940889502969,6.07539290306455,0.497656009639703
17,11.8309213497909,6.05218022264515,0.488443879922158,11.8309213497909,5.88497272409041,0.502576971810026,12.196350015653,6.08534371759512,0.501052059855197,12.196350015653,6.00862236533538,0.507342577277317,12.1963500156533,6.00862236533546,0.507342577277319,NA,NA,NA,11.830921349791,6.05380796265228,0.488306296385003
18,12.6474220567992,6.16307308513584,0.51270124002681,12.6474220567992,6.26307205370837,0.504794571922952,12.8550332806473,6.01348726356897,0.532207569417808,12.8550332806473,6.22146822002919,0.516028618191495,12.8550332806474,6.22146822002932,0.516028618191488,NA,NA,NA,12.6690513466991,6.22009156694636,0.509032571048267
19,12.4039167685098,5.90088751175641,0.524272242237456,12.4039167685098,5.97212691601713,0.51852894311749,11.9000181465229,5.96869562347571,0.498429704057238,11.9000181465229,5.96032108408663,0.499133445789895,11.9000181465224,5.96032108408652,0.499133445789886,NA,NA,NA,12.4039167685097,5.90759393835402,0.523731572163412
20,11.3742489201665,5.84179264810364,0.486401898788575,11.3742489201665,5.91089360987062,0.480326687822824,11.5047370923765,5.8020381433625,0.495682682987413,11.5047370923765,5.80913081942303,0.495066182496912,11.5047370923766,5.80913081942311,0.49506618249691,NA,NA,NA,11.3504996259489,5.77123630402363,0.491543412694386
21,11.8802287786616,6.0522654252452,0.490559858904749,11.8802287786616,6.09551449505876,0.486919434918029,11.5113623965772,6.07015195710937,0.472681708038809,11.5113623965772,6.13122255475423,0.46737646305208,11.5113623965769,6.13122255475404,0.467376463052083,NA,NA,NA,11.8802287786613,6.08511063585372,0.487795163778033
22,12.3838987842879,6.09225890553699,0.508050008187521,12.3838987842879,6.15243000896963,0.50319119074394,12.6935321202907,6.19004517664777,0.512346514903212,12.6935321202907,6.26475919797232,0.506460523469424,12.6935321202908,6.26475919797242,0.506460523469422,NA,NA,NA,12.3838987842882,6.26841066432202,0.493825751202449
23,11.8526385484751,6.22890221659993,0.4744712587729,11.8526385484751,6.2193119647932,0.475280382561457,11.3276152204716,6.32567363474617,0.441570576716427,11.3276152204716,6.28898895320968,0.444809094341055,11.3276152204712,6.28898895320943,0.444809094341059,NA,NA,NA,11.8526385484753,6.28285148504203,0.469919591376532
24,12.1193225617243,5.79414222213486,0.521908737668708,12.1193225617243,5.73552158195917,0.526745694509913,12.1535896318094,5.76070997822139,0.526007529236959,12.1535896318094,5.71496587954129,0.529771363632056,12.1535896318089,5.71496587954098,0.529771363632063,NA,NA,NA,12.1193225617246,5.72484226344461,0.527626875653523
25,12.1591566395662,5.9579062519434,0.510006620643718,12.1591566395662,5.96503455167307,0.50942037112486,12.1378787010502,6.12608442884458,0.495292004498732,12.1378787010502,6.0777347304841,0.499275377504124,12.1378787010506,6.07773473048425,0.499275377504129,NA,NA,NA,12.1591566395663,6.05881457798848,0.501707662990961
26,11.1981425168302,6.21650685974039,0.444862676966532,11.1981425168302,6.03444520001689,0.461120878668276,11.7518073426494,6.32814752478077,0.461517080711933,11.7518073426494,6.14832495041196,0.476818775942777,11.7518073426496,6.14832495041212,0.476818775942773,NA,NA,NA,11.1981425168298,6.15612387418133,0.450254909246847
27,11.0893467516668,6.09941335728925,0.449975413892394,11.0893467516668,6.22816971833353,0.438364598221496,11.2188611452049,6.11788627380817,0.454678492350978,11.2188611452049,6.2008210068347,0.447286054566686,11.2188611452045,6.20082100683448,0.447286054566688,NA,NA,NA,11.0893467516667,6.21190463097377,0.439831329105106
28,11.4494721337645,5.43019327490164,0.525725447299183,11.4494721337645,5.46135205371961,0.523004031110389,11.3384740353881,5.35856270942856,0.527400010556609,11.3384740353881,5.3840684973875,0.525150520203733,11.338474035388,5.38406849738742,0.525150520203737,NA,NA,NA,11.4494721337646,5.38931783195112,0.529295519567408
29,11.9204806423169,5.97975811594778,0.498362667129376,11.9204806423169,5.97597958393693,0.498679645288581,12.123784498705,6.19138085115393,0.489319456988431,12.123784498705,6.15665274232368,0.492183918067722,12.1237844987053,6.15665274232398,0.492183918067708,NA,NA,NA,11.9204806423169,6.19088846198687,0.48065110394881
30,12.3423122123828,6.43884488014297,0.478311294565777,12.3423122123828,6.35859304445033,0.484813466469363,12.6179483760181,6.37939966998437,0.494418626556663,12.6179483760181,6.25232492963493,0.504489577598986,12.617948376018,6.25232492963485,0.504489577598986,NA,NA,NA,12.3423122123822,6.23967708507609,0.494448286698157
31,12.3230621234847,5.86037509607433,0.524438403592408,12.3230621234847,5.89932903528905,0.521277343555188,12.4136528407452,5.82186970846776,0.531010752180962,12.4136528407452,5.80619742137749,0.532273256239302,12.4136528407454,5.80619742137743,0.532273256239314,NA,NA,NA,12.3230621234847,5.79180391437669,0.530002863221882
32,12.5214675196765,5.93019476484172,0.526397784003921,12.5214675196765,5.95420154872287,0.524480533981636,12.3566100551161,5.92316318894121,0.520648206707082,12.3566100551161,5.9585372628792,0.51778544145187,12.356610055116,5.95853726287898,0.517785441451882,NA,NA,NA,12.5214675196765,5.93837897014188,0.525744170097458
