"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"30-1",1500,1000,0.7,0.8,6,12,0.5,11.5142650403372,5.91109014938953,0.486628966010284,6.00571557817926,0.478410861905659,6.00571557817925,0.478410861905659,5.96112176470525,0.482283780699676
"30-2",1500,1000,0.7,0.8,6,12,0.5,11.7602647479112,6.48042951759774,0.448955473664082,6.49095606360101,0.448060379358902,6.49095606360108,0.448060379358902,6.51694630451203,0.445850374612569
"30-3",1500,1000,0.7,0.8,6,12,0.5,11.7121640511538,5.90531728496736,0.495796228675125,5.77293871900232,0.507098885074649,5.77293871900219,0.507098885074649,5.85014042346693,0.500507301817496
"30-4",1500,1000,0.7,0.8,6,12,0.5,12.1610832765597,6.33077551280187,0.479423389443905,6.36789863451957,0.476370773087822,6.36789863451939,0.476370773087822,6.37306393370192,0.475946033032608
"30-5",1500,1000,0.7,0.8,6,12,0.5,12.3280896475201,6.04034133343021,0.510034278940753,6.05354842532159,0.508962978174049,6.0535484253215,0.508962978174049,6.00326218167467,0.513041975414066
"30-6",1500,1000,0.7,0.8,6,12,0.5,11.3053227398427,6.18910248325545,0.452549686048012,6.26431810138659,0.44589657053225,6.26431810138611,0.44589657053225,6.27452782388646,0.444993480657258
"30-7",1500,1000,0.7,0.8,6,12,0.5,12.5207200646046,6.10024489896274,0.512788013190406,6.04051687801724,0.517558347535181,6.04051687801744,0.517558347535181,6.09445632631826,0.513250332658825
"30-8",1500,1000,0.7,0.8,6,12,0.5,11.4965484067472,6.19092998938465,0.461496636177232,6.1663386353656,0.463635656790115,6.16633863536588,0.463635656790115,6.15345817348261,0.464756033222004
"30-9",1500,1000,0.7,0.8,6,12,0.5,11.324223524151,6.08437072295508,0.462711883955747,6.05656535670824,0.465167272282155,6.05656535670784,0.465167272282155,6.09750390997468,0.461552141127323
"30-10",1500,1000,0.7,0.8,6,12,0.5,11.4821167622114,6.16057513152337,0.463463465917857,6.0935472818329,0.469301052408099,6.09354728183281,0.469301052408099,6.12096013203185,0.466913613683459
