"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"4-1",1000,1000,1,0.3,6,12,0.5,11.5842217254949,6.25822744239,0.459762805763918,6.1887634810307,0.465759234613897,6.41566036604214,0.465759234613897,6.23562938515287,0.461713567564981
"4-2",1000,1000,1,0.3,6,12,0.5,11.8571667745074,6.2489741284934,0.472979148616808,6.10608822136135,0.485029742983014,6.26727294420921,0.485029742983014,6.10928066318305,0.484760501444761
"4-3",1000,1000,1,0.3,6,12,0.5,11.8237129794169,6.14808147181202,0.480021082843027,6.0936004133093,0.484628862023524,6.13406552433336,0.484628862023524,6.12495582728746,0.481976952760102
"4-4",1000,1000,1,0.3,6,12,0.5,12.1689708734938,6.2509384660343,0.486321519624149,6.31184334118458,0.481316587343232,6.50001926741559,0.481316587343232,6.29090005659529,0.483037627257537
"4-5",1000,1000,1,0.3,6,12,0.5,11.4942771920919,6.09227803955991,0.469972931942911,6.1167803443723,0.467841235934288,6.18396710798782,0.467841235934288,6.12542248516811,0.467089371275781
"4-6",1000,1000,1,0.3,6,12,0.5,11.9248093718996,5.98846686340549,0.497814457519372,5.98537160850354,0.498074021828152,6.03105108212773,0.498074021828152,6.03508216382253,0.493905355162827
"4-7",1000,1000,1,0.3,6,12,0.5,11.5222828843041,6.44261821960337,0.440855750176068,6.38258670712124,0.446065786510439,6.41859790811025,0.446065786510439,6.41334456027527,0.443396362971469
"4-8",1000,1000,1,0.3,6,12,0.5,11.7486269366447,6.08852457223311,0.481767137124542,6.15645409174438,0.475985225767785,6.25377226447596,0.475985225767785,6.11521869227172,0.479495031611058
"4-9",1000,1000,1,0.3,6,12,0.5,12.4293197919314,6.2300995908533,0.498757800495434,6.07574769969695,0.511176170425586,6.0874169491575,0.511176170425586,6.13070735962812,0.506754395070924
"4-10",1000,1000,1,0.3,6,12,0.5,11.7890789002492,6.1932522738199,0.474661903086512,6.1136423541537,0.481414756328042,6.21006247979283,0.481414756328042,6.13681163710149,0.479449438838538
"4-11",1000,1000,1,0.3,6,12,0.5,12.2930825060509,6.35762870053166,0.482828761833957,6.19943216360854,0.495697506255484,6.25585670652417,0.495697506255484,6.1958272904146,0.49599075029677
"4-12",1000,1000,1,0.3,6,12,0.5,11.8236588902931,6.03697997114095,0.489415245555069,6.00577158560939,0.492054731844476,6.08816037703497,0.492054731844476,5.99549158929669,0.492924174747733
"4-13",1000,1000,1,0.3,6,12,0.5,11.9780150047502,6.00313856456277,0.498820250084671,6.00571584221332,0.498605082742709,6.06688920591791,0.498605082742709,6.01596563793933,0.497749365353647
"4-14",1000,1000,1,0.3,6,12,0.5,11.9554414036784,6.33797787479631,0.469866677373678,6.27942926160621,0.474763912968182,6.53727463334732,0.474763912968182,6.27809503413674,0.474875512985648
"4-15",1000,1000,1,0.3,6,12,0.5,11.590668799162,6.2619246794466,0.459744317782653,6.17710890458467,0.467061908883872,6.36517465149133,0.467061908883872,6.16982608612247,0.467690243502728
"4-16",1000,1000,1,0.3,6,12,0.5,10.9368126388332,6.21596688064961,0.431647310242964,6.27444420452459,0.426300476041258,6.30106678690681,0.426300476041258,6.23953584927229,0.429492297681171
"4-17",1000,1000,1,0.3,6,12,0.5,11.7805777497445,6.15036939303454,0.47792294031013,6.10245840234332,0.481989887764575,6.07235258977681,0.481989887764575,6.07896637044151,0.483984020174789
"4-18",1000,1000,1,0.3,6,12,0.5,11.9325711295842,6.18339715921197,0.481805128830818,6.18595741871541,0.481590568240679,6.35610571049273,0.481590568240679,6.2024251903076,0.480210499233476
"4-19",1000,1000,1,0.3,6,12,0.5,12.2424723104806,6.08083519020172,0.503300065870193,5.90766952829506,0.517444730241491,6.01915660236224,0.517444730241491,5.96855698022364,0.512471269784778
