"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"4-1",1000,1000,0.5,0.5,6,12,0.5,11.5842217254949,6.25822744239,0.459762805763918,6.34053646561535,0.452657535753055,6.48066548062394,0.452657535753055,6.3369221043522,0.452969543011617
"4-2",1000,1000,0.5,0.5,6,12,0.5,11.9980382730417,6.25024574052421,0.479061026620672,6.14170439609307,0.488107617568379,6.21223516257118,0.488107617568379,6.19732573245639,0.483471748345633
"4-3",1000,1000,0.5,0.5,6,12,0.5,11.5436037785813,6.16189991691711,0.466206564682145,6.16122888643157,0.466264694751265,6.14398372667687,0.466264694751265,6.15872492416879,0.46648160814424
"4-4",1000,1000,0.5,0.5,6,12,0.5,12.2873477398215,6.24823612584301,0.491490250121808,6.16053947538984,0.498627400653404,6.05617657692007,0.498627400653404,6.18635326489892,0.496526557570285
"4-5",1000,1000,0.5,0.5,6,12,0.5,11.5147404374964,6.18484241400539,0.462876089341523,6.17523668775365,0.463710300612188,6.04200932382511,0.463710300612188,6.15291458872387,0.465648867890447
"4-6",1000,1000,0.5,0.5,6,12,0.5,11.7460277330132,6.22130767834608,0.470347949131725,6.27098357274055,0.466118783704604,6.24836173669842,0.466118783704604,6.31613788434349,0.46227456397098
"4-7",1000,1000,0.5,0.5,6,12,0.5,12.918155780246,6.37629477802905,0.506408276343944,6.38954446511319,0.505382612362991,6.41426232515694,0.505382612362991,6.37988336331523,0.506130482412115
"4-8",1000,1000,0.5,0.5,6,12,0.5,12.0335305802052,6.30804619149663,0.475794227683007,6.14251515566438,0.489550043960612,6.17240851674356,0.489550043960612,6.19073246957261,0.485543130645617
"4-9",1000,1000,0.5,0.5,6,12,0.5,11.9558055640881,6.19589767364307,0.481766607826595,6.14589300806338,0.485949066742612,6.11437880149773,0.485949066742612,6.19758346141388,0.481625606221828
"4-10",1000,1000,0.5,0.5,6,12,0.5,11.6079528260497,6.09567301970849,0.474870968976626,6.0389105179516,0.479760935588957,6.03823583932137,0.479760935588957,6.00465106538216,0.482712313242091
"4-11",1000,1000,0.5,0.5,6,12,0.5,12.3662584131308,6.23748099747732,0.495604831380993,6.22684242853424,0.496465121420847,6.1613255608169,0.496465121420847,6.26084643791531,0.493715380290986
"4-12",1000,1000,0.5,0.5,6,12,0.5,12.7951962496375,6.37240983133364,0.501968574220641,6.32489303440792,0.505682217684849,6.44671456581679,0.505682217684849,6.33463198169788,0.504921076776969
"4-13",1000,1000,0.5,0.5,6,12,0.5,12.2821702458653,6.16439522492636,0.498102118638066,6.15675520755964,0.498724159955992,6.18380161123862,0.498724159955992,6.18549379596643,0.496384297551261
"4-14",1000,1000,0.5,0.5,6,12,0.5,11.6371083408897,5.99785660708138,0.484592182921723,5.961192089307,0.487742838282175,5.99512533259117,0.487742838282175,5.99922980704621,0.484474181101632
"4-15",1000,1000,0.5,0.5,6,12,0.5,10.4691997413076,5.86084994342878,0.440181667343297,6.02956907136677,0.424065905670294,6.04197771432878,0.424065905670294,6.02698300779649,0.424312922026289
"4-16",1000,1000,0.5,0.5,6,12,0.5,11.3080218304786,6.31011689163885,0.441978713320913,6.30296447062603,0.442611221917027,6.3551907983496,0.442611221917027,6.25063840122445,0.447238562594823
