"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"4-1",1000,1000,0.3,1,6,12,0.5,11.5842217254949,6.25822744239,0.459762805763918,6.29423114307747,0.456654810980961,6.21999120802349,0.456654810980961,6.27771271399714,0.458080753048694
"4-2",1000,1000,0.3,1,6,12,0.5,11.8571667745074,6.2489741284934,0.472979148616808,6.18951880669755,0.477993442750181,6.06704638329072,0.477993442750181,6.18779714104522,0.47813864317496
"4-3",1000,1000,0.3,1,6,12,0.5,11.8237129794169,6.14808147181202,0.480021082843027,6.17176174661657,0.478018304625578,6.18402108824923,0.478018304625578,6.15812149157263,0.479171940126346
"4-4",1000,1000,0.3,1,6,12,0.5,12.1689708734938,6.2509384660343,0.486321519624149,6.46957906004136,0.468354462567311,6.40255868498872,0.468354462567311,6.42792046742178,0.471777808144571
"4-5",1000,1000,0.3,1,6,12,0.5,11.4942771920919,6.09227803955991,0.469972931942911,6.14509862375424,0.465377550840508,6.11613470025282,0.465377550840508,6.17175679392512,0.463058294942518
"4-6",1000,1000,0.3,1,6,12,0.5,11.9248093718996,5.98846686340549,0.497814457519372,5.97585877868294,0.498871756158649,5.83220181325681,0.498871756158649,5.96754752555343,0.499568727730295
"4-7",1000,1000,0.3,1,6,12,0.5,11.5222828843041,6.44261821960337,0.440855750176068,6.53129566524381,0.433159580369194,6.45740708723685,0.433159580369194,6.44026621651721,0.441059876659489
"4-8",1000,1000,0.3,1,6,12,0.5,11.7486269366447,6.08852457223311,0.481767137124542,6.2377755987067,0.469063437596211,6.22306178145007,0.469063437596211,6.22313273356018,0.470309784528961
"4-9",1000,1000,0.3,1,6,12,0.5,12.4293197919314,6.2300995908533,0.498757800495434,6.21580239516897,0.49990808031152,6.02059759743001,0.49990808031152,6.18363131395691,0.50249640225919
"4-10",1000,1000,0.3,1,6,12,0.5,11.7890789002492,6.1932522738199,0.474661903086512,6.25556567982611,0.46937621397259,6.05724242072508,0.46937621397259,6.25101091479257,0.469762568587066
"4-11",1000,1000,0.3,1,6,12,0.5,12.2930825060509,6.35762870053166,0.482828761833957,6.41143873492137,0.47845150052759,6.41880572758723,0.47845150052759,6.40610528734068,0.478885358152646
"4-12",1000,1000,0.3,1,6,12,0.5,11.8236588902931,6.03697997114095,0.489415245555069,6.0535435427936,0.488014361801035,6.11009515464107,0.488014361801035,6.05627188469543,0.487783609042761
"4-13",1000,1000,0.3,1,6,12,0.5,11.9780150047502,6.00313856456277,0.498820250084671,6.1238658325314,0.488741178725956,6.18483060570726,0.488741178725956,6.1494678770194,0.486603759088575
"4-14",1000,1000,0.3,1,6,12,0.5,11.9554414036784,6.33797787479631,0.469866677373678,6.49387276985139,0.456827017039002,6.3863620319075,0.456827017039002,6.45808890866163,0.45982011950854
"4-15",1000,1000,0.3,1,6,12,0.5,11.590668799162,6.2619246794466,0.459744317782653,6.29146181227287,0.457195963296982,6.05199537140606,0.457195963296982,6.25691636065769,0.46017641698898
"4-16",1000,1000,0.3,1,6,12,0.5,10.9368126388332,6.21596688064961,0.431647310242964,6.29150778627093,0.424740279089017,6.20645054507364,0.424740279089017,6.27493108640602,0.426255958328693
"4-17",1000,1000,0.3,1,6,12,0.5,11.7805777497445,6.15036939303454,0.47792294031013,6.2520044292658,0.469295601448632,6.10729710105054,0.469295601448632,6.13801831014368,0.478971367913023
"4-18",1000,1000,0.3,1,6,12,0.5,11.9325711295842,6.18339715921197,0.481805128830818,6.26237629247932,0.475186342953939,6.17825942345055,0.475186342953939,6.22888246751469,0.477993267346083
"4-19",1000,1000,0.3,1,6,12,0.5,12.2424723104806,6.08083519020172,0.503300065870193,6.21340212047552,0.492471621507667,6.21978533406522,0.492471621507667,6.15536261344843,0.497212453715015
"4-20",1000,1000,0.3,1,6,12,0.5,11.6028404677535,6.21526734227966,0.464332259022858,6.22400413492435,0.463579271625593,6.11286063259967,0.463579271625593,6.21614064961322,0.464256992338292
"4-21",1000,1000,0.3,1,6,12,0.5,11.8803974961202,6.13572400682529,0.4835421955512,6.25552142785044,0.473458574943028,6.15559392924636,0.473458574943028,6.2879632770648,0.470727870921975
"4-22",1000,1000,0.3,1,6,12,0.5,11.4366121196171,6.22986892081902,0.455269720118165,6.21421583527581,0.456638402152625,6.10088698975781,0.456638402152625,6.22987028296736,0.455269601013982
"4-23",1000,1000,0.3,1,6,12,0.5,13.1770697040342,6.01203723098953,0.543750062341331,6.15943373670111,0.532564228994297,6.2507475246952,0.532564228994297,6.14407957332663,0.533729447340966
"4-24",1000,1000,0.3,1,6,12,0.5,12.3521495415127,6.33143231020728,0.487422631265204,6.58005652977805,0.467294618830186,6.38647829762834,0.467294618830186,6.5040198545087,0.473450363222189
"4-25",1000,1000,0.3,1,6,12,0.5,12.3397471974109,6.13470629428946,0.502849920979204,6.14574254773632,0.501955554727587,6.10188731700205,0.501955554727587,6.14959715401883,0.501643181530564
"4-26",1000,1000,0.3,1,6,12,0.5,11.5711605043109,6.1402528492142,0.469348571655662,6.3852605015231,0.448174580315932,6.34865580414144,0.448174580315932,6.36289102060185,0.450107790119125
"4-27",1000,1000,0.3,1,6,12,0.5,12.0667487186124,6.39809280354738,0.469774920092718,6.59438653322548,0.453507594547492,6.51300202858933,0.453507594547492,6.55423001520458,0.456835460152164
"4-28",1000,1000,0.3,1,6,12,0.5,12.8148612146819,6.22921360100042,0.513907057076542,6.23395207255407,0.513537293294144,6.04320840535268,0.513537293294144,6.22708671142245,0.514073027627635
"4-29",1000,1000,0.3,1,6,12,0.5,11.8259152341954,6.30488764475293,0.466858376718114,6.47465989338292,0.452502426648466,6.31036203613693,0.452502426648466,6.39191736704778,0.459499138927943
"4-30",1000,1000,0.3,1,6,12,0.5,12.1648320635973,6.1576291648911,0.493817166344816,6.22905496232745,0.487945667497735,6.14923420752557,0.487945667497735,6.21239561864089,0.489315135123713
"4-31",1000,1000,0.3,1,6,12,0.5,12.9249994634951,6.36441398398963,0.507588839599952,6.44803493934306,0.501119132921077,6.44035147179253,0.501119132921077,6.42947064284811,0.502555442187269
"4-32",1000,1000,0.3,1,6,12,0.5,12.8643676583028,6.43200758544818,0.500013700145076,6.59122837961458,0.487636815528937,6.41168486411074,0.487636815528937,6.57904387369358,0.488583967090882
"4-33",1000,1000,0.3,1,6,12,0.5,10.7938243081777,6.08053978696063,0.43666492863388,6.12079215604818,0.432935724976464,6.10668409504848,0.432935724976464,6.11880869683973,0.43311948368439
"4-34",1000,1000,0.3,1,6,12,0.5,12.0388701278533,6.48220580914299,0.461560284287339,6.53370575084583,0.457282479048482,6.4320136865265,0.457282479048482,6.44019176222158,0.465050150568411
