"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.3,1,0.5,12,6,0.483214123470372,0.549144429448742,0.479453212446992,0.578935304499754,0.475317211502299,0.576172462583292,NA,11.5921089425944,13.8093197711888,11.2982119300874,13.0987192660101,11.3965239921911,13.1615297836766,NA,5.9906381807256,6.22600874436408,5.88124792530006,5.51540823918572,5.97955998740378,5.57821875685234,NA
"30-2",1000,1000,0.3,1,0.5,12,6,0.543071828169962,0.591566460859716,0.538144835135183,0.622772501549928,0.531003400511524,0.614950420486563,NA,13.2260022329462,15.4578236379048,12.8295242250749,14.6832591344528,13.0020677688974,14.8700280826441,NA,6.04333302092009,6.31349361583582,5.92538202610914,5.5389291123838,6.09792556993158,5.72569806057513,NA
"30-3",1000,1000,0.3,1,0.5,12,6,0.528517190216541,0.584046141298997,0.527654236163197,0.611753834872894,0.530350802072961,0.612744166983191,NA,12.3586708580123,15.0100820156321,12.5562096703737,14.3302419732814,12.4923676872549,14.3070810856889,NA,5.82690086132459,6.24350153382068,5.93087244764773,5.56366149147,5.86703046452894,5.54050060387747,NA
"30-4",1000,1000,0.3,1,0.5,12,6,0.50455966121139,0.570194706495079,0.513551839939605,0.600690634782328,0.513579078838782,0.59869223598739,NA,11.9144976963659,14.4100328154367,12.024632395869,13.6784626828086,12.0239946406275,13.7241205712843,NA,5.90292277518363,6.19350838365429,5.84936030437309,5.46193825102593,5.84872254913157,5.50759613950157,NA
"30-5",1000,1000,0.3,1,0.5,12,6,0.50134495401822,0.577873447416935,0.522423215670913,0.61037365327074,0.520088070403005,0.605974061112416,NA,12.0058671728398,14.565386960429,11.9679847295872,13.7898323931281,12.0217198265796,13.8899515935276,NA,5.98678624712359,6.14843658464424,5.71563166205587,5.37288201734331,5.76936675904825,5.47300121774279,NA
"30-6",1000,1000,0.3,1,0.5,12,6,0.502361998444071,0.562261435008214,0.500831501281999,0.589842355029972,0.500633520475279,0.590259003658956,NA,12.3398842803872,14.7903918111305,12.3003758278209,14.098795810683,12.3052401411953,14.0888438338246,NA,6.14079535272331,6.47432488707052,6.13996013564055,5.78272888662305,6.14482444901495,5.77277690976467,NA
"30-7",1000,1000,0.3,1,0.5,12,6,0.497505698132117,0.571328046753366,0.517598353199089,0.603600719417984,0.518444488338385,0.602637704750513,NA,11.8128197836396,14.2609783456634,11.9318257317987,13.4984877269142,11.9123522158202,13.5200583016844,NA,5.93587463027111,6.11328144264349,5.75593238236116,5.35079082389395,5.73645886638264,5.37236139866421,NA
"30-8",1000,1000,0.3,1,0.5,12,6,0.503921040835138,0.578534668343635,0.51397987104511,0.603752519731218,0.516018375552834,0.60642457245306,NA,11.9176620192297,14.5102138633621,12.0601737318694,13.9041436527222,12.0125306251876,13.8428786470155,NA,5.91210137017807,6.11555209832667,5.86148719238155,5.50948188768635,5.81384408569961,5.44821688197954,NA
"30-9",1000,1000,0.3,1,0.5,12,6,0.51545278200062,0.576718012433345,0.503112603219171,0.601437314602004,0.502353574929037,0.601741102141069,NA,12.4047938806342,14.8562210800856,12.1677899006492,14.24562474852,12.1861747539157,14.2384328793432,NA,6.01070836471704,6.2883707865083,6.04602144830965,5.67777445494226,6.06440630157615,5.6705825857656,NA
"30-10",1000,1000,0.3,1,0.5,12,6,0.533990969500717,0.58692766867429,0.526013121835459,0.614148476973075,0.526396784866073,0.614370810844435,NA,12.6993637517408,15.213202482003,12.6695153718486,14.5389100528915,12.6602812260412,14.5336485852234,NA,5.91801818990647,6.28415301617103,6.00518403896017,5.60986058705964,5.99594989315282,5.60459911939163,NA
"30-11",1000,1000,0.3,1,0.5,12,6,0.492006048367954,0.547676001356309,0.459569283449284,0.574463789961583,0.454957266676047,0.572291759601481,NA,11.7071891877737,13.8336800437519,11.07124987043,13.1886024894817,11.1834819279067,13.23865745626,NA,5.94718129800111,6.25730547334726,5.9832435005885,5.61222791907729,6.0954755580653,5.6622828858557,NA
"30-12",1000,1000,0.3,1,0.5,12,6,0.524235777744814,0.588963708207842,0.527064894730391,0.613345988531108,0.529782835430929,0.615984174071079,NA,12.7670575054893,15.3016267736886,12.8176212175373,14.6933427702486,12.7518630765381,14.6304129644808,NA,6.07410918458633,6.28952392744456,6.06190303982198,5.68123992400408,5.99614489882276,5.61831011823629,NA
"30-13",1000,1000,0.3,1,0.5,12,6,0.503150860697687,0.568280195646984,0.498088917679799,0.595571517191434,0.496260360726417,0.594576966597867,NA,11.9633186590314,14.5571123393345,11.8608819650609,13.8900508326239,11.9045854318434,13.9132847604017,NA,5.94396457893907,6.28459369108238,5.95310810435585,5.61753218437194,5.99681157113835,5.64076611214974,NA
"30-14",1000,1000,0.3,1,0.5,12,6,0.504222609107544,0.566041280066536,0.492888661757801,0.590543135095735,0.492736305490617,0.592294863080595,NA,11.7434295053779,14.1968449010583,11.6572044405151,13.6078125087308,11.660808900212,13.5675670373108,NA,5.82212684030572,6.16084464035717,5.9115005439925,5.57181224802996,5.9151050036894,5.53156677661002,NA
"30-15",1000,1000,0.3,1,0.5,12,6,0.49094173517488,0.552927834720808,0.486313231957902,0.579416118601117,0.487911971512203,0.580629061896273,NA,12.2963757189812,14.8489481778232,12.3769449961785,14.1701214382288,12.3363895011669,14.1405198303902,NA,6.25957168714231,6.63855141397791,6.35787287332172,5.95972467438379,6.31731737831011,5.93012306654508,NA
"30-16",1000,1000,0.3,1,0.5,12,6,0.525598013244826,0.581150229426517,0.524225037003866,0.610683484552583,0.52190927967017,0.607413232153615,NA,12.7708615290615,15.2140855835763,12.762192925201,14.4783174116591,12.8188198966148,14.5562672318836,NA,6.05852208196198,6.37241625616625,6.07193186673704,5.63664808424879,6.12855883815095,5.71459790447344,NA
"30-17",1000,1000,0.3,1,0.5,12,6,0.52504869235873,0.581741746498512,0.516382613493086,0.60641785130677,0.517301026049664,0.60895591303225,NA,12.5514329805382,15.0479031883897,12.5079063218093,14.4355801253059,12.4856998740276,14.3754142042318,NA,5.9613195068784,6.29390970643534,6.04904096602673,5.68158664335118,6.02683451824496,5.62142072227706,NA
"30-18",1000,1000,0.3,1,0.5,12,6,0.520084627345288,0.58381508055236,0.519944790769881,0.61068876809053,0.52090316569839,0.610372128503826,NA,12.5152288539091,15.0095080505377,12.5081840896178,14.3490065798567,12.4851711174915,14.3564503396564,NA,6.00625071928278,6.24673089896174,6.00461893023031,5.58622942828111,5.98160595810406,5.59367318808083,NA
"30-19",1000,1000,0.3,1,0.5,12,6,0.503988432791437,0.563288241257414,0.492921893550304,0.587005920676372,0.489224708261315,0.585825642152606,NA,11.6265696669545,13.9646836231425,11.3329324970488,13.4004475946899,11.4185781126558,13.4274458333583,NA,5.76691304176565,6.09854154534637,5.74668195112571,5.53430551689348,5.83232756673275,5.56130375556184,NA
"30-20",1000,1000,0.3,1,0.5,12,6,0.507459770833898,0.568120114190603,0.507389192943448,0.596180564819608,0.505604893984842,0.595306196555898,NA,12.7368026531118,15.1595112329308,12.6358696401697,14.4459980095664,12.6804621061609,14.467215867318,NA,6.2733876976071,6.54708798020441,6.2245659413054,5.83357475684018,6.26915840729661,5.85479261459177,NA
"30-21",1000,1000,0.3,1,0.5,12,6,0.483218438119464,0.561167009065355,0.50525900365683,0.592769358736326,0.505736927269953,0.5910091072005,NA,11.7587938121596,14.373176224762,11.9622921541539,13.6068981872039,11.9509877356325,13.6474247427849,NA,6.076727832079,6.30742391194303,5.91823633889417,5.54114587438458,5.90693192037281,5.58167242996561,NA
"30-22",1000,1000,0.3,1,0.5,12,6,0.500968299091446,0.566391924056205,0.49607685735082,0.593804232255854,0.49660820324449,0.591896233198355,NA,11.9485878967223,14.3680304525367,11.8710079903702,13.7047463976372,11.8583066066471,13.748924146613,NA,5.96272414155669,6.23009403962628,5.98207565292086,5.56680998472706,5.96937426919782,5.61098773370285,NA
"30-23",1000,1000,0.3,1,0.5,12,6,0.530265008463448,0.59630703284353,0.540159336052493,0.62521138292396,0.539846601253026,0.625076673828809,NA,12.4179185347409,14.9533215854463,12.4071551997336,14.2620097287278,12.4143427029695,14.2650833075479,NA,5.8331308578181,6.03655075967369,5.70531448474528,5.34523890295494,5.71250198798108,5.34831248177499,NA
"30-24",1000,1000,0.3,1,0.5,12,6,0.49098320558629,0.555888206869201,0.478283817417258,0.581274767590085,0.479603893889221,0.580874342486758,NA,12.3202524644816,14.7532239127393,12.2103175749385,14.1088924612948,12.1767095222281,14.1186184111403,NA,6.27121541583804,6.55208072634682,6.37032027331987,5.90774927490218,6.33671222060955,5.91747522474776,NA
"30-25",1000,1000,0.3,1,0.5,12,6,0.484797712500732,0.556751535570233,0.496048235510232,0.585949601011763,0.492185566359187,0.582664438914184,NA,11.7302187481393,14.2629188451999,11.7223252188888,13.5521928081639,11.8143219516178,13.6286023969065,NA,6.04343553190819,6.32201687642125,5.9074864779819,5.6112908393858,5.99948321071104,5.68770042812849,NA
"30-26",1000,1000,0.3,1,0.5,12,6,0.4905899331605,0.557858491802749,0.493218757119088,0.583606683949594,0.492900483114863,0.582810158099522,NA,12.2378572284951,14.8589587483244,12.3521044379705,14.2033951033622,12.3600803963531,14.222806864124,NA,6.23408766873995,6.56976243122487,6.25981483926953,5.91419878626308,6.2677907976521,5.93361054702494,NA
"30-27",1000,1000,0.3,1,0.5,12,6,0.499857801428764,0.556506608902909,0.498385041005438,0.585401204411203,0.500990849982566,0.585608403538914,NA,12.2074675444841,14.7821772721378,12.4030257121651,14.0525494036066,12.3385137240811,14.0475773506769,NA,6.1054696566853,6.55579792621872,6.22154323401622,5.82617005768736,6.15703124593216,5.82119800475758,NA
"30-28",1000,1000,0.3,1,0.5,12,6,0.516176460615758,0.579838107281824,0.527019810111288,0.609064706584255,0.526881622832393,0.608683252603604,NA,12.261366438291,14.9106412967244,12.4756705765506,14.1951387666794,12.478942618874,14.2040346779194,NA,5.9323377078611,6.26488326887354,5.90074503828592,5.54938073882902,5.90401708060937,5.55827665006901,NA
