"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.5,0.4,0.5,12,6,0.483214123470372,0.609272526123148,0.430953865348485,0.638336375780865,0.427307885665603,0.635254056073471,NA,11.5921089425944,16.9390966144868,10.7809311813271,16.2945711431112,10.8613654478552,16.3562357416121,NA,5.9906381807256,6.61857042993437,6.13484721667815,5.89315365471412,6.22021834289079,5.96587064465912,NA
"30-2",1000,1000,0.5,0.4,0.5,12,6,0.531538195485771,0.648214903416454,0.523343534611085,0.675678568710215,0.522259126033639,0.674421470749028,NA,12.6790751379883,18.2314995948835,12.447517146386,17.6161615351545,12.4457601965463,17.6099413747298,NA,5.93966241871348,6.41356984584896,5.93318952586428,5.71329872291338,5.94584835347378,5.73341881298037,NA
"30-3",1000,1000,0.5,0.4,0.5,12,6,0.530159449446341,0.637548311396349,0.507066346277154,0.666302171692769,0.508120447137999,0.6672983995499,NA,12.788484382582,18.417470115363,12.4038944158323,17.7435507535993,12.4008760899591,17.7495713706332,NA,6.00854854305918,6.67544314312061,6.11429699478863,5.92098435293521,6.09973738622614,5.90531080231294,NA
"30-4",1000,1000,0.5,0.4,0.5,12,6,0.496951120143001,0.632165707025378,0.491906757780759,0.660348347357111,0.489012722691649,0.658416725367498,NA,11.712857291309,17.3150011018517,11.5050483200081,16.732812110761,11.5398689073812,16.7336612486029,NA,5.89213974031787,6.36905118815443,5.84563730280195,5.68332728678291,5.896726193478,5.71593880588877,NA
"30-5",1000,1000,0.5,0.4,0.5,12,6,0.506012113386312,0.642940684678108,0.509764437034962,0.672586185796062,0.510573401679704,0.673538020138653,NA,12.1975486888495,17.776116936627,11.893373743452,17.1448412160964,11.895388588237,17.1506867127556,NA,6.02544129867235,6.34712814247393,5.83055477267481,5.61345785648302,5.82191957243892,5.59904714022787,NA
"30-6",1000,1000,0.5,0.4,0.5,12,6,0.495723566542273,0.634835923418411,0.503087116455997,0.662941617540949,0.507007454056856,0.666878969732632,NA,12.0321697361688,18.0119795889691,12.1928897342192,17.3051165162991,12.2069244998834,17.3569555119037,NA,6.06753964131321,6.57732789401233,6.05880399656492,5.83283458124917,6.01792278733326,5.78196690243025,NA
"30-7",1000,1000,0.5,0.4,0.5,12,6,0.481848390215474,0.622890852366949,0.478312244937428,0.645083661025745,0.485027381194831,0.651509261660309,NA,11.7480595345657,17.6289457871925,11.8682393890688,17.0398943701769,11.7772683747794,16.9775640566768,NA,6.08727595967968,6.64803671947744,6.19151516342847,6.0477369263712,6.06497073733143,5.91652383332069,NA
"30-8",1000,1000,0.5,0.4,0.5,12,6,0.462308089998909,0.608515426289495,0.449241080532335,0.64064135957869,0.451217465514868,0.64233254668755,NA,11.0785136064407,16.3569570721452,10.5792567945646,15.6063990641942,10.6180320312563,15.6910882009063,NA,5.95682714102017,6.40349636658979,5.82662004094538,5.60829434958124,5.82699052935713,5.6121915565192,NA
"30-9",1000,1000,0.5,0.4,0.5,12,6,0.476286031757765,0.625735647762083,0.484697811493127,0.657479999884574,0.482331661549206,0.655010541267501,NA,11.7507469917627,17.5462057748593,11.7266351030965,16.8622213519263,11.7743730487163,16.9117338598471,NA,6.15403033686656,6.56691933856092,6.04276073244714,5.77564805940815,6.0952201324288,5.83436991053672,NA
"30-10",1000,1000,0.5,0.4,0.5,12,6,0.467279193099929,0.603316695387807,0.425710859580014,0.629913108744977,0.426760850238364,0.631115858346489,NA,11.3223023715568,16.7314807423506,10.7448480067928,16.047779516631,10.7417359140336,16.0520513186171,NA,6.03162605534235,6.63709907193091,6.17064952576445,5.93907283285599,6.15758356232466,5.92134717244619,NA
"30-11",1000,1000,0.5,0.4,0.5,12,6,0.47158142417166,0.614902280679787,0.487035145639602,0.647573511877086,0.484124165673284,0.64520943409824,NA,11.618563328892,17.5633296538551,11.9580590295479,16.7897060477534,12.0495011574974,16.8785950670616,NA,6.1394646874245,6.76359819336866,6.13406400852508,5.91713713902579,6.21604646284468,5.98836629546944,NA
"30-12",1000,1000,0.5,0.4,0.5,12,6,0.463581282118794,0.623292182492733,0.458384096838855,0.657326782063187,0.453338392054395,0.652862997945765,NA,11.1471236049756,16.6956092538783,10.6526670376441,16.0349745123712,10.7274541347435,16.0789919623066,NA,5.97952575224436,6.28936652398262,5.76965387866859,5.49475631568901,5.86428732646162,5.58161306584926,NA
"30-13",1000,1000,0.5,0.4,0.5,12,6,0.523324346045178,0.633592578000049,0.497002079515134,0.657238661024013,0.511770245299052,0.67124098732346,NA,12.6316767453555,18.0648238920711,12.3128062687003,17.4555662334015,12.1510381880906,17.3680772306866,NA,6.02121277313826,6.6190855511769,6.19331594848926,5.98309325474471,5.93249839393333,5.70991192245043,NA
"30-14",1000,1000,0.5,0.4,0.5,12,6,0.497100313567648,0.618242003152432,0.480109522236621,0.640294697769146,0.485642979471425,0.645272778395447,NA,12.0991979309726,18.140430649221,12.5585235766881,17.5846515108066,12.4520563326524,17.5004660318942,NA,6.08468284556907,6.92525446659884,6.52905682228704,6.32529238631895,6.40480259471706,6.20789169227868,NA
"30-15",1000,1000,0.5,0.4,0.5,12,6,0.476076486982835,0.607492123892289,0.466951942983978,0.634461488167207,0.473346067881026,0.640243936748752,NA,11.9139783991358,17.7749451367593,12.1745873703508,17.079311562857,12.0850353894526,17.0306182850077,NA,6.24201341688585,6.97680596356049,6.48964014273732,6.24314613181538,6.36463140765217,6.12686818894908,NA
"30-16",1000,1000,0.5,0.4,0.5,12,6,0.49799698259561,0.637975629308093,0.523710937630672,0.663990730617055,0.529782424328847,0.669841287841088,NA,12.3428999873898,18.7165990513229,13.1410074427896,18.0738217014261,13.0296411146563,17.9700709483653,NA,6.19617303719031,6.77586499304792,6.25891811351463,6.07297162485381,6.12676625679886,5.93297548171656,NA
"30-17",1000,1000,0.5,0.4,0.5,12,6,0.50157748070443,0.634707097811055,0.502204367025336,0.663960673219303,0.499744000009431,0.662265508258722,NA,12.470104291617,18.0763003155524,12.2061910868832,17.4510116570674,12.238991102178,17.4567497655128,NA,6.21538079690625,6.6031442031071,6.0761886183047,5.86422620888301,6.12262873269575,5.89574650951013,NA
"30-18",1000,1000,0.5,0.4,0.5,12,6,0.503988432791437,0.636237732643132,0.488453619308782,0.659183976991442,0.49226391630195,0.663555669894878,NA,11.6265696669545,17.0519972583433,11.2665825022599,16.4533331789684,11.2784987953662,16.4898587979484,NA,5.76691304176565,6.20287318565807,5.76337950179006,5.60755957929078,5.72650080835241,5.54791949680379,NA
"30-19",1000,1000,0.5,0.4,0.5,12,6,0.48939294867357,0.626830801287437,0.495082527976824,0.660383825769995,0.491923811377529,0.656933134843993,NA,12.473820404776,18.1452601165772,12.2864277542816,17.4508267660464,12.3088053432994,17.4623136660164,NA,6.3692206556581,6.77125217813416,6.20363204188726,5.92658302343525,6.25381090531944,5.99074120777115,NA
"30-20",1000,1000,0.5,0.4,0.5,12,6,0.493493708772417,0.643667374360357,0.521645774843622,0.676239530241032,0.517330372653371,0.672160991203043,NA,12.0685926770906,18.2185848832433,12.2714151043568,17.5086506008989,12.351041012879,17.5825202006112,NA,6.11281811720954,6.49187618688479,5.87008326381689,5.66860894339265,5.96147236302922,5.76423599472086,NA
"30-21",1000,1000,0.5,0.4,0.5,12,6,0.500952416522862,0.635475923775693,0.513794715649879,0.668010688887949,0.519205424343007,0.672955244978618,NA,11.6621845913635,17.4818478159386,11.9007121809821,16.7785494202074,11.8171057002459,16.7124221361154,NA,5.81998503838429,6.37255442579893,5.78618914992333,5.57029906347417,5.68160032064355,5.46571000331979,NA
"30-22",1000,1000,0.5,0.4,0.5,12,6,0.496002259098259,0.635607563158004,0.490895673691876,0.66728856153643,0.490277472409526,0.66742999726506,NA,11.7195844863829,17.0300204992756,11.2729303849559,16.3684913525632,11.3096046379323,16.3975869938313,NA,5.90664410544407,6.20561066920016,5.73909762915135,5.44598430338983,5.76476026209578,5.45334555138491,NA
"30-23",1000,1000,0.5,0.4,0.5,12,6,0.510445376333057,0.644620961680621,0.506995394042612,0.672765647190098,0.513821406423012,0.678871096102952,NA,12.0699247111277,17.562592721229,11.7547820693372,16.9054614942096,11.7034170684049,16.9047907646687,NA,5.90888744964446,6.24137731166529,5.79516170220858,5.5320477510104,5.689950850362,5.42861692886698,NA
"30-24",1000,1000,0.5,0.4,0.5,12,6,0.524337468955211,0.650087713522691,0.510720953775046,0.676306216012599,0.509314062710349,0.674834504486471,NA,13.0857031962572,18.4822931553965,12.4206382665102,17.8656934971654,12.4296297300687,17.8682593335785,NA,6.22437870283258,6.4671814573487,6.07715804454329,5.78301393165656,6.09904451426206,5.81014140016727,NA
"30-25",1000,1000,0.5,0.4,0.5,12,6,0.483954924813009,0.627487913344275,0.476908045819846,0.656878844458995,0.480351347715708,0.660908651974693,NA,11.3951586772837,17.1546316985729,11.2684824030229,16.4553222057191,11.2731041698325,16.4798282713568,NA,5.88041551638658,6.39030764984583,5.8944524808419,5.64616917002588,5.8580533889139,5.58816718375993,NA
"30-26",1000,1000,0.5,0.4,0.5,12,6,0.504514621871675,0.630713855208904,0.487562389865609,0.656045756506378,0.492071127633758,0.660525349128311,NA,11.8548082153256,17.3785023198265,11.6644459036975,16.7653883861754,11.6167152920468,16.7369060668755,NA,5.87388413120938,6.41764012393185,5.97730078243266,5.76652647924371,5.90046509888903,5.68175534372481,NA
"30-27",1000,1000,0.5,0.4,0.5,12,6,0.511100203643964,0.63091722002251,0.482141524007719,0.654906104935558,0.485381332416286,0.658372126664731,NA,12.0033982665108,17.5337039051405,11.6654732353432,16.8510660625387,11.6885313351232,16.9083450198745,NA,5.86845896807751,6.47138818061145,6.04106419138356,5.81520002350971,6.01513642169161,5.7763619507587,NA
"30-28",1000,1000,0.5,0.4,0.5,12,6,0.487557602836066,0.624218675822262,0.500913429983886,0.653013341436896,0.504778092586723,0.656585620734294,NA,12.1278611633943,18.1903234527948,12.7276058545862,17.608685872819,12.6310283874769,17.5140848269337,NA,6.21483024704113,6.8355838343126,6.35217715048244,6.10997907269679,6.25516197063756,6.01458856924836,NA
"30-29",1000,1000,0.5,0.4,0.5,12,6,0.519743715696864,0.65498251917534,0.540460140998561,0.686623377936264,0.541182540253664,0.687505563197594,NA,12.3766574392525,18.2655428796712,12.4771991364055,17.6239196656165,12.448364810133,17.5841014692345,NA,5.94396751386815,6.30193159023897,5.73377033187668,5.52292441233354,5.7115271201809,5.49493388530479,NA
"30-30",1000,1000,0.5,0.4,0.5,12,6,0.492549635597285,0.600939169294549,0.445852977095466,0.630206783514021,0.441168998343382,0.625599420604424,NA,12.1556192106129,17.2348645750572,11.4171579006293,16.5724529487819,11.5034502691453,16.6439712780876,NA,6.16837339796617,6.87775937441827,6.32678406066471,6.12838068099261,6.42848463641358,6.23151248995933,NA
"30-31",1000,1000,0.5,0.4,0.5,12,6,0.49290012918088,0.640295174829185,0.508880446712137,0.665676859837189,0.512303140252536,0.669367303153157,NA,12.0782955958924,18.2736135748999,12.421784672754,17.6365045974225,12.3775705853602,17.594387434083,NA,6.12490213639216,6.5731069761984,6.10058133952096,5.89629159850615,6.03650230578275,5.81727976669908,NA
"30-32",1000,1000,0.5,0.4,0.5,12,6,0.529106564929779,0.650739541795676,0.538605292763993,0.681819867333242,0.539880073077226,0.682461707334126,NA,12.5961986444509,18.8130532485635,12.9596872092868,18.1704600661955,12.8857584135698,18.0925354978823,NA,5.93146724851233,6.57065559781562,5.97953108579909,5.78147939447813,5.92899421959624,5.74507283199426,NA
"30-33",1000,1000,0.5,0.4,0.5,12,6,0.512060835662289,0.655500601440486,0.545343327060935,0.686127932943714,0.553694854715101,0.694401215015839,NA,11.9776010546828,18.0646599582356,12.5577679943326,17.402962377357,12.4984717176582,17.3765178375237,NA,5.84434064939242,6.2232644907943,5.70947301584393,5.4623037742838,5.57813223578863,5.31024273840287,NA
"30-34",1000,1000,0.5,0.4,0.5,12,6,0.522428665272564,0.642512959004641,0.518094103975618,0.670429597785195,0.518235060101807,0.670341304141808,NA,12.5539774363962,18.1069410664957,12.4256098334237,17.4879406078443,12.3946528298499,17.4514157116133,NA,5.99541976043786,6.47299678333889,5.98797464042543,5.76350762003587,5.97130917563161,5.7530109443696,NA
"30-35",1000,1000,0.5,0.4,0.5,12,6,0.434458749371459,0.593587710108779,0.430138248790833,0.628103273565203,0.426150475709843,0.624389531494392,NA,11.162280077103,16.6142069966498,10.8330078602704,16.024777173108,10.8227860194704,15.955571767631,NA,6.31272983467087,6.75221791023518,6.17331683011636,5.95956217252593,6.21065060876723,5.99307978691475,NA
