"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,1,0.6,0.5,12,6,0.483214123470372,0.58244457750618,0.508292026276016,0.591210597443844,0.509926083662808,0.592789855924856,NA,11.5921089425944,14.6106981060303,12.0326225058856,14.4733116708961,12.000417289538,14.4423992975951,NA,5.9906381807256,6.10077622059315,5.91653643095462,5.91653643095465,5.88109149876443,5.88109149876446,NA
"30-2",1000,1000,1,0.6,0.5,12,6,0.543071828169962,0.616986162306962,0.558262767919349,0.623688371673891,0.562824173135843,0.628024339202099,NA,13.2260022329462,15.9918489311647,13.5378110658089,15.8914972020448,13.4529812548362,15.8110296551539,NA,6.04333302092009,6.12509943093271,5.98015518864123,5.98015518864128,5.88131820387104,5.88131820387109,NA
"30-3",1000,1000,1,0.6,0.5,12,6,0.528517190216541,0.596202445500082,0.527420668130028,0.6044601232026,0.525311136665164,0.602435261653437,NA,12.3586708580123,14.5611670330081,12.0377034795958,14.3822916508368,12.0761884673729,14.4188647132923,NA,5.82690086132459,5.8797636385935,5.68876986763621,5.68876986763625,5.7324321769945,5.73243217699454,NA
"30-4",1000,1000,1,0.6,0.5,12,6,0.50455966121139,0.583493441393743,0.514007950600098,0.59211982978475,0.512697566340661,0.590852411840208,NA,11.9144976963659,14.3320158126124,11.8939295629135,14.1716994985268,11.9134275689414,14.1891151642378,NA,5.90292277518363,5.96937858400164,5.78035520369844,5.78035520369847,5.8054422475694,5.80544224756943,NA
"30-5",1000,1000,1,0.6,0.5,12,6,0.50134495401822,0.564832646235048,0.491987722013552,0.572298529534,0.493548480313,0.573826281332921,NA,12.0058671728398,14.3415398551526,11.9446362884712,14.1875170174525,11.9350539596992,14.1832448850698,NA,5.98678624712359,6.24096994768135,6.06802189062583,6.06802189062585,6.04452621543602,6.04452621543604,NA
"30-6",1000,1000,1,0.6,0.5,12,6,0.502361998444071,0.575518411999664,0.512280043970335,0.585008439966309,0.511123132886456,0.583883913468826,NA,12.3398842803872,14.8118621690966,12.4659964136622,14.6506960822137,12.4633372811091,14.6426381507162,NA,6.14079535272331,6.2873627747802,6.0799152227373,6.07991522273735,6.09303728376806,6.0930372837681,NA
"30-7",1000,1000,1,0.6,0.5,12,6,0.497505698132117,0.566928007836078,0.488580852713196,0.574242379135865,0.487691051220126,0.573371475960576,NA,11.8128197836396,14.282168202204,11.7858136378289,14.1570942371062,11.7834038517366,14.1498819234461,NA,5.93587463027111,6.18520703574869,6.02749076073964,6.02749076073969,6.03674324033188,6.03674324033192,NA
"30-8",1000,1000,1,0.6,0.5,12,6,0.503921040835138,0.581465619352396,0.505788667813561,0.589175297614887,0.50580534782913,0.589191449131932,NA,11.9176620192297,14.426863037094,11.8608178397307,14.2682524964118,11.8738736588224,14.2840377843721,NA,5.91210137017807,6.03813818591793,5.86175058539397,5.86175058539403,5.86800486274258,5.86800486274264,NA
"30-9",1000,1000,1,0.6,0.5,12,6,0.51545278200062,0.577928090367114,0.503911652033973,0.583119976319071,0.506205767142819,0.585349208017321,NA,12.4047938806342,14.9042098971634,12.4374317522572,14.8005771934996,12.3821457245011,14.7454973374591,NA,6.01070836471704,6.2906483328651,6.17006497091748,6.17006497091755,6.11423214915585,6.11423214915592,NA
"30-10",1000,1000,1,0.6,0.5,12,6,0.533990969500717,0.590752869605765,0.520300208523478,0.59944057655223,0.515369107486956,0.594689270073455,NA,12.6993637517408,14.8258058586057,12.2495939988708,14.6698026384009,12.2900819569424,14.6952768532206,NA,5.91801818990647,6.06741850341642,5.87612768693037,5.87612768693044,5.95615338785145,5.95615338785152,NA
"30-11",1000,1000,1,0.6,0.5,12,6,0.492006048367954,0.568522922792686,0.499369024105202,0.577123660131773,0.500620762046967,0.57834514283453,NA,11.7071891877737,14.3149336237667,11.9458608311714,14.1423565283327,11.9451771856785,14.1470526873529,NA,5.94718129800111,6.17656572039957,5.98046796581277,5.98046796581286,5.96517348019808,5.96517348019817,NA
"30-12",1000,1000,1,0.6,0.5,12,6,0.524235777744814,0.597060378550839,0.529410960057722,0.604013128146471,0.528684626061055,0.603315661779518,NA,12.7670575054893,15.0976612699362,12.5876128839625,14.9590632500062,12.5928422820146,14.9620229417857,NA,6.07410918458633,6.08344591687577,5.92359266222896,5.92359266222903,5.93520016910186,5.93520016910194,NA
