"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.5,0.8,0.5,12,6,0.483214123470372,0.561776919251802,0.561776919251792,0.561776919251807,0.579575275218089,0.579575275218104,NA,11.5921089425944,14.1436680844489,14.1436680844489,14.1436680844491,13.7070291978806,13.7070291978808,NA,5.9906381807256,6.19808180104717,6.1980818010473,6.19808180104717,5.76277397809656,5.76277397809644,NA
"30-2",1000,1000,0.5,0.8,0.5,12,6,0.531538195485771,0.606188706271742,0.606188706271753,0.606188706271751,0.628210866944321,0.62821086694432,NA,12.6790751379883,15.3169341444946,15.3169341444946,15.3169341444949,14.8619737409068,14.8619737409071,NA,5.93966241871348,6.03198165139395,6.03198165139376,6.03198165139392,5.52552033262801,5.52552033262815,NA
"30-3",1000,1000,0.5,0.8,0.5,12,6,0.530159449446341,0.586044612390871,0.586044612390864,0.586044612390858,0.604290798828344,0.604290798828338,NA,12.788484382582,15.4978190014383,15.4978190014379,15.4978190014381,15.0095908378362,15.0095908378364,NA,6.00854854305918,6.4154056718365,6.41540567183643,6.41540567183662,5.93943320035356,5.93943320035372,NA
"30-4",1000,1000,0.5,0.8,0.5,12,6,0.496951120143001,0.575804477804265,0.575804477804253,0.575804477804273,0.594727838569361,0.594727838569381,NA,11.712857291309,14.3432832264777,14.3432832264777,14.3432832264779,13.9127106336518,13.912710633652,NA,5.89213974031787,6.08435651825702,6.08435651825721,6.084356518257,5.63843430985911,5.63843430985889,NA
"30-5",1000,1000,0.5,0.8,0.5,12,6,0.506012113386312,0.575435351297219,0.575435351297208,0.575435351297211,0.592755371608414,0.592755371608417,NA,12.1975486888495,14.7656907269062,14.7656907269059,14.765690726906,14.3409945199411,14.3409945199412,NA,6.02544129867235,6.26899029632284,6.26899029632287,6.26899029632288,5.84029298403917,5.84029298403918,NA
"30-6",1000,1000,0.5,0.8,0.5,12,6,0.495723566542273,0.565467273845849,0.565467273845842,0.565467273845844,0.583727132457548,0.58372713245755,NA,12.0321697361688,14.7191470029328,14.719147002933,14.7191470029326,14.2550944009029,14.2550944009025,NA,6.06753964131321,6.39595107384808,6.39595107384827,6.39595107384806,5.9340090233522,5.93400902335201,NA
"30-7",1000,1000,0.5,0.8,0.5,12,6,0.481848390215474,0.575068097981022,0.575068097981025,0.575068097981007,0.594903624566157,0.594903624566139,NA,11.7480595345657,14.7401204763034,14.7401204763038,14.740120476303,14.2459156522766,14.2459156522759,NA,6.08727595967968,6.26354742998448,6.2635474299846,6.26354742998456,5.7709687954735,5.77096879547347,NA
"30-8",1000,1000,0.5,0.8,0.5,12,6,0.462308089998909,0.543226459628048,0.543226459628055,0.543226459628062,0.562948803888919,0.562948803888926,NA,11.0785136064407,13.6725455820378,13.6725455820376,13.672545582038,13.1955996019174,13.1955996019178,NA,5.95682714102017,6.24525705140428,6.24525705140409,6.2452570514042,5.76715258942089,5.76715258942099,NA
"30-9",1000,1000,0.5,0.8,0.5,12,6,0.476286031757765,0.559952823100945,0.559952823100938,0.559952823100928,0.577465189188041,0.577465189188031,NA,11.7507469917627,14.4117642382715,14.4117642382719,14.4117642382711,13.9573617627968,13.957361762796,NA,6.15403033686656,6.34185616718611,6.34185616718638,6.34185616718622,5.8974712118774,5.89747121187724,NA
"30-10",1000,1000,0.5,0.8,0.5,12,6,0.467279193099929,0.551047910898032,0.551047910898032,0.551047910898038,0.572762570013173,0.572762570013179,NA,11.3223023715568,14.0945214456058,14.0945214456057,14.0945214456058,13.5651457037017,13.5651457037018,NA,6.03162605534235,6.32776484789721,6.32776484789715,6.32776484789713,5.79553798784635,5.79553798784633,NA
"30-11",1000,1000,0.5,0.8,0.5,12,6,0.47158142417166,0.530224845553518,0.530224845553518,0.530224845553511,0.54826481603828,0.548264816038272,NA,11.618563328892,13.8999005367995,13.8999005367991,13.8999005367994,13.4416429764049,13.4416429764052,NA,6.1394646874245,6.52982792146572,6.52982792146553,6.52982792146575,6.07206306269405,6.07206306269427,NA
"30-12",1000,1000,0.5,0.8,0.5,12,6,0.463581282118794,0.540050847952527,0.540050847952527,0.540050847952533,0.558301030595803,0.558301030595809,NA,11.1471236049756,13.7703098569851,13.7703098569848,13.7703098569852,13.3185520422374,13.3185520422379,NA,5.97952575224436,6.33364234215124,6.33364234215112,6.33364234215124,5.88279071101243,5.88279071101254,NA
