"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.7,1,0.5,12,6,0.483214123470372,0.509960200016926,0.509960200016934,0.509960200016932,0.521158013194274,0.521158013194272,NA,11.5921089425944,12.5100092158136,12.5100092158134,12.5100092158138,12.2412140663598,12.2412140663602,NA,5.9906381807256,6.13040241390369,6.1304024139035,6.13040241390374,5.86160726444993,5.86160726445016,NA
"30-2",1000,1000,0.7,1,0.5,12,6,0.543071828169962,0.563818090152966,0.563818090152961,0.563818090152941,0.574197742300341,0.574197742300321,NA,13.2260022329462,14.2195143634732,14.2195143634729,14.2195143634727,13.9624711849221,13.962471184922,NA,6.04333302092009,6.20229493215708,6.202294932157,6.20229493215722,5.94525175360628,5.94525175360649,NA
"30-3",1000,1000,0.7,1,0.5,12,6,0.528517190216541,0.549575560792902,0.549575560792918,0.549575560792922,0.558705821826869,0.558705821826873,NA,12.3586708580123,13.1223115855667,13.1223115855667,13.1223115855672,12.9078693416084,12.907869341609,NA,5.82690086132459,5.91060983702969,5.91060983702947,5.91060983702965,5.69616759307125,5.69616759307143,NA
"30-4",1000,1000,0.7,1,0.5,12,6,0.50455966121139,0.524535952033427,0.524535952033431,0.524535952033416,0.533037172848917,0.533037172848902,NA,11.9144976963659,12.668988889111,12.6689888891108,12.6689888891109,12.4669356786759,12.466935678676,NA,5.90292277518363,6.02364874086027,6.0236487408601,6.02364874086032,5.82159553042522,5.82159553042544,NA
"30-5",1000,1000,0.7,1,0.5,12,6,0.50134495401822,0.519826653641009,0.519826653641014,0.519826653641017,0.528518189065571,0.528518189065574,NA,12.0058671728398,12.8614410408541,12.8614410408539,12.8614410408543,12.6499333335883,12.6499333335886,NA,5.98678624712359,6.17572118358578,6.17572118358564,6.17572118358577,5.96421347632,5.96421347632013,NA
"30-6",1000,1000,0.7,1,0.5,12,6,0.502361998444071,0.524964115069567,0.524964115069577,0.524964115069579,0.534557901143099,0.534557901143101,NA,12.3398842803872,13.1561253156067,13.1561253156066,13.1561253156071,12.9200104783466,12.9200104783472,NA,6.14079535272331,6.24963163155491,6.24963163155471,6.24963163155494,6.01351679429482,6.01351679429503,NA
"30-7",1000,1000,0.7,1,0.5,12,6,0.497505698132117,0.515217267010013,0.515217267010015,0.515217267010019,0.523673340321317,0.523673340321321,NA,11.8128197836396,12.5456717920685,12.5456717920683,12.5456717920686,12.3430891661356,12.3430891661359,NA,5.93587463027111,6.08192505855436,6.08192505855424,6.08192505855434,5.8793424326215,5.8793424326216,NA
"30-8",1000,1000,0.7,1,0.5,12,6,0.503921040835138,0.526650774502731,0.526650774502731,0.526650774502722,0.535038373708107,0.535038373708098,NA,11.9176620192297,12.6797533696943,12.679753369694,12.6797533696942,12.4809775537636,12.4809775537637,NA,5.91210137017807,6.0019514370412,6.00195143704105,6.00195143704124,5.80317562111053,5.80317562111072,NA
"30-9",1000,1000,0.7,1,0.5,12,6,0.51545278200062,0.544082948899879,0.54408294889988,0.54408294889989,0.554160134733957,0.554160134733967,NA,12.4047938806342,13.3468994947119,13.3468994947115,13.3468994947122,13.1041913349454,13.1041913349461,NA,6.01070836471704,6.08507905895872,6.08507905895856,6.08507905895872,5.84237089919253,5.84237089919268,NA
"30-10",1000,1000,0.7,1,0.5,12,6,0.533990969500717,0.557316685402793,0.557316685402815,0.557316685402779,0.566677803391917,0.56667780339188,NA,12.6993637517408,13.5405837860126,13.5405837860128,13.5405837860123,13.3169028835608,13.3169028835603,NA,5.91801818990647,5.99419051197324,5.99419051197305,5.99419051197333,5.7705096095211,5.77050960952137,NA
