"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,1,0.8,0.5,12,6,0.483214123470372,0.53282234846063,0.532822348460624,0.532822348460632,0.535315450581969,0.535315450581977,NA,11.5921089425944,12.8147424326226,12.8147424326228,12.8147424326227,12.7528745266577,12.7528745266576,NA,5.9906381807256,5.98676127475453,5.98676127475471,5.98676127475457,5.92606375320463,5.92606375320449,NA
"30-2",1000,1000,1,0.8,0.5,12,6,0.543071828169962,0.584807549386931,0.584807549386944,0.584807549386948,0.591818063473737,0.591818063473741,NA,13.2260022329462,14.59834863134,14.5983486313402,14.5983486313404,14.5042240786003,14.5042240786004,NA,6.04333302092009,6.06112414315,6.06112414314991,6.0611241431499,5.92036227221392,5.9203622722139,NA
"30-3",1000,1000,1,0.8,0.5,12,6,0.528517190216541,0.563135729974869,0.563135729974865,0.563135729974878,0.565739723376858,0.565739723376872,NA,12.3586708580123,13.3814554312443,13.3814554312445,13.3814554312445,13.3143493679098,13.3143493679098,NA,5.82690086132459,5.84587975884435,5.84587975884449,5.84587975884433,5.78189303956566,5.78189303956549,NA
"30-4",1000,1000,1,0.8,0.5,12,6,0.50455966121139,0.540786611485519,0.540786611485515,0.540786611485511,0.54336776280369,0.543367762803686,NA,11.9144976963659,12.8736480116408,12.8736480116409,12.8736480116406,12.814990702419,12.8149907024187,NA,5.90292277518363,5.9117515259683,5.91175152596839,5.9117515259683,5.8517378740955,5.85173787409541,NA
"30-5",1000,1000,1,0.8,0.5,12,6,0.50134495401822,0.528074330443493,0.528074330443491,0.528074330443497,0.529901568398684,0.52990156839869,NA,12.0058671728398,12.7841459709349,12.7841459709351,12.784145970935,12.7331381036228,12.7331381036227,NA,5.98678624712359,6.03316664704159,6.0331666470417,6.03316664704158,5.98582825187606,5.98582825187593,NA
"30-6",1000,1000,1,0.8,0.5,12,6,0.502361998444071,0.533131746150068,0.533131746150058,0.533131746150083,0.535961529166466,0.535961529166492,NA,12.3398842803872,13.3148267910544,13.3148267910545,13.3148267910546,13.2495670641169,13.249567064117,NA,6.14079535272331,6.21626993425388,6.21626993425404,6.21626993425376,6.14830883963915,6.14830883963887,NA
"30-7",1000,1000,1,0.8,0.5,12,6,0.497505698132117,0.537421651656046,0.537421651656041,0.537421651656055,0.541272230337641,0.541272230337654,NA,11.8128197836396,13.1324801725107,13.1324801725103,13.1324801725109,13.0608348373025,13.0608348373031,NA,5.93587463027111,6.07480098785972,6.0748009878596,6.07480098785967,5.99136763484423,5.99136763484431,NA
"30-8",1000,1000,1,0.8,0.5,12,6,0.503921040835138,0.543566089219542,0.543566089219541,0.543566089219551,0.546624329362225,0.546624329362235,NA,11.9176620192297,13.0864445827845,13.0864445827847,13.0864445827847,13.0207673181512,13.0207673181513,NA,5.91210137017807,5.97309707913204,5.97309707913215,5.97309707913205,5.90329911508524,5.90329911508514,NA
"30-9",1000,1000,1,0.8,0.5,12,6,0.51545278200062,0.551965332947061,0.551965332947046,0.551965332947065,0.555274089203798,0.555274089203816,NA,12.4047938806342,13.5910138564991,13.5910138564991,13.5910138564992,13.5145335753179,13.514533575318,NA,6.01070836471704,6.08924536810845,6.08924536810864,6.08924536810842,6.01026325326912,6.0102632532689,NA
"30-10",1000,1000,1,0.8,0.5,12,6,0.533990969500717,0.55798055479173,0.557980554791709,0.55798055479173,0.559585361223837,0.559585361223858,NA,12.6993637517408,13.5492875639123,13.5492875639122,13.5492875639123,13.4958243859439,13.495824385944,NA,5.91801818990647,5.98904857196782,5.98904857196807,5.98904857196783,5.94375862192203,5.94375862192179,NA
"30-11",1000,1000,1,0.8,0.5,12,6,0.492006048367954,0.537130019412334,0.537130019412315,0.537130019412342,0.542267452008984,0.542267452009011,NA,11.7071891877737,13.1402193868209,13.1402193868209,13.1402193868212,13.0462845797198,13.04628457972,NA,5.94718129800111,6.08221309249547,6.08221309249572,6.08221309249549,5.97170908249102,5.9717090824908,NA
"30-12",1000,1000,1,0.8,0.5,12,6,0.524235777744814,0.557067503759614,0.557067503759587,0.557067503759614,0.558680571439768,0.558680571439795,NA,12.7670575054893,13.7291334735125,13.7291334735123,13.7291334735127,13.6754417718715,13.6754417718719,NA,6.07410918458633,6.08107936064035,6.08107936064061,6.08107936064044,6.03523814807104,6.03523814807087,NA
"30-13",1000,1000,1,0.8,0.5,12,6,0.503150860697687,0.539163164383148,0.539163164383156,0.539163164383139,0.540822065116558,0.540822065116542,NA,11.9633186590314,12.826558678943,12.826558678943,12.8265586789428,12.7736873255825,12.7736873255823,NA,5.94396457893907,5.91095071345797,5.91095071345784,5.91095071345797,5.86539536700776,5.86539536700788,NA
"30-14",1000,1000,1,0.8,0.5,12,6,0.504222609107544,0.540745940177051,0.540745940177041,0.540745940177057,0.54304769551352,0.543047695513536,NA,11.7434295053779,12.6857371240146,12.6857371240144,12.6857371240147,12.6286756465807,12.628675646581,NA,5.82212684030572,5.8259762760504,5.82597627605045,5.82597627605037,5.77070243931734,5.77070243931727,NA
"30-15",1000,1000,1,0.8,0.5,12,6,0.49094173517488,0.523787244724239,0.523787244724217,0.523787244724244,0.526892841430101,0.526892841430127,NA,12.2963757189812,13.302874230262,13.302874230262,13.3028742302622,13.2358843066135,13.2358843066137,NA,6.25957168714231,6.33499839027999,6.33499839028028,6.33499839028002,6.26199161546184,6.26199161546158,NA
"30-16",1000,1000,1,0.8,0.5,12,6,0.525598013244826,0.568018041599185,0.568018041599185,0.568018041599182,0.57110754339085,0.571107543390847,NA,12.7708615290615,14.0749139968439,14.074913996844,14.0749139968438,14.0006410795739,14.0006410795736,NA,6.05852208196198,6.08010891267967,6.08010891267973,6.08010891267965,6.00476934672144,6.00476934672136,NA
"30-17",1000,1000,1,0.8,0.5,12,6,0.52504869235873,0.560817983367127,0.560817983367101,0.560817983367133,0.563873820215828,0.563873820215859,NA,12.5514329805382,13.7674433519907,13.7674433519907,13.7674433519909,13.7008483277253,13.7008483277255,NA,5.9613195068784,6.04641353520613,6.04641353520646,6.04641353520612,5.97529864097318,5.97529864097284,NA
"30-18",1000,1000,1,0.8,0.5,12,6,0.520084627345288,0.557499973059969,0.557499973059959,0.557499973059976,0.560377560714863,0.56037756071488,NA,12.5152288539091,13.6404847187804,13.6404847187806,13.6404847187807,13.5726336151631,13.5726336151632,NA,6.00625071928278,6.03591485553542,6.03591485553561,6.03591485553543,5.96683429742143,5.96683429742125,NA
"30-19",1000,1000,1,0.8,0.5,12,6,0.503988432791437,0.544882172151221,0.54488217215122,0.544882172151227,0.548521162306308,0.548521162306314,NA,11.6265696669545,12.7260985287868,12.7260985287865,12.726098528787,12.6575400411238,12.6575400411242,NA,5.76691304176565,5.79187431941098,5.79187431941088,5.79187431941099,5.71461146582794,5.71461146582806,NA
"30-20",1000,1000,1,0.8,0.5,12,6,0.507459770833898,0.543901803458963,0.543901803458942,0.543901803458966,0.54575558481786,0.545755584817884,NA,12.7368026531118,13.6716350635419,13.6716350635418,13.6716350635422,13.6151758305798,13.6151758305801,NA,6.2733876976071,6.23560809624869,6.23560809624891,6.23560809624875,6.18461758276371,6.18461758276355,NA
