"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.7,0.4,0.5,12,6,0.483214123470372,0.491572492880695,0.491572492880693,0.491572492880704,0.494403102239046,0.494403102239058,NA,11.5921089425944,11.7539587624231,11.7539587624232,11.7539587624232,11.7289618489512,11.7289618489511,NA,5.9906381807256,5.97603595236188,5.97603595236197,5.97603595236183,5.9301267247863,5.93012672478615,NA
"30-2",1000,1000,0.7,0.4,0.5,12,6,0.506329282850035,0.502718460363318,0.502718460363322,0.502718460363316,0.510353731845573,0.510353731845567,NA,12.2041276645832,12.4747728969483,12.4747728969484,12.4747728969483,12.3729958955729,12.3729958955728,NA,6.02482045636451,6.20347427281241,6.20347427281242,6.20347427281245,6.05839126615731,6.05839126615734,NA
"30-3",1000,1000,0.7,0.4,0.5,12,6,0.511641651205466,0.529955520024673,0.529955520024672,0.529955520024672,0.529612795164945,0.529612795164945,NA,12.0501245894823,12.7297404215705,12.7297404215704,12.7297404215704,12.7345391235461,12.7345391235461,NA,5.884778947288,5.98354421667798,5.98354421667798,5.98354421667798,5.99016426318748,5.99016426318749,NA
"30-4",1000,1000,0.7,0.4,0.5,12,6,0.495804376819228,0.469327673498037,0.469327673498035,0.46932767349804,0.466042701371757,0.466042701371762,NA,11.9333913690373,11.3702711052346,11.3702711052346,11.3702711052346,11.4865616068475,11.4865616068475,NA,6.01676369797181,6.03388822037289,6.03388822037293,6.03388822037288,6.13333340611918,6.13333340611914,NA
"30-5",1000,1000,0.7,0.4,0.5,12,6,0.514882496711874,0.526666185114906,0.526666185114903,0.5266661851149,0.525069040337309,0.525069040337306,NA,12.5205268411489,12.7071427679578,12.7071427679577,12.7071427679577,12.6844615531696,12.6844615531696,NA,6.07392672103011,6.01472036264698,6.01472036264698,6.01472036264703,6.02424349825135,6.02424349825139,NA
"30-6",1000,1000,0.7,0.4,0.5,12,6,0.500403292451622,0.516137251472693,0.516137251472696,0.5161372514727,0.52288660344015,0.522886603440155,NA,12.3265032335402,12.7454854266678,12.745485426668,12.7454854266679,12.7000421182178,12.7000421182178,NA,6.15828043106111,6.16706560986224,6.16706560986226,6.16706560986218,6.05936023147606,6.05936023147597,NA
"30-7",1000,1000,0.7,0.4,0.5,12,6,0.499150655088929,0.488611552760587,0.48861155276059,0.488611552760588,0.486302167428203,0.486302167428202,NA,11.7311262387293,11.7362925163445,11.7362925163444,11.7362925163445,11.7629921699215,11.7629921699216,NA,5.87552689173667,6.00180440628094,6.00180440628088,6.00180440628097,6.04262358224768,6.04262358224776,NA
"30-8",1000,1000,0.7,0.4,0.5,12,6,0.514179469512394,0.493724560489065,0.493724560489072,0.493724560489068,0.493651964233126,0.493651964233122,NA,12.0833002051878,11.9801210051339,11.980121005134,11.9801210051339,11.993449526346,11.9934495263459,NA,5.87031531572532,6.06524102726835,6.06524102726832,6.06524102726829,6.07285960973445,6.07285960973442,NA
"30-9",1000,1000,0.7,0.4,0.5,12,6,0.522648975216262,0.49489634259038,0.494896342590387,0.494896342590381,0.493143091003437,0.493143091003431,NA,12.4128373236452,12.019147712917,12.0191477129171,12.019147712917,12.0505607850462,12.0505607850462,NA,5.92528061691587,6.07091546874087,6.07091546874079,6.07091546874084,6.10790999118372,6.10790999118377,NA
"30-10",1000,1000,0.7,0.4,0.5,12,6,0.47158142417166,0.443299081094673,0.443299081094675,0.443299081094672,0.441661940835653,0.441661940835649,NA,11.618563328892,11.20886809002,11.2088680900201,11.20886809002,11.2244139426568,11.2244139426566,NA,6.1394646874245,6.23998716560274,6.23998716560279,6.23998716560273,6.26701749600021,6.26701749600015,NA
