"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.7,1,0.5,12,6,0.483214123470372,0.471805409037107,0.47180540903711,0.471805409037104,0.469646534101352,0.469646534101346,NA,11.5921089425944,11.3997176016751,11.3997176016753,11.3997176016749,11.4521199145169,11.4521199145166,NA,5.9906381807256,6.02126917570926,6.02126917570934,6.02126917570921,6.07367148855099,6.07367148855086,NA
"30-2",1000,1000,0.7,1,0.5,12,6,0.531538195485771,0.544959740873436,0.544959740873433,0.544959740873454,0.547450769919946,0.547450769919966,NA,12.6790751379883,12.9052976745089,12.9052976745089,12.9052976745092,12.846575551667,12.8465755516673,NA,5.93966241871348,5.87242999791396,5.872429997914,5.87242999791387,5.81370787507214,5.813707875072,NA
"30-3",1000,1000,0.7,1,0.5,12,6,0.530159449446341,0.533884991030267,0.53388499103026,0.533884991030273,0.533913135119049,0.533913135119061,NA,12.788484382582,12.7770397085005,12.7770397085006,12.7770397085006,12.7763661941847,12.7763661941847,NA,6.00854854305918,5.95556997833435,5.95556997833446,5.9555699783343,5.9548964640185,5.95489646401836,NA
"30-4",1000,1000,0.7,1,0.5,12,6,0.496951120143001,0.496475811947497,0.4964758119475,0.496475811947491,0.494096143333054,0.494096143333046,NA,11.712857291309,11.4810106225803,11.4810106225803,11.48101062258,11.5363055302807,11.5363055302804,NA,5.89213974031787,5.78096655175689,5.78096655175689,5.78096655175683,5.83626145945722,5.83626145945716,NA
"30-5",1000,1000,0.7,1,0.5,12,6,0.506012113386312,0.497830108578612,0.497830108578623,0.497830108578611,0.49552119764093,0.495521197640918,NA,12.1975486888495,11.9843758139849,11.9843758139853,11.9843758139848,12.040217736652,12.0402177366516,NA,6.02544129867235,6.01819270126192,6.01819270126196,6.0181927012619,6.07403462392864,6.07403462392857,NA
"30-6",1000,1000,0.7,1,0.5,12,6,0.495723566542273,0.494774666251809,0.494774666251795,0.494774666251804,0.493417367153759,0.493417367153768,NA,12.0321697361688,11.8973674616898,11.8973674616898,11.8973674616897,11.9300948993514,11.9300948993513,NA,6.06753964131321,6.01085144655709,6.01085144655724,6.01085144655709,6.04357888421895,6.0435788842188,NA
"30-7",1000,1000,0.7,1,0.5,12,6,0.481848390215474,0.490909682233149,0.490909682233128,0.490909682233136,0.492575167520808,0.492575167520816,NA,11.7480595345657,11.937719743075,11.9377197430748,11.9377197430747,11.8973561642516,11.8973561642516,NA,6.08727595967968,6.07737753741364,6.07737753741379,6.07737753741368,6.03701395859067,6.03701395859055,NA
"30-8",1000,1000,0.7,1,0.5,12,6,0.462308089998909,0.451327328805934,0.451327328805932,0.451327328805915,0.45033771072839,0.450337710728373,NA,11.0785136064407,10.9941875663591,10.9941875663593,10.9941875663589,11.0183473169294,11.0183473169289,NA,5.95682714102017,6.03221025964282,6.03221025964297,6.03221025964291,6.05637001021311,6.05637001021305,NA
"30-9",1000,1000,0.7,1,0.5,12,6,0.476286031757765,0.46829084252011,0.468290842520085,0.468290842520095,0.467689295692717,0.467689295692727,NA,11.7507469917627,11.6954060009016,11.6954060009014,11.6954060009014,11.7104487535139,11.7104487535139,NA,6.15403033686656,6.21855447112462,6.21855447112483,6.21855447112473,6.23359722373731,6.23359722373721,NA
"30-10",1000,1000,0.7,1,0.5,12,6,0.467279193099929,0.464551089793077,0.464551089793081,0.464551089793067,0.463153346497588,0.463153346497574,NA,11.3223023715568,11.2002769587004,11.2002769587006,11.2002769587002,11.2340781006876,11.2340781006872,NA,6.03162605534235,5.99717609155183,5.99717609155191,5.99717609155186,6.03097723353885,6.0309772335388,NA
