"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,1,0.8,0.5,12,6,0.483214123470372,0.488239061770176,0.488239061770159,0.488239061770169,0.487767976078786,0.487767976078797,NA,11.5921089425944,11.6674728899676,11.6674728899677,11.6674728899675,11.6614375047903,11.66143750479,NA,5.9906381807256,5.97095687294087,5.97095687294112,5.97095687294086,5.97336173490948,5.97336173490922,NA
"30-2",1000,1000,1,0.8,0.5,12,6,0.531538195485771,0.516969275322224,0.516969275322205,0.516969275322222,0.516421104894235,0.516421104894253,NA,12.6790751379883,12.4055245539505,12.4055245539504,12.4055245539505,12.418695935076,12.4186959350761,NA,5.93966241871348,5.99224951530268,5.99224951530283,5.99224951530267,6.00541925893851,6.00541925893835,NA
"30-3",1000,1000,1,0.8,0.5,12,6,0.530159449446341,0.536596807766053,0.536596807766065,0.536596807766048,0.537064433630895,0.537064433630877,NA,12.788484382582,12.8211836580361,12.8211836580362,12.821183658036,12.8187831907774,12.8187831907772,NA,6.00854854305918,5.94137743535166,5.94137743535154,5.94137743535165,5.9342706565853,5.93427065658541,NA
"30-4",1000,1000,1,0.8,0.5,12,6,0.496951120143001,0.49285003597124,0.492850035971249,0.49285003597125,0.49164774470423,0.491647744704231,NA,11.712857291309,11.5329742626719,11.5329742626721,11.5329742626719,11.545117768004,11.5451177680039,NA,5.89213974031787,5.84894748245867,5.84894748245865,5.84894748245856,5.86898665502012,5.86898665502003,NA
"30-5",1000,1000,1,0.8,0.5,12,6,0.506012113386312,0.485134124703094,0.485134124703082,0.485134124703097,0.485890881615108,0.485890881615123,NA,12.1975486888495,11.777644710181,11.7776447101811,11.777644710181,11.8068409351857,11.8068409351856,NA,6.02544129867235,6.06390735264333,6.06390735264349,6.0639073526433,6.07000458409897,6.07000458409877,NA
"30-6",1000,1000,1,0.8,0.5,12,6,0.495723566542273,0.487191563197426,0.487191563197446,0.487191563197436,0.488367052859781,0.488367052859771,NA,12.0321697361688,11.912905361831,11.9129053618311,11.9129053618311,11.9102461261482,11.9102461261482,NA,6.06753964131321,6.10903837637754,6.10903837637739,6.10903837637749,6.09367432668658,6.09367432668668,NA
"30-7",1000,1000,1,0.8,0.5,12,6,0.481848390215474,0.484459622877828,0.484459622877844,0.484459622877836,0.483997637426898,0.48399763742689,NA,11.7480595345657,11.8827861482244,11.8827861482245,11.8827861482244,11.8752755597305,11.8752755597304,NA,6.08727595967968,6.12605605211772,6.12605605211757,6.12605605211763,6.12767024502754,6.1276702450276,NA
"30-8",1000,1000,1,0.8,0.5,12,6,0.462308089998909,0.455585285254971,0.455585285254967,0.455585285254962,0.457014692453893,0.457014692453887,NA,11.0785136064407,10.9213935890982,10.921393589098,10.9213935890979,10.9180943674733,10.9180943674732,NA,5.95682714102017,5.94576737542708,5.94576737542703,5.94576737542703,5.92836482793993,5.92836482793993,NA
"30-9",1000,1000,1,0.8,0.5,12,6,0.476286031757765,0.464260577791311,0.46426057779129,0.464260577791315,0.463170510708865,0.46317051070889,NA,11.7507469917627,11.5334442808945,11.5334442808944,11.5334442808947,11.5472304008812,11.5472304008814,NA,6.15403033686656,6.17892077512252,6.17892077512274,6.17892077512256,6.19889379883214,6.19889379883197,NA
"30-10",1000,1000,1,0.8,0.5,12,6,0.467279193099929,0.47105218564423,0.471052185644243,0.471052185644233,0.470846561744174,0.470846561744164,NA,11.3223023715568,11.3973788024635,11.3973788024635,11.3973788024635,11.3931564458035,11.3931564458035,NA,6.03162605534235,6.02861860694784,6.02861860694768,6.0286186069478,6.02872790588343,6.02872790588354,NA
