"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.5,0.5,0.5,12,6,0.483214123470372,0.475718026442792,0.478742470637135,0.475628377086712,0.483146862605797,0.480027575832357,NA,11.5921089425944,11.8167070451018,11.8931855948895,11.8167777990643,11.8221550720063,11.7456296425425,NA,5.9906381807256,6.19528649055331,6.19941253944611,6.19638295210108,6.11031793972722,6.10740351860817,NA
"30-2",1000,1000,0.5,0.5,0.5,12,6,0.506329282850035,0.489915654002313,0.477769719168001,0.489959074162441,0.4766983879663,0.488831257947726,NA,12.2041276645832,11.8197450240834,11.50950980169,11.8160013226498,11.6028177102949,11.9125043420563,NA,6.02482045636451,6.02906691046899,6.01061453597523,6.02664425430212,6.07177321193047,6.08929985922119,NA
"30-3",1000,1000,0.5,0.5,0.5,12,6,0.511641651205466,0.529438656090716,0.52095565367307,0.529806851586722,0.522820393926724,0.531684285747194,NA,12.0501245894823,12.5797121434357,12.3266494182326,12.5793624727102,12.3014049434872,12.5540487920617,NA,5.884778947288,5.91952625220704,5.90501171295845,5.91473004607544,5.86997956508105,5.87925832681896,NA
"30-4",1000,1000,0.5,0.5,0.5,12,6,0.495804376819228,0.475467352770155,0.496208633832686,0.475529814481427,0.498750654195736,0.478077078447812,NA,11.9333913690373,11.8315420271841,12.350796641936,11.8305841162387,12.2957129920916,11.7750815943506,NA,6.01676369797181,6.20603006033003,6.22222471349562,6.20478864623681,6.16321809348288,6.14568498723889,NA
"30-5",1000,1000,0.5,0.5,0.5,12,6,0.514882496711874,0.513878565162229,0.509975933500378,0.513902828879624,0.508140887459782,0.512085840984618,NA,12.5205268411489,12.3272437728534,12.2190473957785,12.3275947412299,12.2496742454647,12.3577168426174,NA,6.07392672103011,5.99253743045449,5.98762729363101,5.99240893043027,6.02511390328102,6.02950502061592,NA
"30-6",1000,1000,0.5,0.5,0.5,12,6,0.500403292451622,0.484861235910344,0.473954626533291,0.484867090987662,0.475990745433668,0.486823669970072,NA,12.3265032335402,12.2178954193502,11.9471083971395,12.2219040177152,12.0000430446356,12.2792441055096,NA,6.15828043106111,6.29391154610073,6.2847210986205,6.2959049703152,6.28813361058337,6.30141742560703,NA
"30-7",1000,1000,0.5,0.5,0.5,12,6,0.499150655088929,0.48480411976309,0.492534665767068,0.484841750959762,0.490962680614516,0.483282378153945,NA,11.7311262387293,11.4911273182886,11.6798119256127,11.4923990343501,11.6902619868832,11.502965613872,NA,5.87552689173667,5.92018145366008,5.92709966260882,5.9204041638075,5.95077962471706,5.94378503617686,NA
"30-8",1000,1000,0.5,0.5,0.5,12,6,0.514179469512394,0.52693447585114,0.528802060530949,0.526964551282823,0.530068241361317,0.528229592403586,NA,12.0833002051878,12.2070737689451,12.2614018929743,12.2073756042881,12.2422361820307,12.1882191187831,NA,5.87031531572532,5.77474575082979,5.77754730697143,5.77452139663353,5.75301557869182,5.75004110154272,NA
"30-9",1000,1000,0.5,0.5,0.5,12,6,0.522648975216262,0.520696876222132,0.525032993344902,0.520739544845113,0.521317156130597,0.517000802273111,NA,12.4128373236452,12.3339853184555,12.4558531065669,12.3345862986071,12.4520569232084,12.332098114324,NA,5.92528061691587,5.9117176917661,5.9161192653617,5.91147944361768,5.96058602002508,5.95639349550779,NA
"30-10",1000,1000,0.5,0.5,0.5,12,6,0.47158142417166,0.47232441567601,0.486589836177746,0.472532243735886,0.487190298551367,0.473203752354356,NA,11.618563328892,11.4092569955908,11.747281023883,11.4074601147729,11.7314786167962,11.3899868069996,NA,6.1394646874245,6.02038635185094,6.03117347493784,6.01706739141165,6.01601604703031,6.00020231066079,NA
