"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.3,0.3,0.5,12,6,0.483214123470372,0.459264069481535,0.45926406948154,0.459264069481539,0.47071034748189,0.470710347481889,NA,11.5921089425944,11.643376829005,11.643376829005,11.6433768290051,11.5307617980859,11.530761798086,NA,5.9906381807256,6.29599220400918,6.29599220400907,6.29599220400913,6.10311290537799,6.10311290537805,NA
"30-2",1000,1000,0.3,0.3,0.5,12,6,0.506329282850035,0.488683372437599,0.488683372437602,0.488683372437593,0.484678697574026,0.484678697574016,NA,12.2041276645832,11.1676305837818,11.1676305837819,11.1676305837818,11.3351344552445,11.3351344552444,NA,6.02482045636451,5.71019520796206,5.71019520796204,5.7101952079621,5.84123625065011,5.84123625065019,NA
"30-3",1000,1000,0.3,0.3,0.5,12,6,0.511641651205466,0.555429962674051,0.555429962674056,0.555429962674053,0.554438940858816,0.554438940858814,NA,12.0501245894823,13.1009891429669,13.100989142967,13.100989142967,13.0781248600925,13.0781248600925,NA,5.884778947288,5.82430723229566,5.82430723229564,5.82430723229566,5.82710316424346,5.82710316424348,NA
"30-4",1000,1000,0.3,0.3,0.5,12,6,0.495804376819228,0.4889066707479,0.488906670747899,0.488906670747898,0.494398194237954,0.494398194237953,NA,11.9333913690373,12.2241750852967,12.2241750852967,12.2241750852967,12.1469351673897,12.1469351673896,NA,6.01676369797181,6.24769434170488,6.2476943417049,6.24769434170488,6.14151235510672,6.1415123551067,NA
"30-5",1000,1000,0.3,0.3,0.5,12,6,0.514882496711874,0.525476531585933,0.525476531585927,0.525476531585938,0.522505165248608,0.522505165248618,NA,12.5205268411489,12.6294698162323,12.6294698162323,12.6294698162324,12.6234566037455,12.6234566037456,NA,6.07392672103011,5.99297982142933,5.99297982142937,5.9929798214293,6.02763532499683,6.02763532499677,NA
"30-6",1000,1000,0.3,0.3,0.5,12,6,0.500403292451622,0.502375295016403,0.502375295016408,0.502375295016399,0.513613899765443,0.513613899765433,NA,12.3265032335402,12.5593261449559,12.5593261449559,12.5593261449558,12.5458660755426,12.5458660755426,NA,6.15828043106111,6.24983096767648,6.24983096767639,6.24983096767648,6.10213487454821,6.10213487454832,NA
"30-7",1000,1000,0.3,0.3,0.5,12,6,0.499150655088929,0.535397378975317,0.535397378975324,0.535397378975326,0.53751971157273,0.537519711572731,NA,11.7311262387293,12.2356877241217,12.2356877241217,12.2356877241217,12.1656555175924,12.1656555175924,NA,5.87552689173667,5.68473258666647,5.6847325866664,5.68473258666639,5.62637587268293,5.62637587268292,NA
"30-8",1000,1000,0.3,0.3,0.5,12,6,0.514179469512394,0.52213119905744,0.522131199057443,0.522131199057442,0.527584388235554,0.527584388235553,NA,12.0833002051878,12.3975750520573,12.3975750520573,12.3975750520572,12.4496724412067,12.4496724412067,NA,5.87031531572532,5.92441432472202,5.92441432472196,5.92441432472196,5.88141962257962,5.88141962257962,NA
"30-9",1000,1000,0.3,0.3,0.5,12,6,0.522648975216262,0.484612699584383,0.484612699584384,0.484612699584382,0.480818378771601,0.480818378771599,NA,12.4128373236452,11.8234299682857,11.8234299682857,11.8234299682857,11.893714323379,11.893714323379,NA,5.92528061691587,6.09364565300789,6.09364565300787,6.09364565300791,6.17499788483932,6.17499788483935,NA
"30-10",1000,1000,0.3,0.3,0.5,12,6,0.47158142417166,0.448240378799727,0.44824037879973,0.448240378799732,0.442361840057061,0.442361840057063,NA,11.618563328892,10.9936997421797,10.9936997421798,10.9936997421797,11.0927673349518,11.0927673349517,NA,6.1394646874245,6.06587960533459,6.06587960533465,6.06587960533458,6.18575036533766,6.1857503653376,NA
