"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.5,1,0.5,12,6,0.483214123470372,0.548521456329035,0.473159887197127,0.548866071327006,0.484478479671638,0.561399903032268,NA,11.5921089425944,12.5766480423003,11.2421287328282,12.568751577633,10.9794853358312,12.2881412387847,NA,5.9906381807256,5.67808674240005,5.92280436974762,5.67019027773248,5.66016097275068,5.38957993888416,NA
"30-2",1000,1000,0.5,1,0.5,12,6,0.543071828169962,0.593489700029333,0.532031229232753,0.59309894466053,0.543858319478617,0.605347276659108,NA,13.2260022329462,14.2541236116908,12.8989414763981,14.2635147518688,12.618432859625,13.9749130336754,NA,6.04333302092009,5.79444806520741,6.03630178690866,5.80383920538551,5.75579317013556,5.51523748719212,NA
"30-3",1000,1000,0.5,1,0.5,12,6,0.528517190216541,0.596288669601713,0.531931792935171,0.596304024573286,0.547984451114035,0.612657791541652,NA,12.3586708580123,13.6505329779355,12.2402394847246,13.6501814734393,11.8816738720028,13.2858151175805,NA,5.82690086132459,5.51087482916802,5.72926694965918,5.51052332467175,5.37070133693738,5.14615696881292,NA
"30-4",1000,1000,0.5,1,0.5,12,6,0.50455966121139,0.576798571269024,0.510053911074966,0.577074702466875,0.525653915412781,0.592415194464333,NA,11.9144976963659,13.1619094221398,11.8557193311177,13.1556114267509,11.5038732446141,12.8149490776088,NA,5.90292277518363,5.57013887227724,5.80866331767406,5.56384087688882,5.45681723117036,5.22317852774667,NA
"30-5",1000,1000,0.5,1,0.5,12,6,0.50134495401822,0.576771653350538,0.510508655600091,0.576826070027749,0.528897720277983,0.594299728449642,NA,12.0058671728398,13.5249621309159,12.2032936976344,13.523686211646,11.7790015358698,13.1260614742369,NA,5.98678624712359,5.72414736116413,5.97340663816202,5.7228714418938,5.54911447639742,5.32524670448459,NA
"30-6",1000,1000,0.5,1,0.5,12,6,0.502361998444071,0.574282218393148,0.508775614679318,0.57344277701681,0.524901744554053,0.589337351746535,NA,12.3398842803872,13.5491261648224,12.2647980712159,13.5689602225036,11.8879966438328,13.2030019956542,NA,6.14079535272331,5.76810393359955,6.0247678936153,5.78793799128051,5.64796646623221,5.42197976443116,NA
"30-7",1000,1000,0.5,1,0.5,12,6,0.497505698132117,0.569180541698069,0.494605837742785,0.568617171619177,0.508927026517277,0.58445128140692,NA,11.8128197836396,12.9374671257054,11.619088147264,12.9502852083088,11.2921274120813,12.5994326320644,NA,5.93587463027111,5.57371257889544,5.8722193203792,5.58653066149857,5.54525858519653,5.2356780852542,NA
"30-8",1000,1000,0.5,1,0.5,12,6,0.503921040835138,0.573040069384348,0.501245326750452,0.573079511804643,0.516624842942078,0.588397081733335,NA,11.9176620192297,13.1988919528326,11.8746207276196,13.19798353396,11.5211225862802,12.8544042709502,NA,5.91210137017807,5.63539799238488,5.92252258096622,5.63448957351247,5.56902443962678,5.29091031050256,NA
"30-9",1000,1000,0.5,1,0.5,12,6,0.51545278200062,0.573427282728955,0.502969433954468,0.574369111628351,0.516282761754608,0.587417732324621,NA,12.4047938806342,13.6859775914746,12.2709389797526,13.6635358393826,11.9545096019873,13.3600204929315,NA,6.01070836471704,5.83806464970596,6.0990317470166,5.81562289761428,5.78260236925129,5.51210755116323,NA
"30-10",1000,1000,0.5,1,0.5,12,6,0.533990969500717,0.599389448361993,0.537064743913954,0.59851820093445,0.555847640064216,0.617195165900004,NA,12.6993637517408,14.1635176334243,12.8626711472672,14.1841350988307,12.4280228750424,13.7549084798547,NA,5.91801818990647,5.67405461226075,5.95458396151075,5.69467207766735,5.51993568928601,5.2654454586914,NA
