"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.7,0.4,0.5,12,6,0.483214123470372,0.63888519621606,0.467770104650579,0.639177743644495,0.506391688514829,0.675338197635557,NA,11.5921089425944,16.4619470696338,11.4258553065089,16.4560952804631,10.7815009462682,15.9100569776467,NA,5.9906381807256,5.94465278595242,6.08118177406084,5.93772542989786,5.32183847736321,5.16538777408375,NA
"30-2",1000,1000,0.7,0.4,0.5,12,6,0.531538195485771,0.674581079026079,0.546264760263942,0.674535982434787,0.571617293822797,0.697139302487656,NA,12.6790751379883,17.7613815559429,13.0876615808891,17.7741238559898,12.5612811436848,17.2722060495503,NA,5.93966241871348,5.77988962094104,5.93833326498911,5.78483775887214,5.38103560938434,5.23107237174373,NA
"30-3",1000,1000,0.7,0.4,0.5,12,6,0.530159449446341,0.643653727318535,0.48042764637343,0.64655804632791,0.493283647056336,0.658480871976285,NA,12.788484382582,17.0819783113681,11.8592929360756,17.0705067470835,11.5181379297292,16.7148689547139,NA,6.00854854305918,6.08709930128164,6.16176074314375,6.0334332548618,5.83642884445445,5.70844747044454,NA
"30-4",1000,1000,0.7,0.4,0.5,12,6,0.496951120143001,0.659847548759445,0.507419278053119,0.66323429962589,0.52504643431248,0.679379454877023,NA,11.712857291309,16.2324075727743,11.2927920545471,16.1752741013948,10.9407635014592,15.8300857405517,NA,5.89213974031787,5.52149322541492,5.56261166302481,5.44727751149943,5.19635463636193,5.07545071947915,NA
"30-5",1000,1000,0.7,0.4,0.5,12,6,0.506012113386312,0.650137808230086,0.496065221374558,0.651837029074966,0.515772306761794,0.669955333161535,NA,12.1975486888495,16.797772333784,11.8555503641238,16.7635205736725,11.4628822198016,16.3964474367332,NA,6.02544129867235,5.87690544554969,5.9744241482275,5.83643712609275,5.55064501515579,5.41156003159102,NA
"30-6",1000,1000,0.7,0.4,0.5,12,6,0.495723566542273,0.651185278341903,0.495480246517989,0.64907763552731,0.525873657429923,0.677229025149021,NA,12.0321697361688,16.9455266365739,12.0972596074651,16.9770083019261,11.5710768809117,16.5182522156698,NA,6.06753964131321,5.9108491570864,6.10330643496616,5.9576118949844,5.48615236114384,5.33161237048608,NA
"30-7",1000,1000,0.7,0.4,0.5,12,6,0.481848390215474,0.628237603589114,0.454774661561395,0.624573720357804,0.478462230367135,0.646974138564744,NA,11.7480595345657,16.3848224632993,11.5031515886357,16.398962499846,11.0269367470226,15.9662380482906,NA,6.08727595967968,6.09126086372306,6.27180971802448,6.15660148130905,5.75096399692487,5.63649494087816,NA
"30-8",1000,1000,0.7,0.4,0.5,12,6,0.462308089998909,0.629546791986666,0.45913049887839,0.629374674928492,0.486896598629214,0.655332062494979,NA,11.0785136064407,15.6970673922809,11.0188690576846,15.7138927809799,10.493003831367,15.2403534675441,NA,5.95682714102017,5.81502897187195,5.95977021015421,5.82396662008951,5.38399595647108,5.25286119650591,NA
"30-9",1000,1000,0.7,0.4,0.5,12,6,0.476286031757765,0.617323271172677,0.449962104738912,0.620182523935962,0.466281139510851,0.635831110087353,NA,11.7507469917627,16.6162995729395,11.7333700007653,16.5959380287761,11.3447163899548,16.2189353302628,NA,6.15403033686656,6.35867116578733,6.45379813954055,6.30342729500492,6.05488910421923,5.90643167478681,NA
"30-10",1000,1000,0.7,0.4,0.5,12,6,0.467279193099929,0.633473310971525,0.453606248181999,0.633023348645761,0.475692919514366,0.654200768034773,NA,11.3223023715568,15.859687967043,10.8850642981892,15.835580625307,10.4543114516287,15.4331566979272,NA,6.03162605534235,5.81299891958504,5.94753112066779,5.81128835012523,5.48126951569098,5.33677373294222,NA
"30-11",1000,1000,0.7,0.4,0.5,12,6,0.47158142417166,0.630633672236594,0.472423271852964,0.629252148508494,0.498209084087221,0.653557391671473,NA,11.618563328892,16.5973664011785,11.9482215887425,16.6223777340486,11.3996515134754,16.1028515470374,NA,6.1394646874245,6.13050827814705,6.30360365296457,6.16271083157877,5.7202415740333,5.5787138914827,NA
"30-12",1000,1000,0.7,0.4,0.5,12,6,0.463581282118794,0.642204187761799,0.462230781902634,0.645661301807626,0.479426588485952,0.661803636398133,NA,11.1471236049756,15.720776887322,10.6456171225876,15.7135360271741,10.2625919114443,15.3284768892838,NA,5.97952575224436,5.6248281354149,5.72488519617787,5.56791389986784,5.34243248231701,5.18403514351105,NA
"30-13",1000,1000,0.7,0.4,0.5,12,6,0.523324346045178,0.66455216289083,0.525452839471993,0.66330430192104,0.557275629318676,0.692250516273309,NA,12.6316767453555,17.3514702854945,12.6116838938972,17.3454000919256,12.0809592616897,16.8849002069919,NA,6.02121277313826,5.82051317793317,5.9848387813257,5.84012159240975,5.34853508635829,5.19631932147847,NA
"30-14",1000,1000,0.7,0.4,0.5,12,6,0.497100313567648,0.665365377490154,0.524829423490612,0.662679475826817,0.562093685630453,0.696875671871825,NA,12.0991979309726,17.0824657051991,12.4255263215284,17.1042548316936,11.8193213423309,16.5699292224477,NA,6.08468284556907,5.7163844627967,5.90424450563325,5.76961620541859,5.17575544736944,5.02274866268586,NA
"30-15",1000,1000,0.7,0.4,0.5,12,6,0.476076486982835,0.625448775724679,0.465678614918216,0.626792270138636,0.487310687443157,0.647499589154018,NA,11.9139783991358,16.6431049141863,11.8889251354328,16.6119560879143,11.453657308348,16.2116098514535,NA,6.24201341688585,6.23369532135108,6.35250694549811,6.19971042012715,5.8721676916786,5.71459913311212,NA
"30-16",1000,1000,0.7,0.4,0.5,12,6,0.49799698259561,0.655496882182629,0.5197206381413,0.650524554375974,0.556055694233287,0.684169216439091,NA,12.3428999873898,17.74465217778,13.1855493927013,17.7573480152895,12.5701852747768,17.2214632365125,NA,6.19617303719031,6.11308799983,6.33274724808294,6.20575711074422,5.58046217516973,5.43906822805315,NA
"30-17",1000,1000,0.7,0.4,0.5,12,6,0.50157748070443,0.641150267316845,0.490691815939033,0.642357384641852,0.51057388664966,0.660894246943265,NA,12.470104291617,17.2141424322607,12.339274281889,17.1958988319422,11.9145609365172,16.7922093658944,NA,6.21538079690625,6.1772904101865,6.28449337713908,6.14998623168993,5.83129725143538,5.69433480250799,NA
"30-18",1000,1000,0.7,0.4,0.5,12,6,0.503988432791437,0.665568954266374,0.51175384662171,0.661924580683083,0.540819904882077,0.688486217419265,NA,11.6265696669545,16.3612659102557,11.531453621343,16.3610231620918,11.046361297292,15.9239372151192,NA,5.76691304176565,5.47171526789275,5.63018787348089,5.53125976597798,5.07226923119746,4.96052591545992,NA
"30-19",1000,1000,0.7,0.4,0.5,12,6,0.48939294867357,0.631661319321342,0.471510273978498,0.635475965244539,0.484719223965558,0.64812681030201,NA,12.473820404776,16.9507893009264,11.923976561213,16.8897445513712,11.5914660979977,16.5492594047729,NA,6.3692206556581,6.24363136756512,6.30169910592227,6.15671782985491,5.97285964635317,5.8232406938969,NA
"30-20",1000,1000,0.7,0.4,0.5,12,6,0.493493708772417,0.653663582825582,0.497735128354987,0.653903123696425,0.518531975464362,0.673094320816107,NA,12.0685926770906,17.2064356709696,12.1560384923442,17.2264464313933,11.6942351736635,16.7722060887665,NA,6.11281811720954,5.95921528262572,6.10555111306908,5.9620192997161,5.63040030751895,5.48292942286043,NA
"30-21",1000,1000,0.7,0.4,0.5,12,6,0.500952416522862,0.654444080908234,0.508707371692193,0.653989500067709,0.536534691993106,0.679541445547001,NA,11.6621845913635,16.4665520146234,11.8679132459684,16.478794313917,11.3330673889073,15.972876896099,NA,5.81998503838429,5.69011451568557,5.83061829114087,5.70183585883983,5.25248356806283,5.11864504057958,NA
"30-22",1000,1000,0.7,0.4,0.5,12,6,0.496002259098259,0.653897709730882,0.494992716151573,0.651421951559905,0.521445101683216,0.675823585101073,NA,11.7195844863829,16.3648211249465,11.6553407370386,16.3990484752231,11.1335246082249,15.9061538183232,NA,5.90664410544407,5.66390207118844,5.88603196793976,5.7163483137678,5.32800273679649,5.15639991965488,NA
"30-23",1000,1000,0.7,0.4,0.5,12,6,0.510445376333057,0.658552326299345,0.507626784934763,0.656538434421952,0.54020801331184,0.686649912858739,NA,12.0699247111277,16.8156197239672,11.9760924184152,16.7762213696455,11.4640566007207,16.3402467159509,NA,5.90888744964446,5.74165423658345,5.89670712797348,5.76198725610234,5.27108135995088,5.12021773235292,NA
"30-24",1000,1000,0.7,0.4,0.5,12,6,0.524337468955211,0.662217425175952,0.515039242513785,0.658294139214342,0.53972646286501,0.680906233749581,NA,13.0857031962572,17.8685144093612,12.9469585492024,17.9204768525983,12.460545291796,17.4737018918129,NA,6.22437870283258,6.03567280547464,6.27876682516384,6.12353196860658,5.73525925608571,5.57574934699564,NA
"30-25",1000,1000,0.7,0.4,0.5,12,6,0.483954924813009,0.66451363226881,0.513925003181415,0.661328514182243,0.553571365861343,0.697417797957791,NA,11.3951586772837,16.6297085842201,11.9717432692158,16.6911668994286,11.3145819365797,16.1126105136946,NA,5.88041551638658,5.5790405293482,5.81916507149698,5.65282229386165,5.05115335979719,4.87538916988218,NA
"30-26",1000,1000,0.7,0.4,0.5,12,6,0.504514621871675,0.650531009144883,0.501514117089787,0.648536518426961,0.527774922613343,0.672864746668155,NA,11.8548082153256,16.6829156379008,12.0402210341801,16.6952218816758,11.545558512314,16.2384634158543,NA,5.87388413120938,5.83016169249822,6.0018802126574,5.86776080816815,5.45210226194966,5.31217384326541,NA
"30-27",1000,1000,0.7,0.4,0.5,12,6,0.511100203643964,0.649750927378013,0.485643126801869,0.64567377227329,0.517945695426738,0.675396970513851,NA,12.0033982665108,16.6535154768289,11.8176399505339,16.7061828935975,11.2380400092495,16.197875998336,NA,5.86845896807751,5.83287835165521,6.07848433353791,5.91943876440089,5.41734556142528,5.25787962030084,NA
"30-28",1000,1000,0.7,0.4,0.5,12,6,0.487557602836066,0.647596741137861,0.505254701677641,0.648164571486413,0.529160271667007,0.670536846258372,NA,12.1278611633943,17.1364384814904,12.4931082724696,17.1597274120652,12.0003693158585,16.686836137773,NA,6.21483024704113,6.03893676616776,6.18090657923648,6.03740004720032,5.65025062857443,5.49769765992046,NA
"30-29",1000,1000,0.7,0.4,0.5,12,6,0.519743715696864,0.666491872269066,0.524785378993815,0.668105663051084,0.545196395022211,0.686642574697758,NA,12.3766574392525,17.0213110982827,12.1426800350016,17.0167698935655,11.7276116034925,16.6133732812011,NA,5.94396751386815,5.67674559591403,5.77037909083268,5.64776956083718,5.33376003504774,5.20592387698223,NA
"30-30",1000,1000,0.7,0.4,0.5,12,6,0.492549635597285,0.630220878603363,0.474305131661116,0.629827288285449,0.498385919347745,0.653058560829532,NA,12.1556192106129,16.6613807180024,11.9256357810019,16.6521270783703,11.4600677259075,16.216332701745,NA,6.16837339796617,6.1610307231578,6.26924553175126,6.16416303641564,5.74853133654369,5.62611780561054,NA
"30-31",1000,1000,0.7,0.4,0.5,12,6,0.49290012918088,0.655075166040732,0.503870943692093,0.653712909297434,0.526304132922043,0.674202929706061,NA,12.0782955958924,17.188874946472,12.3457239927237,17.2196109156835,11.8816674733147,16.7840999057422,NA,6.12490213639216,5.92886983685848,6.12507239394789,5.96292896702218,5.62829677610378,5.46821057681157,NA
"30-32",1000,1000,0.7,0.4,0.5,12,6,0.529106564929779,0.68067790468931,0.559987142953979,0.683807200052262,0.58878456172575,0.709631664336797,NA,12.5961986444509,17.8343191064484,13.0998078350125,17.8073256623101,12.5841540112389,17.3315275826085,NA,5.93146724851233,5.69489214551059,5.76408387223773,5.63054816074703,5.17479840704224,5.03252681866291,NA
"30-33",1000,1000,0.7,0.4,0.5,12,6,0.512060835662289,0.676457260472679,0.542211436927604,0.674110976802881,0.582911554277023,0.710754915723466,NA,11.9776010546828,17.2671010983408,12.6312185284308,17.2676537941601,12.0043205331455,16.7328987812959,NA,5.84434064939242,5.58664519305241,5.78242737998374,5.62733882788486,5.00686339313009,4.83990871818664,NA
