"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,1,0.4,0.5,12,6,0.483214123470372,0.609390162824855,0.457191942061348,0.609478455295092,0.483440384268,0.634253959825513,NA,11.5921089425944,15.6156790129832,11.2341722452559,15.6150135675703,10.852901659601,15.3280421250388,NA,5.9906381807256,6.0996378366407,6.09799921899564,6.09799921899564,5.60617071086067,5.60617071086066,NA
"30-2",1000,1000,1,0.4,0.5,12,6,0.543071828169962,0.637869938658416,0.518526384479774,0.637100479048127,0.534190630015484,0.651499779408988,NA,13.2260022329462,16.8802990895116,12.7242902504711,16.8818355443229,12.4585712415484,16.6522684292457,NA,6.04333302092009,6.11286374474911,6.12641003182306,6.12641003182306,5.80331922093287,5.80331922093287,NA
"30-3",1000,1000,1,0.4,0.5,12,6,0.528517190216541,0.645186391921432,0.531603004969466,0.649448523493639,0.543854777845632,0.66058590228305,NA,12.3586708580123,16.532272018489,12.3248811503881,16.4681585497345,12.0994919303039,16.2607430617278,NA,5.82690086132459,5.86587508461642,5.77293729495025,5.77293729495028,5.51912543450347,5.51912543450349,NA
"30-4",1000,1000,1,0.4,0.5,12,6,0.50455966121139,0.62251412789138,0.481472568251116,0.621796915326617,0.492903919248282,0.632495994412135,NA,11.9144976963659,15.7030216031214,11.4695060643647,15.7250264844333,11.2134922044279,15.4728053625142,NA,5.90292277518363,5.92766880459477,5.94725352298329,5.94725352298329,5.68631794840535,5.68631794840535,NA
"30-5",1000,1000,1,0.4,0.5,12,6,0.50134495401822,0.618339300079964,0.499576811746305,0.619405475829551,0.52149743717445,0.639861043804686,NA,12.0058671728398,16.1657389605641,12.3008118687593,16.1736732993999,11.9519362283234,15.880070782675,NA,5.98678624712359,6.1698272464135,6.1556114934734,6.1556114934734,5.71903211598027,5.71903211598028,NA
"30-6",1000,1000,1,0.4,0.5,12,6,0.502361998444071,0.620798431222565,0.502828672945921,0.622995183885281,0.51517793608266,0.634529082943493,NA,12.3398842803872,16.222751851197,12.3234627702719,16.2514431580452,12.0300650778757,15.9587007007012,NA,6.14079535272331,6.15169295186094,6.12687233939763,6.12687233939764,5.8324409801156,5.8324409801156,NA
"30-7",1000,1000,1,0.4,0.5,12,6,0.497505698132117,0.641856398879501,0.514773662438607,0.643491316844688,0.526951355410028,0.654606081626555,NA,11.8128197836396,15.96059431591,11.7217098195265,15.9538395400272,11.4787966238214,15.7212646070729,NA,5.93587463027111,5.71618472432336,5.68768232568624,5.68768232568624,5.43002918442267,5.43002918442267,NA
"30-8",1000,1000,1,0.4,0.5,12,6,0.503921040835138,0.627953486901122,0.489930276459132,0.626938587645934,0.504495549039733,0.640462608820723,NA,11.9176620192297,16.0914117936487,11.787236688524,16.1161469933,11.5100309678499,15.8628051356592,NA,5.91210137017807,5.98675364866518,6.01231255902623,6.01231255902624,5.70327157526015,5.70327157526015,NA
"30-9",1000,1000,1,0.4,0.5,12,6,0.51545278200062,0.624331362714116,0.494143492740711,0.623437252142115,0.509782159907801,0.638006949354316,NA,12.4047938806342,16.2800328482287,12.149462665019,16.3210109968794,11.833749066171,16.0254869452992,NA,6.01070836471704,6.1158977550635,6.14588474880366,6.14588474880366,5.80111490741144,5.80111490741144,NA
"30-10",1000,1000,1,0.4,0.5,12,6,0.533990969500717,0.651047847627568,0.539998652228667,0.655214952562786,0.547083188052499,0.661636904811779,NA,12.6993637517408,16.7517008325247,12.5210092096422,16.7051360106952,12.3352463385041,16.5113764641341,NA,5.91801818990647,5.84554206140856,5.75968111189266,5.75968111189266,5.58684044622237,5.58684044622237,NA
"30-11",1000,1000,1,0.4,0.5,12,6,0.492006048367954,0.617666154457017,0.487060707798737,0.616510808639139,0.505516038305956,0.633810300262348,NA,11.7071891877737,15.5870631050078,11.645034170643,15.5759164005444,11.3455967972467,15.3205173605514,NA,5.94718129800111,5.9594617776588,5.97319558514915,5.97319558514914,5.6102156520858,5.61021565208579,NA
"30-12",1000,1000,1,0.4,0.5,12,6,0.524235777744814,0.635490999425557,0.513036208639686,0.635022302160687,0.527146829890425,0.648023242828749,NA,12.7670575054893,16.7008115771561,12.5358230036483,16.7256573040417,12.2682688229433,16.4814570465025,NA,6.07410918458633,6.08759613677126,6.10449189767842,6.10449189767843,5.80108980468521,5.80108980468522,NA
"30-13",1000,1000,1,0.4,0.5,12,6,0.503150860697687,0.639343049358092,0.509183349899443,0.637430528615097,0.525550427268141,0.652440136903663,NA,11.9633186590314,16.1202934773574,11.9596351680512,16.1899678072347,11.6223552719261,15.865530167316,NA,5.94396457893907,5.81389588899635,5.8699880696077,5.86998806960767,5.51422149290318,5.51422149290315,NA
"30-14",1000,1000,1,0.4,0.5,12,6,0.504222609107544,0.623821541547654,0.499140954173952,0.624405876540571,0.515275199953476,0.639419962058389,NA,11.7434295053779,15.9017523712152,11.9105534818905,15.8828588617259,11.6464605086654,15.6562417418868,NA,5.82212684030572,5.98189669369469,5.96550845219978,5.96550845219978,5.64532824131258,5.64532824131258,NA
"30-15",1000,1000,1,0.4,0.5,12,6,0.49094173517488,0.611377567892981,0.483651676574077,0.609172090946328,0.50104707475717,0.625612167206387,NA,12.2963757189812,16.3684801331938,12.4015831770211,16.3845429994677,12.0841772178643,16.1047850487437,NA,6.25957168714231,6.3611585592572,6.40353668128196,6.40353668128194,6.02943557200616,6.02943557200614,NA
"30-16",1000,1000,1,0.4,0.5,12,6,0.525598013244826,0.640890177075861,0.507207880113405,0.638849562519828,0.517634531414191,0.648421579486209,NA,12.7708615290615,16.5271961067863,12.1302404810031,16.5517919985792,11.9028977662147,16.3307715249944,NA,6.05852208196198,5.93507846734053,5.97768692136771,5.9776869213677,5.74154685852915,5.74154685852914,NA
"30-17",1000,1000,1,0.4,0.5,12,6,0.52504869235873,0.649356824664087,0.532244902830905,0.650126174625823,0.543667239619819,0.660506035009961,NA,12.5514329805382,16.8412360676835,12.590408215039,16.8324326969182,12.3593222064278,16.6128538368945,NA,5.9613195068784,5.90526449135424,5.88922761802414,5.88922761802415,5.63996361888728,5.63996361888729,NA
"30-18",1000,1000,1,0.4,0.5,12,6,0.520084627345288,0.642118371190379,0.527315056673434,0.64312855058445,0.540233134450695,0.65495260964754,NA,12.5152288539091,16.5283805603367,12.4785416196972,16.5281328836046,12.2234305906275,16.2874101530566,NA,6.00625071928278,5.91520375651859,5.89841873830479,5.8984187383048,5.61992836891232,5.61992836891233,NA
"30-19",1000,1000,1,0.4,0.5,12,6,0.503988432791437,0.638782932757769,0.504159741122097,0.634829083548845,0.524096431477181,0.653126664250663,NA,11.6265696669545,15.5391175741079,11.4521294126005,15.550052199753,11.152326586731,15.3007783330816,NA,5.76691304176565,5.61299447765148,5.6784268126471,5.67842681264709,5.30743201995721,5.3074320199572,NA
"30-20",1000,1000,1,0.4,0.5,12,6,0.507459770833898,0.62576010523787,0.506607333922035,0.627352414581542,0.519101862032791,0.638968296921654,NA,12.7368026531118,16.8459607233152,12.6999104955027,16.8149290201124,12.4660036709611,16.6048518790514,NA,6.2733876976071,6.30443056826046,6.26604269832762,6.26604269832763,5.9948779532576,5.9948779532576,NA
"30-21",1000,1000,1,0.4,0.5,12,6,0.483218438119464,0.613355120302479,0.472538112060474,0.615235162717364,0.482312502432579,0.624466715270135,NA,11.7587938121596,16.036646046498,11.6775804889194,16.0084239889277,11.4719205624956,15.8144965833393,NA,6.076727832079,6.20048708139995,6.1594786512512,6.15947865125123,5.93886984829061,5.93886984829063,NA
"30-22",1000,1000,1,0.4,0.5,12,6,0.500968299091446,0.62467110463705,0.481293963040681,0.626237461760153,0.491327516196626,0.63559012457967,NA,11.9485878967223,15.6413137059626,11.2908449259392,15.6693858433129,11.0515369803558,15.426620255991,NA,5.96272414155669,5.87063699528431,5.85662942545616,5.85662942545616,5.62161276564244,5.62161276564244,NA
