"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.3,0.8,0.5,12,6,0.483214123470372,0.613974631198326,0.613974631198327,0.613974631198325,0.638793713731638,0.638793713731637,NA,11.5921089425944,14.4467379831682,14.4467379831683,14.4467379831682,13.8655658103193,13.8655658103192,NA,5.9906381807256,5.57680735793364,5.57680735793369,5.57680735793366,5.008329533355,5.00832953335498,NA
"30-2",1000,1000,0.3,0.8,0.5,12,6,0.531538195485771,0.653669917858676,0.653669917858694,0.653669917858694,0.682306450282165,0.682306450282165,NA,12.6790751379883,15.5852359988532,15.5852359988534,15.5852359988537,15.0254009498935,15.0254009498939,NA,5.93966241871348,5.39763606367473,5.39763606367453,5.39763606367463,4.7734729637054,4.77347296370551,NA
"30-3",1000,1000,0.3,0.8,0.5,12,6,0.530159449446341,0.656969231805227,0.656969231805227,0.656969231805214,0.691600023947526,0.691600023947514,NA,12.788484382582,16.4172201087417,16.4172201087417,16.4172201087414,15.6509963756396,15.6509963756393,NA,6.00854854305918,5.63161162552434,5.63161162552432,5.63161162552445,4.82676690744462,4.82676690744471,NA
"30-4",1000,1000,0.3,0.8,0.5,12,6,0.496951120143001,0.61836997605807,0.618369976058082,0.618369976058077,0.645884585154388,0.645884585154383,NA,11.712857291309,15.0775384111674,15.0775384111679,15.0775384111674,14.4534792164854,14.4534792164848,NA,5.89213974031787,5.75404134483918,5.7540413448392,5.75404134483907,5.11819978870814,5.11819978870803,NA
"30-5",1000,1000,0.3,0.8,0.5,12,6,0.506012113386312,0.640646016927352,0.640646016927355,0.640646016927347,0.67025405783641,0.670254057836403,NA,12.1975486888495,15.6109431897491,15.6109431897492,15.610943189749,14.969697522129,14.9696975221287,NA,6.02544129867235,5.60985461475716,5.60985461475717,5.6098546147572,4.93619701333839,4.93619701333841,NA
"30-6",1000,1000,0.3,0.8,0.5,12,6,0.495723566542273,0.632730599533649,0.632730599533638,0.632730599533641,0.661281841813993,0.661281841813997,NA,12.0321697361688,15.3723939598865,15.3723939598864,15.3723939598863,14.7092857676978,14.7092857676978,NA,6.06753964131321,5.64580991338008,5.6458099133802,5.64580991338011,4.98230218346625,4.98230218346617,NA
"30-7",1000,1000,0.3,0.8,0.5,12,6,0.481848390215474,0.636147343135408,0.636147343135411,0.636147343135411,0.667767113709263,0.667767113709263,NA,11.7480595345657,15.3931094116924,15.3931094116927,15.3931094116925,14.7412350687177,14.7412350687174,NA,6.08727595967968,5.60082375685164,5.6008237568517,5.60082375685162,4.8975230743703,4.89752307437022,NA
"30-8",1000,1000,0.3,0.8,0.5,12,6,0.462308089998909,0.605257617359591,0.605257617359591,0.605257617359593,0.631040562182034,0.631040562182036,NA,11.0785136064407,14.0081186873424,14.0081186873421,14.0081186873424,13.400999662432,13.4009996624324,NA,5.95682714102017,5.52959814695119,5.52959814695104,5.52959814695116,4.94442530164966,4.94442530164978,NA
"30-9",1000,1000,0.3,0.8,0.5,12,6,0.476286031757765,0.634586211722994,0.634586211722984,0.634586211722997,0.664702221567737,0.664702221567749,NA,11.7507469917627,15.2403086722127,15.2403086722129,15.2403086722128,14.5503259843082,14.5503259843082,NA,6.15403033686656,5.56901892642415,5.56901892642436,5.56901892642415,4.87869197800377,4.87869197800358,NA
"30-10",1000,1000,0.3,0.8,0.5,12,6,0.467279193099929,0.614236242576668,0.614236242576675,0.614236242576678,0.647209661864688,0.647209661864691,NA,11.3223023715568,14.5705934010624,14.5705934010627,14.5705934010628,13.8584743861706,13.8584743861707,NA,6.03162605534235,5.62080685828144,5.62080685828144,5.62080685828144,4.8891358647367,4.88913586473669,NA
