"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.7,1,0.5,12,6,0.483214123470372,0.529933844559688,0.529933844559694,0.529933844559693,0.540561914876332,0.54056191487633,NA,11.5921089425944,12.4223905097737,12.4223905097735,12.4223905097739,12.1781519938788,12.1781519938792,NA,5.9906381807256,5.83934534830753,5.83934534830736,5.83934534830759,5.59510683241264,5.59510683241286,NA
"30-2",1000,1000,0.7,1,0.5,12,6,0.543071828169962,0.578954611068456,0.578954611068453,0.578954611068433,0.587918217338175,0.587918217338156,NA,13.2260022329462,14.0507832879006,14.0507832879002,14.0507832879,13.8365601434905,13.8365601434904,NA,6.04333302092009,5.91601751424693,5.9160175142468,5.91601751424704,5.70179436983711,5.70179436983733,NA
"30-3",1000,1000,0.7,1,0.5,12,6,0.528517190216541,0.561958819046471,0.56195881904649,0.561958819046495,0.57110289884554,0.571102898845545,NA,12.3586708580123,13.1355471560143,13.1355471560142,13.1355471560148,12.9252304308818,12.9252304308824,NA,5.82690086132459,5.75391058869126,5.75391058869099,5.75391058869118,5.54359386355863,5.54359386355881,NA
"30-4",1000,1000,0.7,1,0.5,12,6,0.50455966121139,0.53984436841412,0.539844368414127,0.539844368414111,0.548498267348985,0.548498267348969,NA,11.9144976963659,12.6417143019428,12.6417143019426,12.6417143019427,12.4422604030978,12.4422604030979,NA,5.90292277518363,5.81715602893874,5.81715602893854,5.81715602893878,5.61770213009376,5.61770213009399,NA
"30-5",1000,1000,0.7,1,0.5,12,6,0.50134495401822,0.536705884109419,0.53670588410943,0.53670588410943,0.544358328002771,0.544358328002771,NA,12.0058671728398,12.6815798880057,12.6815798880055,12.6815798880058,12.5033056271378,12.5033056271381,NA,5.98678624712359,5.87530134230935,5.87530134230914,5.87530134230928,5.69702708144143,5.69702708144158,NA
"30-6",1000,1000,0.7,1,0.5,12,6,0.502361998444071,0.537711186943867,0.537711186943879,0.53771118694388,0.545682711548698,0.5456827115487,NA,12.3398842803872,12.9980135420828,12.9980135420826,12.9980135420832,12.8081339974835,12.808133997484,NA,6.14079535272331,6.00883625245701,6.00883625245677,6.008836252457,5.81895670785763,5.81895670785786,NA
"30-7",1000,1000,0.7,1,0.5,12,6,0.497505698132117,0.53720763355107,0.537207633551073,0.537207633551077,0.546637047611385,0.546637047611389,NA,11.8128197836396,12.5552347303856,12.5552347303854,12.5552347303857,12.3386586541488,12.3386586541491,NA,5.93587463027111,5.81046679219696,5.8104667921968,5.8104667921969,5.59389071596023,5.59389071596033,NA
"30-8",1000,1000,0.7,1,0.5,12,6,0.503921040835138,0.538474464938488,0.538474464938487,0.538474464938477,0.546201280651025,0.546201280651015,NA,11.9176620192297,12.5950023908922,12.595002390892,12.5950023908921,12.416827666993,12.4168276669931,NA,5.91210137017807,5.81291521755756,5.81291521755745,5.81291521755763,5.63474049365832,5.6347404936585,NA
"30-9",1000,1000,0.7,1,0.5,12,6,0.51545278200062,0.55284211374951,0.552842113749511,0.552842113749521,0.561111663269736,0.561111663269746,NA,12.4047938806342,13.1782587590571,13.1782587590567,13.1782587590573,12.9840402629318,12.9840402629324,NA,6.01070836471704,5.89276233116197,5.8927623311618,5.89276233116194,5.6985438350369,5.69854383503704,NA
"30-10",1000,1000,0.7,1,0.5,12,6,0.533990969500717,0.570347796411143,0.570347796411164,0.570347796411127,0.57854557081344,0.578545570813403,NA,12.6993637517408,13.3956971012206,13.3956971012208,13.3956971012203,13.2058850823636,13.2058850823631,NA,5.91801818990647,5.75549077814829,5.75549077814812,5.7554907781484,5.56567875929085,5.56567875929112,NA
"30-11",1000,1000,0.7,1,0.5,12,6,0.492006048367954,0.536751257436814,0.536751257436822,0.536751257436833,0.547125912779858,0.547125912779869,NA,11.7071891877737,12.5596475474134,12.5596475474132,12.5596475474137,12.3214902759499,12.3214902759504,NA,5.94718129800111,5.81824093337606,5.81824093337589,5.81824093337598,5.58008366191269,5.58008366191277,NA
"30-12",1000,1000,0.7,1,0.5,12,6,0.524235777744814,0.56120078029939,0.561200780299399,0.561200780299399,0.569848953395754,0.569848953395754,NA,12.7670575054893,13.5525085433469,13.5525085433467,13.552508543347,13.3468322161827,13.346832216183,NA,6.07410918458633,5.94683017380647,5.94683017380626,5.94683017380641,5.74115384664224,5.74115384664239,NA
"30-13",1000,1000,0.7,1,0.5,12,6,0.503150860697687,0.537503478696088,0.537503478696108,0.537503478696071,0.546608028423319,0.546608028423283,NA,11.9633186590314,12.8347918981476,12.8347918981479,12.8347918981475,12.6210098184882,12.6210098184877,NA,5.94396457893907,5.93604660455291,5.93604660455278,5.93604660455307,5.72226452489299,5.72226452489327,NA
"30-14",1000,1000,0.7,1,0.5,12,6,0.504222609107544,0.547092505156304,0.547092505156323,0.54709250515631,0.555463673942418,0.555463673942405,NA,11.7434295053779,12.4529640650288,12.4529640650289,12.4529640650289,12.2652904709384,12.2652904709384,NA,5.82212684030572,5.64004075807076,5.64004075807057,5.64004075807075,5.45236716398003,5.4523671639802,NA
