"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,1,0.4,0.5,12,6,0.483214123470372,0.609390162824855,0.609390162824868,0.609390162824857,0.634253959825526,0.634253959825513,NA,11.5921089425944,15.6156790129832,15.6156790129832,15.6156790129831,15.3280421250389,15.3280421250388,NA,5.9906381807256,6.0996378366407,6.09963783664048,6.09963783664062,5.6061707108605,5.60617071086066,NA
"30-2",1000,1000,1,0.4,0.5,12,6,0.543071828169962,0.637869938658416,0.637869938658415,0.637869938658413,0.651499779408991,0.651499779408988,NA,13.2260022329462,16.8802990895116,16.8802990895116,16.8802990895117,16.6522684292457,16.6522684292457,NA,6.04333302092009,6.11286374474911,6.11286374474914,6.1128637447492,5.80331922093282,5.80331922093287,NA
"30-3",1000,1000,1,0.4,0.5,12,6,0.528517190216541,0.645186391921432,0.645186391921439,0.645186391921431,0.660585902283058,0.66058590228305,NA,12.3586708580123,16.532272018489,16.5322720184888,16.5322720184888,16.2607430617277,16.2607430617278,NA,5.82690086132459,5.86587508461642,5.86587508461625,5.86587508461639,5.51912543450335,5.51912543450349,NA
"30-4",1000,1000,1,0.4,0.5,12,6,0.50455966121139,0.62251412789138,0.622514127891392,0.622514127891383,0.632495994412144,0.632495994412135,NA,11.9144976963659,15.7030216031214,15.7030216031218,15.7030216031215,15.4728053625145,15.4728053625142,NA,5.90292277518363,5.92766880459477,5.92766880459474,5.92766880459476,5.68631794840533,5.68631794840535,NA
"30-5",1000,1000,1,0.4,0.5,12,6,0.50134495401822,0.618339300079964,0.618339300079957,0.618339300079956,0.639861043804686,0.639861043804686,NA,12.0058671728398,16.1657389605641,16.1657389605645,16.165738960564,15.8800707826755,15.880070782675,NA,5.98678624712359,6.1698272464135,6.16982724641377,6.1698272464136,5.71903211598046,5.71903211598028,NA
"30-6",1000,1000,1,0.4,0.5,12,6,0.502361998444071,0.620798431222565,0.620798431222559,0.620798431222558,0.634529082943493,0.634529082943493,NA,12.3398842803872,16.222751851197,16.2227518511969,16.2227518511968,15.9587007007014,15.9587007007012,NA,6.14079535272331,6.15169295186094,6.15169295186101,6.15169295186097,5.83244098011565,5.8324409801156,NA
"30-7",1000,1000,1,0.4,0.5,12,6,0.497505698132117,0.641856398879501,0.641856398879503,0.6418563988795,0.654606081626558,0.654606081626555,NA,11.8128197836396,15.96059431591,15.9605943159099,15.9605943159098,15.721264607073,15.7212646070729,NA,5.93587463027111,5.71618472432336,5.71618472432332,5.71618472432332,5.43002918442267,5.43002918442267,NA
"30-8",1000,1000,1,0.4,0.5,12,6,0.503921040835138,0.627953486901122,0.627953486901118,0.627953486901119,0.640462608820722,0.640462608820723,NA,11.9176620192297,16.0914117936487,16.0914117936492,16.0914117936487,15.8628051356597,15.8628051356592,NA,5.91210137017807,5.98675364866518,5.9867536486654,5.9867536486652,5.70327157526036,5.70327157526015,NA
"30-9",1000,1000,1,0.4,0.5,12,6,0.51545278200062,0.624331362714116,0.624331362714125,0.62433136271412,0.638006949354322,0.638006949354316,NA,12.4047938806342,16.2800328482287,16.2800328482287,16.2800328482288,16.0254869452991,16.0254869452992,NA,6.01070836471704,6.1158977550635,6.11589775506336,6.11589775506348,5.80111490741131,5.80111490741144,NA
"30-10",1000,1000,1,0.4,0.5,12,6,0.533990969500717,0.651047847627568,0.651047847627558,0.651047847627571,0.661636904811765,0.661636904811779,NA,12.6993637517408,16.7517008325247,16.7517008325248,16.7517008325248,16.5113764641341,16.5113764641341,NA,5.91801818990647,5.84554206140856,5.84554206140876,5.84554206140855,5.58684044622259,5.58684044622237,NA
"30-11",1000,1000,1,0.4,0.5,12,6,0.492006048367954,0.617666154457017,0.617666154457005,0.617666154457026,0.633810300262326,0.633810300262348,NA,11.7071891877737,15.5870631050078,15.5870631050077,15.587063105008,15.320517360551,15.3205173605514,NA,5.94718129800111,5.9594617776588,5.95946177765891,5.95946177765871,5.610215652086,5.61021565208579,NA
"30-12",1000,1000,1,0.4,0.5,12,6,0.524235777744814,0.635490999425557,0.635490999425573,0.635490999425559,0.648023242828764,0.648023242828749,NA,12.7670575054893,16.7008115771561,16.7008115771563,16.700811577156,16.4814570465028,16.4814570465025,NA,6.07410918458633,6.08759613677126,6.08759613677105,6.0875961367712,5.80108980468506,5.80108980468522,NA
"30-13",1000,1000,1,0.4,0.5,12,6,0.503150860697687,0.639343049358092,0.639343049358091,0.639343049358102,0.652440136903652,0.652440136903663,NA,11.9633186590314,16.1202934773574,16.120293477357,16.1202934773576,15.8655301673153,15.865530167316,NA,5.94396457893907,5.81389588899635,5.81389588899622,5.81389588899628,5.51422149290309,5.51422149290315,NA
"30-14",1000,1000,1,0.4,0.5,12,6,0.504222609107544,0.623821541547654,0.623821541547649,0.623821541547648,0.63941996205839,0.639419962058389,NA,11.7434295053779,15.9017523712152,15.9017523712153,15.9017523712151,15.6562417418869,15.6562417418868,NA,5.82212684030572,5.98189669369469,5.98189669369478,5.98189669369475,5.6453282413126,5.64532824131258,NA
"30-15",1000,1000,1,0.4,0.5,12,6,0.49094173517488,0.611377567892981,0.611377567892974,0.611377567892984,0.625612167206377,0.625612167206387,NA,12.2963757189812,16.3684801331938,16.3684801331941,16.3684801331941,16.1047850487437,16.1047850487437,NA,6.25957168714231,6.3611585592572,6.36115855925742,6.36115855925726,6.0294355720063,6.02943557200614,NA
"30-16",1000,1000,1,0.4,0.5,12,6,0.525598013244826,0.640890177075861,0.640890177075857,0.640890177075855,0.648421579486211,0.648421579486209,NA,12.7708615290615,16.5271961067863,16.5271961067859,16.5271961067862,16.3307715249942,16.3307715249944,NA,6.05852208196198,5.93507846734053,5.93507846734048,5.9350784673406,5.74154685852901,5.74154685852914,NA
"30-17",1000,1000,1,0.4,0.5,12,6,0.52504869235873,0.649356824664087,0.649356824664079,0.649356824664082,0.660506035009959,0.660506035009961,NA,12.5514329805382,16.8412360676835,16.8412360676833,16.8412360676834,16.6128538368944,16.6128538368945,NA,5.9613195068784,5.90526449135424,5.90526449135431,5.9052644913543,5.63996361888731,5.63996361888729,NA
"30-18",1000,1000,1,0.4,0.5,12,6,0.520084627345288,0.642118371190379,0.64211837119039,0.64211837119038,0.65495260964755,0.65495260964754,NA,12.5152288539091,16.5283805603367,16.5283805603367,16.5283805603366,16.2874101530567,16.2874101530566,NA,6.00625071928278,5.91520375651859,5.91520375651841,5.91520375651853,5.61992836891221,5.61992836891233,NA
